"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailYear";"DetailUrl";"DetailId";"DetailLicense";"DetailLanguages";"DetailDisks";"DetailPlayers";"DetailName";"DetailPublisher";"DetailPath";"DetailHardware";"DetailGenre";"Detail_Keywords";"AssignName"
"NoError, EmulTrap, NoKbd";"450496";"0-9\1000ccTurbo\1000ccTurbo.Slave";"1000cc Turbo (c) 1992 Energize - 1 disk.";"0";"1000ccTurbo";"1000cc Turbo";"1992 Energize";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1000ccTurbo";"OCS/ECS";"";"";"";"";"";"1000 cc turbo";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=1501";"1501";"Commercial";"English";"1";"1 Only";"1000cc Turbo";"Impressions";"0\1000cc-turbo";"OCS,ECS";"Racing - Motorcycle";"1000 cc turbo 1000ccturbo 1501 impressions 1000ccturbo english";"A-Games"
"NoError, EmulTrap";"915637";"0-9\1000Miglia\1000Miglia.Slave";"1000 Miglia ? 1992 Simulmondo.";"0";"1000Miglia";"1000 Miglia";"1992 Simulmondo";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1000Miglia";"OCS/ECS";"";"";"";"";"";"1000 miglia";"Exact";"6.7";"Open Amiga Game Database";"1992";"https://oagd.net/amiga/1000-miglia";"";"";"English, Italian";"";"1";"1000 Miglia";"Simulmondo";"0\1000-miglia";"";"";"1000 miglia 1000miglia simulmondo 1000miglia english, italian";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"1992820";"0-9\1869\1869.Slave";"1869 ? 1993 Max Design";"0";"1869";"1869 ECS";"1993 Max Design";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1869";"OCS/ECS";"";"";"";"";"";"1869";"Exact";"7.7";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869";"";"";"English, German, Polish";"";"1 - 4 (1 simultaneous)";"1869";"Flair";"0\1869";"";"";"1869 1869 flair 1869 english, german, polish";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"1993358";"0-9\1869De\1869De.Slave";"1869 ? 1993 Max Design";"0";"1869De";"1869 ECS";"1993 Max Design";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1869";"OCS/ECS";"De";"";"";"";"";"1869";"Exact";"7.7";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869";"";"";"English, German, Polish";"";"1 - 4 (1 simultaneous)";"1869";"Flair";"0\1869";"";"";"1869 1869 flair 1869 english, german, polish";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"2019367";"0-9\1869Pl\1869Pl.Slave";"1869 ? 1993 Max Design";"0";"1869Pl";"1869 ECS";"1993 Max Design";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1869";"OCS/ECS";"Pl";"";"";"";"";"1869";"Exact";"7.7";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869";"";"";"English, German, Polish";"";"1 - 4 (1 simultaneous)";"1869";"Flair";"0\1869";"";"";"1869 1869 flair 1869 english, german, polish";"A-Games"
"NoError, NoDivZero";"525205";"0-9\1943\1943.slave";"1943 - The Battle Of Midway ? 1987 Go!/Probe.";"0";"1943";"1943: The Battle Of Midway";"1987 Probe ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1943";"OCS/ECS";"";"";"";"";"";"1943 the battle of midway";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=19";"19";"Commercial";"English";"1";"1 or 2, Simultaneous";"1943: The Battle of Midway";"Go!";"0\1943-the-battle-of-midway";"OCS";"";"1943 the battle of midway 1943thebattleofmidway 19 go 1943thebattleofmidway english";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"661437";"0-9\1stDivisionManager\1stDivisionManager.Slave";"1st Division Manager ? 1992 Codemasters";"0";"1stDivisionManager";"1st Division Manager";"1992 Codemasters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1stDivisionManager";"OCS/ECS";"";"";"";"";"";"1 st division manager";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=2";"2";"Commercial";"English";"1";"1 Only";"1st Division Manager";"Codemasters";"0\1st-division-manager";"OCS,ECS";"Sports - Football/Soccer";"1 st division manager 1stdivisionmanager 2 codemasters 1stdivisionmanager english";"A-Games"
"NoError, EmulPriv, Examine";"793281";"0-9\20000LeaguesUnderTheSea\20000LeaguesUnderTheSea.Slave";"20000 leagues under the sea ? 1989 Infogrames.";"0";"20000LeaguesUnderTheSea";"20000 leagues under the sea";"1989 Infogrames.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"20000LeaguesUnderTheSea";"OCS/ECS";"";"";"";"";"";"20000 leagues under the sea";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=2867";"2867";"Commercial";"English";"1";"1 Only";"20000 Leagues under the Sea";"Coktel Vision";"0\20000-leagues-under-the-sea";"OCS";"Adventure - Point and Click";"20000 leagues under the sea 20000leaguesunderthesea 2867 coktel vision 20000leaguesunderthesea english";"A-Games"
"NoError, EmulPriv, Examine";"245622";"0-9\3001OConnorsFight\3001OConnorsFight.Slave";"game called:";"0";"3001OConnorsFight";"3001 O";"19?? ???????";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3001OConnorsFight";"OCS/ECS";"";"";"";"";"";"3001 oconnors fight";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=20";"20";"Commercial";"English";"1";"1 Only";"3001: O'Connors Fight";"Rainbow Arts";"0\3001-oconnors-fight";"OCS";"Strategy - Miscellaneous";"3001 oconnors fight 3001oconnorsfight 20 rainbow arts 3001oconnorsfight english";"A-Games"
"NoError, EmulTrap, EmulPriv, ClearMem, Examine, EmulDivZero";"542846";"0-9\3DConstructionKit\3DConstructionKit.Slave";"3D Construction Kit ? 1991 Domark";"0";"3DConstructionKit";"3D Construction Kit";"1991 Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DConstructionKit";"OCS/ECS";"";"";"";"";"";"3d construction kit";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=1497";"1497";"Commercial";"English,German,French,Italian";"1";"1 Only";"3D Construction Kit";"Domark";"0\3d-construction-kit";"OCS,ECS";"Adventure - Construction Kit";"3d construction kit 3dconstructionkit 1497 domark 3dconstructionkit english,german,french,italian";"A-Games"
