"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailYear";"DetailUrl";"DetailId";"DetailLicense";"DetailLanguages";"DetailDisks";"DetailPlayers";"DetailName";"DetailPublisher";"DetailPath";"DetailHardware";"DetailGenre";"Detail_Keywords"
"1000ccTurbo\1000ccTurbo.Slave";"NoError, EmulTrap, NoKbd";"1000cc Turbo (c) 1992 Energize - 1 disk.";"1000cc Turbo";"1992 Energize";"4096";"0\1000ccTurbo_v1.0.lha";"1000ccTurbo";"1000ccTurbo";"0";"whdload";"524288";"450496";"1000ccTurbo";"OCS/ECS";"";"";"";"";"";"1000 cc turbo";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=1501";"1501";"Commercial";"English";"1";"1 Only";"1000cc Turbo";"Impressions";"0\1000cc-turbo";"OCS,ECS";"Racing - Motorcycle";"1000 cc turbo 1000ccturbo 1501 impressions 1000ccturbo english"
"1000Miglia\1000Miglia.Slave";"NoError, EmulTrap";"1000 Miglia ? 1992 Simulmondo.";"1000 Miglia";"1992 Simulmondo";"0";"0\1000Miglia_v1.2.lha";"1000Miglia";"1000Miglia";"0";"whdload";"524288";"915637";"1000Miglia";"OCS/ECS";"";"";"";"";"";"1000 miglia";"Exact";"6.7";"Open Amiga Game Database";"1992";"https://oagd.net/amiga/1000-miglia";;;"English, Italian";;"1";"1000 Miglia";"Simulmondo";"0\1000-miglia";;;"1000 miglia 1000miglia simulmondo 1000miglia english, italian"
"1869\1869.Slave";"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 ECS";"1993 Max Design";"786432";"0\1869_v1.2.lha";"1869";"1869";"0";"whdload";"524288";"1992820";"1869";"OCS/ECS";"";"";"";"";"";"1869";"Exact";"7.7";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869";;;"English, German, Polish";;"1 - 4 (1 simultaneous)";"1869";"Flair";"0\1869";;;"1869 1869 flair 1869 english, german, polish"
"1869AGA\1869AGA.Slave";"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 AGA";"1993 Max Design";"1572864";"0\1869_v1.0_AGA.lha";"1869AGA";"1869AGA";"0";"whdload";"1048576";"2766562";"1869";"AGA";"";"";"";"";"";"1869";"Exact";"7.8";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869-aga";;;"English, German";;"1 - 4 (1 simultaneous)";"1869 [AGA]";"Flair";"0\1869-aga";;;"1869 aga 1869aga flair 1869aga english, german"
"1869AGADe\1869AGADe.Slave";"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 AGA";"1993 Max Design";"1572864";"0\1869_v1.0_De_AGA_1653.lha";"1869AGADe";"1869AGADe";"0";"whdload";"1048576";"2768617";"1869";"AGA";"De";"";"";"";"";"1869";"Exact";"7.7";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869";;;"English, German, Polish";;"1 - 4 (1 simultaneous)";"1869";"Flair";"0\1869";;;"1869 1869 flair 1869 english, german, polish"
"1869De\1869De.Slave";"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 ECS";"1993 Max Design";"786432";"0\1869_v1.2_De_0417.lha";"1869De";"1869De";"0";"whdload";"524288";"1993358";"1869";"OCS/ECS";"De";"";"";"";"";"1869";"Exact";"7.7";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869";;;"English, German, Polish";;"1 - 4 (1 simultaneous)";"1869";"Flair";"0\1869";;;"1869 1869 flair 1869 english, german, polish"
"1869Pl\1869Pl.Slave";"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 ECS";"1993 Max Design";"786432";"0\1869_v1.2_Pl.lha";"1869Pl";"1869Pl";"0";"whdload";"524288";"2019367";"1869";"OCS/ECS";"Pl";"";"";"";"";"1869";"Exact";"7.7";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869";;;"English, German, Polish";;"1 - 4 (1 simultaneous)";"1869";"Flair";"0\1869";;;"1869 1869 flair 1869 english, german, polish"
"1943\1943.slave";"NoError, NoDivZero";"1943 - The Battle Of Midway ? 1987 Go!/Probe.";"1943: The Battle Of Midway";"1987 Probe ";"4096";"0\1943_v1.3.lha";"1943";"1943";"0";"whdload";"524288";"525205";"1943";"OCS/ECS";"";"";"";"";"";"1943 the battle of midway";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=19";"19";"Commercial";"English";"1";"1 or 2, Simultaneous";"1943: The Battle of Midway";"Go!";"0\1943-the-battle-of-midway";"OCS";"";"1943 the battle of midway 1943thebattleofmidway 19 go 1943thebattleofmidway english"
"1stDivisionManager\1stDivisionManager.Slave";"NoError, EmulPriv, ClearMem, Examine";"1st Division Manager ? 1992 Codemasters";"1st Division Manager";"1992 Codemasters";"360448";"0\1stDivisionManager_v1.0_1800.lha";"1stDivisionManager";"1stDivisionManager";"0";"whdload";"524288";"661437";"1stDivisionManager";"OCS/ECS";"";"";"";"";"";"1 st division manager";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=2";"2";"Commercial";"English";"1";"1 Only";"1st Division Manager";"Codemasters";"0\1st-division-manager";"OCS,ECS";"Sports - Football/Soccer";"1 st division manager 1stdivisionmanager 2 codemasters 1stdivisionmanager english"
"20000LeaguesUnderTheSea\20000LeaguesUnderTheSea.Slave";"NoError, EmulPriv, Examine";"20000 leagues under the sea ? 1989 Infogrames.";"20000 leagues under the sea";"1989 Infogrames.";"262144";"0\20000LeaguesUnderTheSea_v1.1.lha";"20000LeaguesUnderTheSea";"20000LeaguesUnderTheSea";"0";"whdload";"524288";"806179";"20000LeaguesUnderTheSea";"OCS/ECS";"";"";"";"";"";"20000 leagues under the sea";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=2867";"2867";"Commercial";"English";"1";"1 Only";"20000 Leagues under the Sea";"Coktel Vision";"0\20000-leagues-under-the-sea";"OCS";"Adventure - Point and Click";"20000 leagues under the sea 20000leaguesunderthesea 2867 coktel vision 20000leaguesunderthesea english"
"20000LeaguesUnderTheSeaEs\20000LeaguesUnderTheSeaEs.Slave";"NoError, EmulPriv, Examine";"20000 leagues under the sea ? 1989 Infogrames.";"20000 leagues under the sea";"1989 Infogrames.";"262144";"0\20000LeaguesUnderTheSea_v1.1_Es.lha";"20000LeaguesUnderTheSeaEs";"20000LeaguesUnderTheSeaEs";"0";"whdload";"524288";"812187";"20000LeaguesUnderTheSea";"OCS/ECS";"Es";"";"";"";"";"20000 leagues under the sea";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=2867";"2867";"Commercial";"English";"1";"1 Only";"20000 Leagues under the Sea";"Coktel Vision";"0\20000-leagues-under-the-sea";"OCS";"Adventure - Point and Click";"20000 leagues under the sea 20000leaguesunderthesea 2867 coktel vision 20000leaguesunderthesea english"
"20000LieuesSousLesMersFr\20000LieuesSousLesMersFr.Slave";"NoError, EmulPriv, Examine";"20000 leagues under the sea ? 1989 Infogrames.";"20000 leagues under the sea";"1989 Infogrames.";"262144";"0\20000LieuesSousLesMers_v1.1_Fr.lha";"20000LieuesSousLesMersFr";"20000LieuesSousLesMersFr";"0";"whdload";"524288";"806774";"20000LieuesSousLesMers";"OCS/ECS";"Fr";"";"";"";"";"20000 lieues sous les mers leagues under the sea";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=2867";"2867";"Commercial";"English";"1";"1 Only";"20000 Leagues under the Sea";"Coktel Vision";"0\20000-leagues-under-the-sea";"OCS";"Adventure - Point and Click";"20000 leagues under the sea 20000leaguesunderthesea 2867 coktel vision 20000leaguesunderthesea english"
"20000LieuesSousLesMersNl\20000LieuesSousLesMersNl.Slave";"NoError, EmulPriv, Examine";"20000 leagues under the sea ? 1989 Infogrames.";"20000 leagues under the sea";"1989 Infogrames.";"262144";"0\20000LieuesSousLesMers_v1.1_Nl.lha";"20000LieuesSousLesMersNl";"20000LieuesSousLesMersNl";"0";"whdload";"524288";"804986";"20000LieuesSousLesMersNl";"OCS/ECS";"";"";"";"";"";"20000 lieues sous les mers nl leagues under the sea";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=2867";"2867";"Commercial";"English";"1";"1 Only";"20000 Leagues under the Sea";"Coktel Vision";"0\20000-leagues-under-the-sea";"OCS";"Adventure - Point and Click";"20000 leagues under the sea 20000leaguesunderthesea 2867 coktel vision 20000leaguesunderthesea english"
"20000MeilenUnterDemMeerDe\20000MeilenUnterDemMeerDe.Slave";"NoError, EmulPriv, Examine";"20000 leagues under the sea ? 1989 Infogrames.";"20000 leagues under the sea";"1989 Infogrames.";"262144";"0\20000MeilenUnterDemMeer_v1.1_De.lha";"20000MeilenUnterDemMeerDe";"20000MeilenUnterDemMeerDe";"0";"whdload";"524288";"777641";"20000MeilenUnterDemMeer";"OCS/ECS";"De";"";"";"";"";"20000 meilen unter dem meer leagues under the sea";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=3313";"3313";"Commercial";"German";"1";"1 Only";"20000 Meilen unter dem Meer";"Coktel Vision";"0\20000-meilen-unter-dem-meer";"OCS";"Adventure - Point and Click";"20000 meilen unter dem meer 20000meilenunterdemmeer 3313 coktel vision 20000meilenunterdemmeer german"
"3001OConnorsFight\3001OConnorsFight.Slave";"NoError, EmulPriv, Examine";"game called:";"3001 O";"19?? ???????";"1310720";"0\3001OConnorsFight_v1.0.lha";"3001OConnorsFight";"3001OConnorsFight";"0";"whdload";"1048576";"245622";"3001OConnorsFight";"OCS/ECS";"";"";"";"";"";"3001 oconnors fight";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=20";"20";"Commercial";"English";"1";"1 Only";"3001: O'Connors Fight";"Rainbow Arts";"0\3001-oconnors-fight";"OCS";"Strategy - Miscellaneous";"3001 oconnors fight 3001oconnorsfight 20 rainbow arts 3001oconnorsfight english"
"3DConstructionKit\3DConstructionKit.Slave";"NoError, EmulTrap, EmulPriv, ClearMem, Examine, EmulDivZero";"3D Construction Kit ? 1991 Domark";"3D Construction Kit";"1991 Domark";"1310720";"0\3DConstructionKit_v1.0_1765.lha";"3DConstructionKit";"3DConstructionKit";"0";"whdload";"524288";"542846";"3DConstructionKit";"OCS/ECS";"";"";"";"";"";"3d construction kit";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=1497";"1497";"Commercial";"English,German,French,Italian";"1";"1 Only";"3D Construction Kit";"Domark";"0\3d-construction-kit";"OCS,ECS";"Adventure - Construction Kit";"3d construction kit 3dconstructionkit 1497 domark 3dconstructionkit english,german,french,italian"
"3DGalax\3DGalax.Slave";"NoError, EmulTrap";"3D Galax (c) 1989 Gremlin - 1 disk.";"3D Galax";"1989 Gremlin";"4096";"0\3DGalax_v1.0_1085.lha";"3DGalax";"3DGalax";"0";"whdload";"524288";"460401";"3DGalax";"OCS/ECS";"";"";"";"";"";"3d galax";"Exact";"100";"Lemon Amiga";"1988";"http://www.lemonamiga.com/games/details.php?id=1498";"1498";"Commercial";"English";"1";"1 Only";"3D Galax";"Gremlin Graphics";"0\3d-galax";"OCS";"";"3d galax 3dgalax 1498 gremlin graphics 3dgalax english"
"3DPool\3DPool.Slave";"NoError";"3D Pool (c) 1989 Aardvark Software/Firebird.";"3D Pool";"1989 Aardvark Software/Firebird";"0";"0\3DPool_v1.2_0621.lha";"3DPool";"3DPool";"0";"whdload";"524288";"481992";"3DPool";"OCS/ECS";"";"";"";"";"";"3d pool";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=1287";"1287";"Commercial";"English";"1";"1 or 2";"3D Pool";"Firebird";"0\3d-pool";"OCS";"Sports - Snooker/Pool";"3d pool 3dpool 1287 firebird 3dpool english"
"3DPool\3DPictures.Slave";"NoError, ClearMem";"3D Pool (c) 1989 Aardvark Software/Firebird.";"3D Pool (Pictures)";"1989 Aardvark Software/Firebird";"4096";"0\3DPool_v1.2_0621.lha";"3DPool";"3DPool";"0";"whdload";"528384";"481992";"3DPool";"OCS/ECS";"";"";"";"";"";"3d pool pictures";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=1287";"1287";"Commercial";"English";"1";"1 or 2";"3D Pool";"Firebird";"0\3d-pool";"OCS";"Sports - Snooker/Pool";"3d pool 3dpool 1287 firebird 3dpool english"
"3DWorldBoxing\3DWorldBoxing.Slave";"NoError, EmulTrap, ClearMem";"3D World Boxing ? 1992 Simulmondo.";"3D Wolrd Boxing";"1992 Silmulmondo.";"0";"0\3DWorldBoxing_v1.0_2223.lha";"3DWorldBoxing";"3DWorldBoxing";"0";"whdload";"524288";"913071";"3DWorldBoxing";"OCS/ECS";"";"";"";"";"";"3d world boxing wolrd";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=8";"8";"Commercial";"English,German,French,Italian";"1";"1 or 2, Simultaneous";"3D World Boxing";"Simulmondo";"0\3d-world-boxing";"OCS,ECS";"Sports - Boxing";"3d world boxing 3dworldboxing 8 simulmondo 3dworldboxing english,german,french,italian"
"3DWorldSoccer\3DWorldSoccer.Slave";"NoError, EmulTrap, EmulPriv, Examine";"3D World Soccer ? 1992 Simulmondo.";"3D World Soccer";"1992 Simulmondo";"786432";"0\3DWorldSoccer_v1.0.lha";"3DWorldSoccer";"3DWorldSoccer";"0";"whdload";"524288";"1565979";"3DWorldSoccer";"OCS/ECS";"";"";"";"";"";"3d world soccer";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=1496";"1496";"Commercial";"English,German,French,Italian";"2";"";"3D World Soccer";"Simulmondo";"0\3d-world-soccer";"OCS,ECS";"Sports - Football/Soccer";"3d world soccer 3dworldsoccer 1496 simulmondo 3dworldsoccer english,german,french,italian"
"3DWorldTennis\3DWorldTennis.Slave";"NoError, EmulPriv, Examine";"3D World Tennis ? 1992 Simulmondo.";"3D World Tennis";"1992 Simulmondo";"786432";"0\3DWorldTennis_v1.0_2224.lha";"3DWorldTennis";"3DWorldTennis";"0";"whdload";"524288";"730208";"3DWorldTennis";"OCS/ECS";"";"";"";"";"";"3d world tennis";"Exact";"100";"Lemon Amiga";"1992";"http://www.lemonamiga.com/games/details.php?id=2130";"2130";"Commercial";"English,German,French,Italian";"1";"1 or 2, Simultaneous";"3D World Tennis";"Simulmondo";"0\3d-world-tennis";"OCS,ECS";"Sports - Tennis";"3d world tennis 3dworldtennis 2130 simulmondo 3dworldtennis english,german,french,italian"
