"Url";"Path";"Year";"Languages";"Players";"Name";"Publisher";"Score";"Developer"
"https://oagd.net/amiga/1000-miglia";"0\1000-miglia";"1992";"English, Italian";"1";"1000 Miglia";"Simulmondo";"6.7";"Simulmondo"
"https://oagd.net/amiga/1000cc-turbo";"0\1000cc-turbo";"1990";"English";"1";"1000cc Turbo";"Impressions";"N/A";"Max Design"
"https://oagd.net/amiga/1497-five-years-after";"0\1497-five-years-after";"1996";"English";"1 - 4 (1 simultaneous)";"1497: Five Years After";"Shareware";"N/A";"Jan Hagqvist"
"https://oagd.net/game/afb98c2e-7630-5518-89c4-b10151e3b4e2";"0\17-4-media";"1991";"German";"1";"17 + 4 (media)";"Amiga Special";"N/A";"HLC"
"https://oagd.net/amiga/1869";"0\1869";"1993";"English, German, Polish";"1 - 4 (1 simultaneous)";"1869";"Flair";"7.7";"Max Design"
"https://oagd.net/amiga/1869-aga";"0\1869-aga";"1993";"English, German";"1 - 4 (1 simultaneous)";"1869 [AGA]";"Flair";"7.8";"Max Design"
"https://oagd.net/amiga/1943-the-battle-of-midway";"0\1943-the-battle-of-midway";"1989";"English";"1 - 2 (1 simultaneous)";"1943: The Battle of Midway";"GO! (U.S. Gold)";"6.4";"Probe"
"https://oagd.net/amiga/1st-division-manager";"0\1st-division-manager";"1992";"English";"1";"1st Division Manager";"Codemasters";"N/A";"Cirrus"
"https://oagd.net/amiga/20000-leagues-under-the-sea";"0\20000-leagues-under-the-sea";"1989";"English, Spanish";"1";"20000 Leagues Under the Sea";"Coktel";"N/A";
"https://oagd.net/amiga/3001-o-connors-fight";"0\3001-o-connors-fight";"1990";"English";"1";"3001 O'Connor's Fight";"Rainbow Arts";"N/A";
"https://oagd.net/game/8eb436f2-e789-504e-ac8f-ce2b98b90d2d";"0\3d-construction-kit";"1991";"English, German, French, Italian";"1";"3D Construction Kit";"Domark";"N/A";"Incentive"
"https://oagd.net/amiga/3d-galax";"0\3d-galax";"1989";"English";"1";"3D Galax";"Gremlin";"N/A";
"https://oagd.net/amiga/3d-pool";"0\3d-pool";"1989";"English";"1 - 2 (1 simultaneous)";"3D Pool";"Firebird";"8.0";"Aardvark"
"https://oagd.net/game/f7a58bad-3a0d-5644-a1e0-4a37037d6e00";"0\3d-world-boxing";"1992";"English, German, French, Italian";"1 -2 (2 simultaneous)";"3D World Boxing";"Simulmondo";"N/A";
"https://oagd.net/amiga/3d-world-soccer";"0\3d-world-soccer";"1992";"English, German, French, Italian";"1";"3D World Soccer";"Simulmondo";"N/A";"Simulmondo"
"https://oagd.net/amiga/3d-world-tennis";"0\3d-world-tennis";"1992";"English, German, French, Italian";"1 - 2 (2 simultaneous)";"3D World Tennis";"Simulmondo";"N/A";
"https://oagd.net/amiga/4-get-it";"0\4-get-it";"1992";"English";"1";"4-Get-It";"TTR";"N/A";"Silverfox"
"https://oagd.net/amiga/4-way-lynx";"0\4-way-lynx";"1990";"English";"1";"4-Way Lynx";"Deja Vu";"N/A";
"https://oagd.net/amiga/4d-sports-boxing";"0\4d-sports-boxing";"1991";"English";"1 - 2 (2 simultaneous)";"4D Sports Boxing";"Mindscape";"N/A";"Distinctive Software Inc."
"https://oagd.net/amiga/4d-sports-driving";"0\4d-sports-driving";"1992";"English";"1";"4D Sports Driving";"Mindscape";"7.1";"Distinctive"
"https://oagd.net/game/e796266e-8c1b-5764-a2b8-cddf54efbe70";"0\4th-inches";"1988";"English";"1 -2 (2 simultaneous)";"4th & Inches";"Accolade";"N/A";"Sculptured"
"https://oagd.net/game/7c88d9f2-920f-5cca-ba1b-a31af5681aa6";"0\4x4-off-road-racing";"1989";"English";"1";"4X4 Off-Road Racing";"U.S. Gold / Epyx";"N/A";
"https://oagd.net/game/03297dc4-53e4-5676-a70a-51a2a85bdadb";"0\5th-gear";"1990";"English";"1";"5th Gear";"Hewson";"N/A";"Micro Wish"
"https://oagd.net/amiga/688-attack-sub";"0\688-attack-sub";"1990";"English";"1";"688 Attack Sub";"Electronic Arts";"7.9";
"https://oagd.net/amiga/7-colors";"0\7-colors";"1991";"English, German, Spanish, French, Italian";"1 - 2 (1 simultaneous)";"7 Colors";"Infogrames";"6.9";"Gamos"
"https://oagd.net/amiga/9-lives";"0\9-lives";"1990";"English";"1";"9 Lives";"ARC (Atari UK)";"7.3";"Frames"
"https://oagd.net/amiga/a-10-tank-killer";"a\a-10-tank-killer";"1990";"English";"1";"A-10 Tank Killer";"Dynamix";"N/A";"Dynamix"
"https://oagd.net/amiga/a-train";"a\a-train";"1992";"English, cs, German, French, Polish";"1";"A-Train";"Ocean / Maxis";"8.2";"The Dreamers Guild"
"https://oagd.net/amiga/a320-airbus";"a\a320-airbus";"1991";"English";"1";"A320 Airbus";"Thalion";"7.9";"Rainer Bopf Software"
"https://oagd.net/amiga/aaargh";"a\aaargh";"1988";"English";"1 - 2 (2 simultaneous)";"AAARGH!";"Melbourne House";"N/A";"Sculptured Software"
"https://oagd.net/amiga/abandoned-places-a-time-for-heroes";"a\abandoned-places-a-time-for-heroes";"1992";"English, German";"1";"Abandoned Places - A Time for Heroes";"Electric Zoo";"8.1";"ArtGame"
"https://oagd.net/amiga/abandoned-places-2";"a\abandoned-places-2";"1993";"English, German, French";"1";"Abandoned Places 2";"I.C.E.";"7.6";"ArtGame"
"https://oagd.net/game/cf256fee-42be-54d9-8ae6-e2b771ed861b";"a\abc-monday-night-football";"1990";"English";"1-2 (2 simultaneous)";"ABC Monday Night Football";"Data East";"N/A";"Monarch Development"
"https://oagd.net/amiga/above-top-secret";"a\above-top-secret";"1997";"English";"1";"Above Top Secret";"F1 Licenseware";"N/A";"Psyche"
"https://oagd.net/amiga/abracadabra";"a\abracadabra";"1991";"English, German, Spanish, French, Italian";"1";"Abracadabra";"Coktel";"N/A";
"https://oagd.net/amiga/abu-simbel-profanation";"a\abu-simbel-profanation";;"English";;"Abu Simbel Profanation";;"N/A";
"https://oagd.net/amiga/abyss";"a\abyss";"1991";"English";"1";"Abyss";"Free Spirit";"N/A";"Synthicat"
"https://oagd.net/amiga/abzoo";"a\abzoo";"1989";"English";"1";"ABZoo";"Indi";"N/A";"Excalibur Computing & Learning"
"https://oagd.net/amiga/academy";"a\academy";"1988";"English";"1";"Academy";"CRL";"N/A";"ComTec"
"https://oagd.net/amiga/accordion";"a\accordion";"1990";"English";"1";"Accordion";"UnSane Creations / Computermate";"N/A";
"https://oagd.net/amiga/ace-ball";"a\ace-ball";"1995";"Polish";"1 - 2 (2 simultaneous)";"Ace Ball";"Tim Soft";"N/A";
"https://oagd.net/amiga/ace-the-space-case";"a\ace-the-space-case";"1994";"English";"1";"Ace The Space-Case";"Amiga Action (Europress)";"N/A";"Grand Master Design"
"https://oagd.net/amiga/action-cat";"a\action-cat";"1995";"English, German";"1";"Action Cat";"1001";"N/A";
"https://oagd.net/amiga/action-fighter";"a\action-fighter";"1989";"English";"1";"Action Fighter";"Sega / Firebird";"N/A";"Core"
"https://oagd.net/amiga/action-service";"a\action-service";"1989";"English";"1 - 12 (1 simultaneous)";"Action Service";"Infogrames";"6.4";"Cobra Soft"
"https://oagd.net/amiga/the-addams-family";"t\the-addams-family";"1992";"English, German, French";"1";"The Addams Family";"Ocean";"8.3";"Ocean"
"https://oagd.net/game/6fe06be1-a50a-54be-96f3-d6f1bbc531f0";"a\adi-junior-helps-with-counting-6-7";"1994";"English";"1";"ADI Junior Helps With Counting (6-7)";"Europress";"N/A";"Coktel"
"https://oagd.net/game/3900d25d-3644-514b-b1e6-1b0261ed638f";"a\adi-junior-helps-with-reading-6-7";"1994";"English";"1";"ADI Junior Helps With Reading (6-7)";"Europress";"N/A";"Coktel"
"https://oagd.net/amiga/adrenalynn";"a\adrenalynn";"1991";"English";"1 - 4 (4 simultaneous)";"Adrenalynn";"Global Software (DMI) / Loriciel";"7.2";"Exponentia"
"https://oagd.net/game/6b11661f-e664-5439-87b7-9312550621ce";"a\ads-advanced-destroyer-simulator";"1991";"English, French";"1";"ADS: Advanced Destroyer Simulator";"Futura";"N/A";"Didier Arnaud"
"https://oagd.net/amiga/heroes-of-the-lance";"a\advanced-dungeons-dragons-dragon-lance-heroes-of-the-lance";"1988";"English";"1";"Advanced Dungeons & Dragons - Dragon Lance - Heroes of the Lance";"U.S. Gold Ltd.";"N/A";"Adventuresoft UK Ltd - Teoman Irmak, Matt Ellis, Antony M. Scott, Graham Lilley, Alan Bridgman, Brian Howarth, Richard Sheldon & Mike Woodroffe"
"https://oagd.net/game/e29544ae-49c8-5724-997a-8bd76b3281a7";"a\advanced-ski-simulator";"1989";"English";"1 - 2 (2 simultaneous)";"Advanced Ski Simulator";"Codemasters";"N/A";"The Highlanders"
"https://oagd.net/amiga/advantage-tennis";"a\advantage-tennis";"1991";"English, German, French";"1 - 2 (2 simultaneous)";"Advantage Tennis";"Infogrames";"7.9";
"https://oagd.net/game/46baebd0-3a52-526f-9a9b-a5b6da07226a";"a\adventures-in-math";"1991";"English";"1";"Adventures in Math";"Free Spirit";"N/A";"Free Spirit"
"https://oagd.net/amiga/the-adventures-of-maddog-williams";"t\the-adventures-of-maddog-williams";"1991";"English";"1";"The Adventures of Maddog Williams";"Game Crafters";"N/A";"Iliad"
"https://oagd.net/amiga/the-adventures-of-quik-and-silva";"t\the-adventures-of-quik-and-silva";"1991";"English";"1 - 2 (1 simultaneous)";"The Adventures of Quik and Silva";"Amiga Fun";"N/A";
"https://oagd.net/amiga/the-adventures-of-robin-hood";"t\the-adventures-of-robin-hood";"1991";"English, German, French, Italian";"1";"The Adventures of Robin Hood";"Millennium";"8.0";"Firstlight"
"https://oagd.net/amiga/the-adventures-of-willy-beamish";"t\the-adventures-of-willy-beamish";"1992";"English";"1";"The Adventures of Willy Beamish";"Dynamix";"N/A";
"https://oagd.net/amiga/african-raiders-01";"a\african-raiders-01";"1989";"English";"1";"African Raiders-01";"Tomahawk";"N/A";"Tomahawk"
"https://oagd.net/amiga/after-burner-activision";"a\after-burner-activision";"1988";"English";"1";"After Burner [Activision]";"Activision";"6.3";"Argonaut"
"https://oagd.net/amiga/after-burner-sega";"a\after-burner-sega";"1989";"English";"1";"After Burner [Sega]";"Sega";"N/A";"Weebee Games"
"https://oagd.net/amiga/after-the-war";"a\after-the-war";"1989";"English";"1";"After the War";"Dinamic Software";"7.5";
"https://oagd.net/amiga/agony";"a\agony";"1992";"English";"1";"Agony";"Psygnosis";"7.8";"Art and Magic"
"https://oagd.net/amiga/laigle-dor-le-retour";"l\laigle-dor-le-retour";"1991";"French";"1";"L'Aigle d'or : le Retour";"Loriciel";"N/A";
"https://oagd.net/amiga/air-support";"a\air-support";"1992";"English";"1";"Air Support";"Psygnosis";"7.1";
"https://oagd.net/amiga/air-warrior";"a\air-warrior";"1990";"English";"1";"Air Warrior";"On-line";"7.3";"Kesmai"
"https://oagd.net/amiga/airball";"a\airball";"1989";"English";"1";"Airball";"Microdeal [MichTron]";"N/A";
"https://oagd.net/amiga/airborne-ranger";"a\airborne-ranger";"1989";"English";"1";"Airborne Ranger";"MicroProse";"7.6";"Imagitec"
"https://oagd.net/game/51d3bb20-9827-593e-a205-6bebd296df4c";"a\akira";"1994";"English";"1";"Akira";"I.C.E.";"N/A";
"https://oagd.net/amiga/aladdin";"a\aladdin";"1994";"English";"1";"Aladdin";"Virgin";"8.5";
