"Compo";"Rank";"Groups";"ProductionPath";"Type";"Party";"ScreenshotUrl";"Date";"Name";"Platform";"ProductionUrl"
"";"";"$0ff2 Crew";"g\green-popel-0ff2-crew";"intro";"";"http://content.pouet.net/files/screenshots/00027/00027597.png";"december 1988";"green popel";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=27597"
"";"";"10-Points";"h\helis-2nd-demo-10-points";"dentro";"";"http://content.pouet.net/files/screenshots/00066/00066172.png";"january 1991";"Helis - 2nd Demo";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=66172"
"";"";"1001 Crew";"d\demo-1-1001-crew";"demo";"";"http://content.pouet.net/files/screenshots/00018/00018932.jpg";"march 1987";"Demo 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=18932"
"";"";"1001 Crew";"s\space-demo-1001-crew";"demo";"";"http://content.pouet.net/files/screenshots/00054/00054280.png";"1987";"Space demo";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=54280"
"";"";"101 The Maltese Hackers";"0\4th-demo-101-the-maltese-hackers";"dentro";"";"http://content.pouet.net/files/screenshots/00066/00066173.png";"november 1988";"4th Demo";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=66173"
"";"";"17 bit";"a\amigadeus-musicdisk-17-bit";"musicdisk";"";"http://content.pouet.net/files/screenshots/00066/00066214.png";"july 1990";"Amigadeus Musicdisk";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=66214"
"n/a";"n/a";"17 bit";"a\awesome-music-1-17-bit";"musicdisk";"Commodore Show 1989";"http://content.pouet.net/files/screenshots/00009/00009400.png";"may 1989";"Awesome Music #1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=9400"
"";"";"17 bit";"c\christmas-music-17-bit";"musicdisk";"";"http://content.pouet.net/files/screenshots/00066/00066690.png";"1989";"Christmas Music";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=66690"
"";"";"17 bit";"c\cyclic-17-bit";"demo";"";"http://content.pouet.net/files/screenshots/00066/00066210.png";"may 1992";"Cyclic";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=66210"
"";"";"17 bit";"i\intros-disk-01-17-bit";"demopack";"";"http://content.pouet.net/files/screenshots/00066/00066218.png";"1988";"Intros Disk 01";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=66218"
"";"";"17 bit";"i\intros-disk-03-17-bit";"demopack";"";"http://content.pouet.net/files/screenshots/00066/00066230.png";"1988";"Intros Disk 03";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=66230"
"";"";"17 bit";"i\intros-disk-04-17-bit";"demopack";"";"http://content.pouet.net/files/screenshots/00066/00066301.png";"1988";"Intros Disk 04";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=66301"
"";"";"2 Static";"m\music-disk-1-2-static";"musicdisk";"";"http://content.pouet.net/files/screenshots/00066/00066903.png";"1990";"Music Disk 1";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=66903"
"";"";"2000AD";"0\3d-2000ad";"demopack";"";"http://content.pouet.net/files/screenshots/00055/00055516.png";"n/a";"3D";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=55516"
"";"";"2000AD";"a\amiga-first-intro-2000ad";"demo";"";"http://content.pouet.net/files/screenshots/00033/00033099.jpg";"n/a";"Amiga First Intro";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33099"
"";"";"2000AD";"a\anti-anal-orgy-intro-2000ad";"intro";"";"http://content.pouet.net/files/screenshots/00033/00033086.jpg";"december 1992";"Anti-Anal-Orgy Intro";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33086"
"";"";"2000AD";"a\ascii-ansi-collection-01-intro-2000ad";"intro";"";"http://content.pouet.net/files/screenshots/00057/00057979.jpg";"august 1994";"Ascii/Ansi Collection #01 - Intro";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=57979"
"";"";"2000AD";"b\back-in-bizness-2000ad";"demo";"";"http://content.pouet.net/files/screenshots/00033/00033072.jpg";"n/a";"Back in Bizness";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33072"
"";"";"2000AD";"b\bbs-info-2000ad";"bbstro";"";"http://content.pouet.net/files/screenshots/00007/00007928.jpg";"n/a";"BBS Info";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=7928"
"";"";"2000AD";"b\bbs-intro-2000ad";"bbstro";"";"http://content.pouet.net/files/screenshots/00007/00007929.jpg";"n/a";"BBS Intro";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=7929"
"";"";"2000AD";"b\bc-kid-trainer-2000ad";"cracktro";"";"http://content.pouet.net/files/screenshots/00016/00016712.jpg";"1992";"BC Kid trainer";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=16712"
"";"";"2000AD";"c\cosmo-flight-2000ad";"intro";"";"http://content.pouet.net/files/screenshots/00007/00007931.jpg";"n/a";"Cosmo Flight";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=7931"
"";"";"2000AD";"c\cracktro-simcity-deluxe-2000ad";"cracktro";"";"http://content.pouet.net/files/screenshots/00033/00033090.jpg";"n/a";"Cracktro SimCity DeLuxe";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33090"
"";"";"2000AD";"c\creatures-trainer-2000ad";"cracktro";"";"http://content.pouet.net/files/screenshots/00027/00027563.png";"1992";"Creatures trainer";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=27563"
"";"";"2000AD";"d\dont-reset-2000ad";"intro";"";"http://content.pouet.net/files/screenshots/00007/00007932.jpg";"november 1992";"Don't Reset";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=7932"
"";"";"2000AD";"d\droiddemo-2000ad";"demo";"";"http://content.pouet.net/files/screenshots/00033/00033073.jpg";"n/a";"Droiddemo";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=33073"
"";"";"2000AD";"e\enjoystick-2000ad";"intro";"";"http://content.pouet.net/files/screenshots/00007/00007933.jpg";"n/a";"Enjoystick";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=7933"
