"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"1000ccTurbo\1000ccTurbo.Slave";"NoError, EmulTrap, NoKbd";"1000cc Turbo (c) 1992 Energize - 1 disk.";"1000cc Turbo";"1992 Energize";"4096";"0\1000ccTurbo_v1.0.lha";"1000ccTurbo";"1000ccTurbo";"0";"whdload";"524288";"450496";"1000ccTurbo";"OCS/ECS";"";"";"";"";"";"1000 cc turbo";"Exact";"100";"1000ccTurbo";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\1000ccTurbo.png";"1000ccturbo"
"1000Miglia\1000Miglia.Slave";"NoError, EmulTrap";"1000 Miglia ? 1992 Simulmondo.";"1000 Miglia";"1992 Simulmondo";"0";"0\1000Miglia_v1.2.lha";"1000Miglia";"1000Miglia";"0";"whdload";"524288";"915637";"1000Miglia";"OCS/ECS";"";"";"";"";"";"1000 miglia";"Exact";"100";"1000Miglia";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\1000Miglia.png";"1000miglia"
"1869AGA\1869AGA.Slave";"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 AGA";"1993 Max Design";"1572864";"0\1869_v1.0_AGA.lha";"1869AGA";"1869AGA";"0";"whdload";"1048576";"2766562";"1869";"AGA";"";"";"";"";"";"1869";"Exact";"100";"1869AGA";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\1869AGA.png";"1869aga"
"1869AGADe\1869AGADe.Slave";"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 AGA";"1993 Max Design";"1572864";"0\1869_v1.0_De_AGA_1653.lha";"1869AGADe";"1869AGADe";"0";"whdload";"1048576";"2768617";"1869";"AGA";"De";"";"";"";"";"1869";"Exact";"100";"1869AGADe";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\1869AGADe.png";"1869agade"
"1869\1869.Slave";"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 ECS";"1993 Max Design";"786432";"0\1869_v1.2.lha";"1869";"1869";"0";"whdload";"524288";"1992820";"1869";"OCS/ECS";"";"";"";"";"";"1869";"Exact";"100";"1869";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\1869.png";"1869"
"1869De\1869De.Slave";"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 ECS";"1993 Max Design";"786432";"0\1869_v1.2_De_0417.lha";"1869De";"1869De";"0";"whdload";"524288";"1993358";"1869";"OCS/ECS";"De";"";"";"";"";"1869";"Exact";"100";"1869De";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\1869De.png";"1869de"
"1869Pl\1869Pl.Slave";"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 ECS";"1993 Max Design";"786432";"0\1869_v1.2_Pl.lha";"1869Pl";"1869Pl";"0";"whdload";"524288";"2019367";"1869";"OCS/ECS";"Pl";"";"";"";"";"1869";"Exact";"100";"1869Pl";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\1869Pl.png";"1869pl"
"1943\1943.slave";"NoError, NoDivZero";"1943 - The Battle Of Midway ? 1987 Go!/Probe.";"1943: The Battle Of Midway";"1987 Probe ";"4096";"0\1943_v1.3.lha";"1943";"1943";"0";"whdload";"524288";"525205";"1943";"OCS/ECS";"";"";"";"";"";"1943 the battle of midway";"Exact";"100";"1943";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\1943.png";"1943"
"1stDivisionManager\1stDivisionManager.Slave";"NoError, EmulPriv, ClearMem, Examine";"1st Division Manager ? 1992 Codemasters";"1st Division Manager";"1992 Codemasters";"360448";"0\1stDivisionManager_v1.0_1800.lha";"1stDivisionManager";"1stDivisionManager";"0";"whdload";"524288";"661437";"1stDivisionManager";"OCS/ECS";"";"";"";"";"";"1 st division manager";"Exact";"100";"1stDivisionManager";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\1stDivisionManager.png";"1stdivisionmanager"
"20000LeaguesUnderTheSea\20000LeaguesUnderTheSea.Slave";"NoError, EmulPriv, Examine";"20000 leagues under the sea ? 1989 Infogrames.";"20000 leagues under the sea";"1989 Infogrames.";"262144";"0\20000LeaguesUnderTheSea_v1.1.lha";"20000LeaguesUnderTheSea";"20000LeaguesUnderTheSea";"0";"whdload";"524288";"806179";"20000LeaguesUnderTheSea";"OCS/ECS";"";"";"";"";"";"20000 leagues under the sea";"Exact";"100";"20000LeaguesUnderTheSea";"D:\work2\amiga-whdload-game-scripts\screenshots\Mr V\PNG_Screens\Game\20000LeaguesUnderTheSea.png";"20000leaguesunderthesea"
