EntryName;QueryPatch
CrackerJournal01;cracker journal 1 alpha flight
CrackerJournal02;cracker journal 2 alpha flight
CrackerJournal03;cracker journal 3 alpha flight
CrackerJournal20;cracker journal 20 alpha flight
CrackerJournal21;cracker journal 21 alpha flight
CrackerJournal22;cracker journal 22 alpha flight
DISC1;disc issue 1 level 4
DISC2;disc issue 2 level 4
DISC3;disc issue 3 level 4
DISC4;disc issue 4 level 4
Exit1;exit 1 vectors
Exit2;exit 2 vectors
FourthDimension1;4th dimension 1 cryptoburners
FourthDimension2;4th dimension 2 cryptoburners
Ice01;ice 1 intro cytax
Ice02;ice 2 intro cytax
PENIS1;penis 1 doctor mabuse orgasm crackings
PENIS2;penis 2 doctor mabuse orgasm crackings
ROM1;rom 1 essence
ROM2;rom 2 essence
