"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName";"AppendName"
"AddamsFamily\AddamsFamily.slave";"NoError, EmulTrap";"Addams Family (c) 1992 Ocean - 1 disk.";"Addams Family";"1992 Ocean";"0";"A\AddamsFamily_v1.4_BETA_0419.lha";"AddamsFamily";"AddamsFamily";"0";"whdload";"524288";"800893";"AddamsFamily";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"AladdinAGA\AladdinAGA.slave";"NoError, Req68020, ReqAGA, ClearMem";"Aladdin (c) 1994 Virgin.";"Aladdin";"1994 Virgin";"4096";"A\Aladdin_v1.8_AGA_0420.lha";"AladdinAGA";"AladdinAGA";"0";"whdload";"2048000";"2001739";"Aladdin";"AGA";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Alien3\Alien3.slave";"Disk, NoError";"Alien III ? 1992 Virgin";"Alien III";"1992 Virgin";"524288";"A\Alien3_v2.2.lha";"Alien3";"Alien3";"0";"whdload";"524288";"1823917";"Alien3";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"AnotherWorldLostLevel\AnotherWorldLostLevel.Slave";"NoError, EmulPriv, Examine";"";"Another World";"1991 Delphine Software";"786432";"A\AnotherWorldLostLevel_v1.1_Hack_by_Earok.lha";"AnotherWorldLostLevel";"AnotherWorldLostLevel";"0";"whdload";"524288";"753971";"AnotherWorldLostLevel";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"ApidyaSpecialEdition\ApidyaSE.slave";"EmulTrap, ClearMem";"";"Apidya";"1992 Play Byte";"0";"A\ApidyaSpecialEdition_v1.1_Hack_by_Earok.lha";"ApidyaSpecialEdition";"ApidyaSpecialEdition";"0";"whdload";"524288";"2161235";"ApidyaSpecialEdition";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Area88\Area88.slave";"NoError";"";"UN Squadron";"1990 US Gold";"0";"A\Area88_v1.2_Hack_by_Earok.lha";"Area88";"Area88";"0";"whdload";"524288";"776834";"Area88";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Armalyte\Armalyte.Slave";"NoError, EmulTrap, ClearMem";"Armalyte ? 1991 Thalamus.";"Armalyte";"1991 Thalamus";"0";"A\Armalyte_v1.3_BETA.lha";"Armalyte";"Armalyte";"0";"whdload";"524288";"1349840";"Armalyte";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Boppin\Boppin.Slave";"NoError, EmulPriv";"";" Boppin";"July 2018 ";"786432";"B\Boppin_v1.0.lha";"Boppin";"Boppin";"0";"whdload";"524288";"920763";"Boppin";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"BuggyBoy\BuggyBoy.slave";"NoError, EmulTrap";"Buggy Boy (c) 1988 Elite - 1 disk.";"Buggy Boy";"1988 Elite";"0";"B\BuggyBoy_v1.3_BETA_0465.lha";"BuggyBoy";"BuggyBoy";"0";"whdload";"524288";"426063";"BuggyBoy";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Cobra\Cobra.slave";"NoError, NoKbd";"";"Cobra";"1991 Bytec";"0";"C\Cobra_v1.0.lha";"Cobra";"Cobra";"0";"whdload";"524288";"1055546";"Cobra";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"DeepCoreCD32\DeepCoreCD32.Slave";"NoError, EmulTrap, Req68020, EmulPriv, Examine";"Deep Core ? 1993 ICE.";"Deep Core CD³²";"1993 ICE";"524288";"D\DeepCore_v1.0_CD32_BETA.lha";"DeepCoreCD32";"DeepCoreCD32";"0";"whdload";"1912832";"4793308";"DeepCore";"CD32";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"DeepCore\DeepCore.Slave";"Disk, NoError, EmulTrap, ClearMem";"Deep Core ? 1993 ICE.";"Deep Core";"1993 ICE";"0";"D\DeepCore_v1.2_BETA.lha";"DeepCore";"DeepCore";"0";"whdload";"1044480";"2451922";"DeepCore";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"EyeOfTheBeholderAGA\EyeOfTheBeholderAGA.Slave";"NoError, Req68020, EmulPriv, Examine";"";"Eye Of The Beholder AGA";"Westwood Studio.";"1572864";"E\EyeOfTheBeholder_v0.2_AGA.lha";"EyeOfTheBeholderAGA";"EyeOfTheBeholderAGA";"0";"whdload";"2097152";"3714566";"EyeOfTheBeholder";"AGA";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"EyeOfTheBeholder2AGA\EyeOfTheBeholder2AGA.Slave";"NoError, Req68020, EmulPriv, Examine";"";"Eye Of The Beholder 2 AGA";"Westwood Studio.";"1572864";"E\EyeOfTheBeholder2_v0.1_AGA.lha";"EyeOfTheBeholder2AGA";"EyeOfTheBeholder2AGA";"0";"whdload";"2097152";"3683079";"EyeOfTheBeholder2";"AGA";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"FlyingSharkSE\FlyingSharkSE.Slave";"NoError, EmulTrap, EmulPriv";"Flying Shark ? 1988 Taito, FireBird.";"Flying Shark";"1988 Taito , FireBird";"262144";"F\FlyingSharkSpecialEdition_v1.0_Hack_by_Earok.lha";"FlyingSharkSE";"FlyingSharkSE";"0";"whdload";"589824";"922957";"FlyingSharkSE";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"GhostBattle\GhostBattle.slave";"NoError, EmulTrap, ClearMem";"Ghost Battle by Thalion (c) 1991 - 1 disk.";"Ghost Battle";"1991 Thalion";"4096";"G\GhostBattle_v1.3.lha";"GhostBattle";"GhostBattle";"0";"whdload";"524288";"1014200";"GhostBattle";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"Giana2\Giana2.slave";"Disk, NoError, EmulTrap, NoKbd";"Hard'n'Heavy (c) 1989 Reline.";"Hard";"1989 Reline";"0";"G\Giana2_v1.02_HardNHeavyHack.lha";"Giana2";"Giana2";"0";"whdload";"524288";"704627";"Giana2";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
"GianaSistersSE\GianaSistersSE.slave";"NoError, EmulTrap, ClearMem";"Great Giana Sisters (c) 1988 Timewarp/Rainbow Arts.";"The Great Giana Sisters";"1988 Timewarp/Rainbow Arts";"4096";"G\GianaSistersSE_v1.2.lha";"GianaSistersSE";"GianaSistersSE";"0";"whdload";"524288";"3615411";"GianaSistersSE";"OCS/ECS";"";"";"";"";"";"A-Beta";"Games Beta/Unreleased";" (Beta/Unreleased)"
