"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"1000ccTurbo\1000ccTurbo.Slave";"NoError, EmulTrap, NoKbd";"1000cc Turbo (c) 1992 Energize - 1 disk.";"1000cc Turbo";"1992 Energize";"4096";"0\1000ccTurbo_v1.0.lha";"1000ccTurbo";"1000ccTurbo";"0";"whdload";"524288";"450496";"1000ccTurbo";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"1000Miglia\1000Miglia.Slave";"NoError, EmulTrap";"1000 Miglia ? 1992 Simulmondo.";"1000 Miglia";"1992 Simulmondo";"0";"0\1000Miglia_v1.2.lha";"1000Miglia";"1000Miglia";"0";"whdload";"524288";"915637";"1000Miglia";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"1943\1943.slave";"NoError, NoDivZero";"1943 - The Battle Of Midway ? 1987 Go!/Probe.";"1943: The Battle Of Midway";"1987 Probe ";"4096";"0\1943_v1.3.lha";"1943";"1943";"0";"whdload";"524288";"525205";"1943";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"3DGalax\3DGalax.Slave";"NoError, EmulTrap";"3D Galax (c) 1989 Gremlin - 1 disk.";"3D Galax";"1989 Gremlin";"4096";"0\3DGalax_v1.0_1085.lha";"3DGalax";"3DGalax";"0";"whdload";"524288";"460401";"3DGalax";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"3DPool\3DPictures.Slave";"NoError, ClearMem";"3D Pool (c) 1989 Aardvark Software/Firebird.";"3D Pool (Pictures)";"1989 Aardvark Software/Firebird";"4096";"0\3DPool_v1.2_0621.lha";"3DPool";"3DPool";"0";"whdload";"528384";"481992";"3DPool";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"3DPool\3DPool.Slave";"NoError";"3D Pool (c) 1989 Aardvark Software/Firebird.";"3D Pool";"1989 Aardvark Software/Firebird";"0";"0\3DPool_v1.2_0621.lha";"3DPool";"3DPool";"0";"whdload";"524288";"481992";"3DPool";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"3DWorldBoxing\3DWorldBoxing.Slave";"NoError, EmulTrap, ClearMem";"3D World Boxing ? 1992 Simulmondo.";"3D Wolrd Boxing";"1992 Silmulmondo.";"0";"0\3DWorldBoxing_v1.0_2223.lha";"3DWorldBoxing";"3DWorldBoxing";"0";"whdload";"524288";"913071";"3DWorldBoxing";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"5thGear\5thGear.Slave";"NoError, EmulTrap";"5th Gear (c) 1988 Hewson - 1 disk.";"5th Gear";"1988 Hewson";"0";"0\5thGear_v1.0_1001.lha";"5thGear";"5thGear";"0";"whdload";"524288";"925431";"5thGear";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"7Colors\7Colors.Slave";"NoError, ClearMem";"7 Colors ? 1991 Infogrames";"7 Colors";"1991 Infogrames";"4096";"0\7Colors_v1.1_0956.lha";"7Colors";"7Colors";"0";"whdload";"458752";"835860";"7Colors";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"9Lives\9Lives.Slave";"NoError, EmulTrap, ClearMem";"9 Lives (c) 1990 ARC - 1 disk.";"9 Lives";"1990 ARC";"0";"0\9Lives_v1.0.lha";"9Lives";"9Lives";"0";"whdload";"524288";"577648";"9Lives";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
