"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"42Issue1\42Issue1.Slave";"NoError, EmulTrap, ClearMem";"42 Issue #1 ? 1993 Talent.";"42 #1";"1993 Talent";"0";"0\42Issue1_v1.0_Talent.lha";"42Issue1";"42Issue1";"0";"whdload";"524288";"660242";"42Issue1";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"CrackerJournal03\CrackerJournal03.Slave";"NoError, EmulTrap, ClearMem";"Cracker Journal #3 1988 Alpha Flight.";"Cracker Journal #3";"1988 Alpha Flight";"0";"C\CrackerJournal03_v1.0_AlphaFlight.lha";"CrackerJournal03";"CrackerJournal03";"0";"whdload";"524288";"379147";"CrackerJournal03";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"CrackerJournal05\CrackerJournal05.Slave";"NoError, EmulTrap, ClearMem";"Cracker Journal #5 1988 Alpha Flight.";"Cracker Journal #5";"1988 Alpha Flight";"0";"C\CrackerJournal05_v1.0_AlphaFlight.lha";"CrackerJournal05";"CrackerJournal05";"0";"whdload";"524288";"754535";"CrackerJournal05";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"CrackerJournal06\CrackerJournal06.Slave";"NoError, EmulTrap, ClearMem";"Cracker Journal #6 1988 Alpha Flight.";"Cracker Journal #6";"1988 Alpha Flight";"0";"C\CrackerJournal06_v1.0_AlphaFlight.lha";"CrackerJournal06";"CrackerJournal06";"0";"whdload";"524288";"843086";"CrackerJournal06";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"CrackerJournal07&08\CrackerJournal07&08.Slave";"NoError, EmulTrap, ClearMem";"Cracker Journal #7+8 1988 Alpha Flight.";"Cracker Journal #7+8";"1988 Alpha Flight";"0";"C\CrackerJournal07&08_v1.0_AlphaFlight.lha";"CrackerJournal07&08";"CrackerJournal07&08";"0";"whdload";"524288";"844415";"CrackerJournal07&08";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"CrackerJournal09\CrackerJournal09.Slave";"NoError, EmulTrap, ClearMem";"Cracker Journal #9 1988 Alpha Flight.";"Cracker Journal #9";"1988 Alpha Flight";"0";"C\CrackerJournal09_v1.0_AlphaFlight.lha";"CrackerJournal09";"CrackerJournal09";"0";"whdload";"524288";"813124";"CrackerJournal09";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"CrackerJournal10\CrackerJournal10.Slave";"NoError, ClearMem";"Cracker Journal #10 1988 Alpha Flight.";"Cracker Journal #10";"1988 Alpha Flight";"0";"C\CrackerJournal10_v1.0_AlphaFlight.lha";"CrackerJournal10";"CrackerJournal10";"0";"whdload";"524288";"858863";"CrackerJournal10";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"CrackerJournal11\CrackerJournal11.Slave";"NoError, ClearMem";"Cracker Journal #11 1988 Alpha Flight.";"Cracker Journal #11";"1988 Alpha Flight";"0";"C\CrackerJournal11_v1.0_AlphaFlight.lha";"CrackerJournal11";"CrackerJournal11";"0";"whdload";"524288";"902948";"CrackerJournal11";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"CrackerJournal12\CrackerJournal12.slave";"NoError, ClearMem";"Cracker Journal #12 1989 Alpha Flight.";"Cracker Journal #12";"1989 Alpha Flight";"0";"C\CrackerJournal12_v1.01_AlphaFlight.lha";"CrackerJournal12";"CrackerJournal12";"0";"whdload";"524288";"903936";"CrackerJournal12";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
"CrackerJournal13\CrackerJournal13.Slave";"NoError, ClearMem";"Cracker Journal #13 1989 Alpha Flight.";"Cracker Journal #13";"1989 Alpha Flight";"0";"C\CrackerJournal13_v1.0_AlphaFlight.lha";"CrackerJournal13";"CrackerJournal13";"0";"whdload";"524288";"841871";"CrackerJournal13";"OCS/ECS";"";"";"";"";"";"A-Magazines";"Magazines"
