"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"NoError, EmulTrap, ReqAGA, ClearMem";"1001 Stolen Ideas ? 1991 Airwalk.";"1991 Airwalk";"whdload";"0";"1001 Stolen Ideas";"1001StolenIdeas";"291973";"0-9\1001StolenIdeas\1001StolenIdeas.Slave";"0";"0-9\1001StolenIdeas";"524288";"1001StolenIdeas";"AGA";"";"";"";"";"";"1001 stolen ideas airwalk";"Exact";"100";"Pouet";"";"";"Airwalk";"0\1001-stolen-ideas-airwalk";"demo";"";"http://content.pouet.net/files/screenshots/00019/00019131.jpg";"1991";"1001 Stolen Ideas";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=19131";"1001 stolen ideas 1001stolenideas airwalk 1001stolenideasairwalk"
"NoError, EmulTrap, ClearMem";"The 100 Most Remembered C64 Game-Tunes";"1990 Per Håkan Sundell & Ron Birk";"whdload";"0";"The 100 Most Remembered C64 Game-Tunes";"100MostRememberedC64Tunes";"855681";"0-9\100MostRememberedC64Tunes\100MostRememberedC64Tunes.Slave";"4096";"0-9\100MostRememberedC64Tunes";"524288";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";"";"100 most remembered 64 tunes the game per hakan sundell ron birk";"Best";"3.355151";"Pouet";"";"";"Sundell & Birk";"t\the-100-most-remembered-c64-game-tunes-sundell-birk";"musicdisk";"";"http://content.pouet.net/files/screenshots/00028/00028589.jpg";"1990";"the 100 most remembered c64 game tunes";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=28589";"the 100 most remembered c 64 game tunes the100mostrememberedc64gametunes sundell birk the100mostrememberedc64gametunessundellbirk"
"NoError";"242 ? 1993 Virtual Dreams - 1 disk";"1993 Virtual Dreams";"whdload";"0";"242";"242";"911067";"0-9\242\242.Slave";"0";"0-9\242";"1048576";"242";"OCS/ECS";"";"";"";"";"";"242 virtual dreams";"Exact";"100";"Janeway Amiga Scene Demo Database";;;"Virtual Dreams";;"Demo";"Assembly 1993";;"8/93";"242";;;"242 242 virtual dreams 242virtualdreams"
"NoError, EmulTrap, ClearMem";"24 Hour E Fix ? 1992 Quartz.";"1992 Quartz";"whdload";"0";"24 Hour E Fix";"24HourEFix";"792619";"0-9\24HourEFix\24HourEFix.Slave";"0";"0-9\24HourEFix";"524288";"24HourE";"OCS/ECS";"";"";"";"Fix";"";"24 hour efix fix quartz";"Best";"3.244673";"Pouet";"";"";"Quartz";"0\24-hour-e-fix-quartz";"musicdisk";"";"http://content.pouet.net/files/screenshots/00015/00015951.jpg";"n/a";"24 Hour E Fix";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=15951";"24 hour e fix 24hourefix quartz 24hourefixquartz"
"NoError, EmulTrap, ClearMem";"2D ? 1993 Remedy.";"1993 Remedy";"whdload";"0";"2D";"2D";"433416";"0-9\2D\2D.Slave";"0";"0-9\2D";"524288";"2D";"OCS/ECS";"";"";"";"";"";"2d remedy amiga";"Exact";"100";"Pouet";"";"";"remedy (amiga)";"0\2d-remedy-amiga";"demo";"";"http://content.pouet.net/files/screenshots/00008/00008864.gif";"february 1993";"2d";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8864";"2d 2d remedy amiga 2dremedyamiga"
"NoError";"2 Unlimited ? 1993 Scoopex - 2 disks";"1993 Scoopex";"whdload";"0";"2 Unlimited";"2Unlimited";"1815064";"0-9\2Unlimited\2Unlimited.Slave";"0";"0-9\2Unlimited";"528384";"2Unlimited";"OCS/ECS";"";"";"";"";"";"2 unlimited scoopex";"Best";"2.593697";"Pouet";"n/a";"n/a";"Scoopex";"p\plays-2-unlimited-scoopex";"musicdisk";"The Gathering 1993";"http://content.pouet.net/files/screenshots/00021/00021401.jpg";"april 1993";"Plays 2 unlimited";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=21401";"plays 2 unlimited plays2unlimited scoopex plays2unlimitedscoopex"
"Disk, NoError, EmulTrap, ClearMem";"2 Unlimited - No Limit ? 1993 Project A";"1993 Project A";"whdload";"0";"2 Unlimited - No Limit";"2UnlimitedNoLimit";"908736";"0-9\2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"786432";"0-9\2UnlimitedNoLimit";"524288";"2UnlimitedNoLimit";"OCS/ECS";"";"";"";"";"";"2 unlimited no limit project";"Best";"4.205204";"Pouet";"";"";"Project A";"0\2-unlimited-no-limit-project-a";"musicdisk";"";"http://content.pouet.net/files/screenshots/00012/00012499.jpg";"february 1993";"2 unlimited No Limit";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=12499";"2 unlimited no limit 2unlimitednolimit project a 2unlimitednolimitprojecta"
"NoError";"3D Balls ? 1989 Avenger";"1989 Avenger";"whdload";"0";"3D Balls";"3DBalls";"100693";"0-9\3DBalls\3DBalls.Slave";"4096";"0-9\3DBalls";"524288";"3DBalls";"OCS/ECS";"";"";"";"";"";"3d balls avenger";"Exact";"100";"Pouet";"n/a";"n/a";"avenger";"0\3d-balls-avenger";"demo";"Piranhas copy party";"http://content.pouet.net/files/screenshots/00019/00019629.png";"april 1989";"3D balls";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=19629";"3d balls 3dballs avenger 3dballsavenger"
"NoError, EmulTrap";"3D Demo ? 1991 Anarchy - 2 disks";"1991 Anarchy";"whdload";"0";"3D Demo";"3DDemo";"1820203";"0-9\3DDemo\3DDemo.Slave";"0";"0-9\3DDemo";"524288";"3D";"OCS/ECS";"";"";"Demo";"";"";"3d demo anarchy";"Exact";"100";"Pouet";"amiga demo";"5th";"Anarchy";"0\3d-demo-anarchy";"demo";"The Party 1991";"http://content.pouet.net/files/screenshots/00003/00003098.png";"december 1991";"3D DEMO";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3098";"3d demo 3ddemo anarchy 3ddemoanarchy"
"NoError, EmulTrap, ClearMem";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"1989 Doctor Mabuse Orgasm Crackings";"whdload";"0";"3D-Net Analyzer";"3DNetAnalyzer";"842261";"0-9\3DNetAnalyzer\3DNetAnalyzer.Slave";"0";"0-9\3DNetAnalyzer";"524288";"3DNetAnalyzer";"OCS/ECS";"";"";"";"";"";"3d net analyzer doctor mabuse orgasm crackings";"Exact";"100";"Pouet";"";"";"Doctor Mabuse Orgasm Crackings";"0\3d-net-analyzer-doctor-mabuse-orgasm-crackings";"musicdisk";"";"http://content.pouet.net/files/screenshots/00067/00067014.png";"october 1988";"3D-Net-Analyzer";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=67014";"3d net analyzer 3dnetanalyzer doctor mabuse orgasm crackings 3dnetanalyzerdoctormabuseorgasmcrackings"
