"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailYear";"DetailUrl";"DetailId";"DetailLicense";"DetailLanguages";"DetailDisks";"DetailPlayers";"DetailName";"DetailPublisher";"DetailPath";"DetailHardware";"DetailGenre";"Detail_Keywords"
"NoError, EmulTrap, NoKbd";"1000cc Turbo (c) 1992 Energize - 1 disk.";"1992 Energize";"whdload";"0";"1000cc Turbo";"1000ccTurbo";"450496";"0-9\1000ccTurbo\1000ccTurbo.Slave";"4096";"0-9\1000ccTurbo";"524288";"1000ccTurbo";"OCS/ECS";"";"";"";"";"";"1000 cc turbo";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=1501";"1501";"Commercial";"English";"1";"1 Only";"1000cc Turbo";"Impressions";"0\1000cc-turbo";"OCS,ECS";"Racing - Motorcycle";"1000 cc turbo 1000ccturbo 1501 impressions 1000ccturbo english"
"NoError, EmulTrap";"1000 Miglia ? 1992 Simulmondo.";"1992 Simulmondo";"whdload";"0";"1000 Miglia";"1000Miglia";"915637";"0-9\1000Miglia\1000Miglia.Slave";"0";"0-9\1000Miglia";"524288";"1000Miglia";"OCS/ECS";"";"";"";"";"";"1000 miglia";"Exact";"6.7";"Open Amiga Game Database";"1992";"https://oagd.net/amiga/1000-miglia";;;"English, Italian";;"1";"1000 Miglia";"Simulmondo";"0\1000-miglia";;;"1000 miglia 1000miglia simulmondo 1000miglia english, italian"
"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1993 Max Design";"whdload";"0";"1869 ECS";"1869";"1992820";"0-9\1869\1869.Slave";"786432";"0-9\1869";"524288";"1869";"OCS/ECS";"";"";"";"";"";"1869";"Exact";"7.7";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869";;;"English, German, Polish";;"1 - 4 (1 simultaneous)";"1869";"Flair";"0\1869";;;"1869 1869 flair 1869 english, german, polish"
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1993 Max Design";"whdload";"0";"1869 AGA";"1869AGA";"2766586";"0-9\1869AGA\1869AGA.Slave";"1572864";"0-9\1869AGA";"1048576";"1869";"AGA";"";"";"";"";"";"1869";"Exact";"7.8";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869-aga";;;"English, German";;"1 - 4 (1 simultaneous)";"1869 [AGA]";"Flair";"0\1869-aga";;;"1869 aga 1869aga flair 1869aga english, german"
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1993 Max Design";"whdload";"0";"1869 AGA";"1869AGADe";"2768617";"0-9\1869AGADe\1869AGADe.Slave";"1572864";"0-9\1869AGADe";"1048576";"1869";"AGA";"De";"";"";"";"";"1869";"Exact";"7.7";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869";;;"English, German, Polish";;"1 - 4 (1 simultaneous)";"1869";"Flair";"0\1869";;;"1869 1869 flair 1869 english, german, polish"
"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1993 Max Design";"whdload";"0";"1869 ECS";"1869De";"1993358";"0-9\1869De\1869De.Slave";"786432";"0-9\1869De";"524288";"1869";"OCS/ECS";"De";"";"";"";"";"1869";"Exact";"7.7";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869";;;"English, German, Polish";;"1 - 4 (1 simultaneous)";"1869";"Flair";"0\1869";;;"1869 1869 flair 1869 english, german, polish"
"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1993 Max Design";"whdload";"0";"1869 ECS";"1869Pl";"2019367";"0-9\1869Pl\1869Pl.Slave";"786432";"0-9\1869Pl";"524288";"1869";"OCS/ECS";"Pl";"";"";"";"";"1869";"Exact";"7.7";"Open Amiga Game Database";"1993";"https://oagd.net/amiga/1869";;;"English, German, Polish";;"1 - 4 (1 simultaneous)";"1869";"Flair";"0\1869";;;"1869 1869 flair 1869 english, german, polish"
"NoError, NoDivZero";"1943 - The Battle Of Midway ? 1987 Go!/Probe.";"1987 Probe ";"whdload";"0";"1943: The Battle Of Midway";"1943";"525205";"0-9\1943\1943.slave";"4096";"0-9\1943";"524288";"1943";"OCS/ECS";"";"";"";"";"";"1943 the battle of midway";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=19";"19";"Commercial";"English";"1";"1 or 2, Simultaneous";"1943: The Battle of Midway";"Go!";"0\1943-the-battle-of-midway";"OCS";"";"1943 the battle of midway 1943thebattleofmidway 19 go 1943thebattleofmidway english"
"NoError, EmulPriv, ClearMem, Examine";"1st Division Manager ? 1992 Codemasters";"1992 Codemasters";"whdload";"0";"1st Division Manager";"1stDivisionManager";"661437";"0-9\1stDivisionManager\1stDivisionManager.Slave";"360448";"0-9\1stDivisionManager";"524288";"1stDivisionManager";"OCS/ECS";"";"";"";"";"";"1 st division manager";"Exact";"100";"Lemon Amiga";"1991";"http://www.lemonamiga.com/games/details.php?id=2";"2";"Commercial";"English";"1";"1 Only";"1st Division Manager";"Codemasters";"0\1st-division-manager";"OCS,ECS";"Sports - Football/Soccer";"1 st division manager 1stdivisionmanager 2 codemasters 1stdivisionmanager english"
"NoError, EmulPriv, Examine";"20000 leagues under the sea ? 1989 Infogrames.";"1989 Infogrames.";"whdload";"0";"20000 leagues under the sea";"20000LeaguesUnderTheSea";"793281";"0-9\20000LeaguesUnderTheSea\20000LeaguesUnderTheSea.Slave";"262144";"0-9\20000LeaguesUnderTheSea";"524288";"20000LeaguesUnderTheSea";"OCS/ECS";"";"";"";"";"";"20000 leagues under the sea";"Exact";"100";"Lemon Amiga";"1989";"http://www.lemonamiga.com/games/details.php?id=2867";"2867";"Commercial";"English";"1";"1 Only";"20000 Leagues under the Sea";"Coktel Vision";"0\20000-leagues-under-the-sea";"OCS";"Adventure - Point and Click";"20000 leagues under the sea 20000leaguesunderthesea 2867 coktel vision 20000leaguesunderthesea english"
"NoError, EmulPriv, Examine";"game called:";"19?? ???????";"whdload";"0";"3001 O";"3001OConnorsFight";"245622";"0-9\3001OConnorsFight\3001OConnorsFight.Slave";"1310720";"0-9\3001OConnorsFight";"1048576";"3001OConnorsFight";"OCS/ECS";"";"";"";"";"";"3001 oconnors fight";"Exact";"100";"Lemon Amiga";"1990";"http://www.lemonamiga.com/games/details.php?id=20";"20";"Commercial";"English";"1";"1 Only";"3001: O'Connors Fight";"Rainbow Arts";"0\3001-oconnors-fight";"OCS";"Strategy - Miscellaneous";"3001 oconnors fight 3001oconnorsfight 20 rainbow arts 3001oconnorsfight english"
