"Year";"Url";"Id";"License";"Languages";"Disks";"Players";"Name";"Publisher";"Path";"Hardware";"Genre"
"1990";"http://www.lemonamiga.com/games/details.php?id=2801";"2801";"Licenceware";"English";"2";"1 Only";"1 Across 2 Down";"Amiganuts United";"0\1-across-2-down";"OCS";"Brain - Crossword"
"1993";"http://www.lemonamiga.com/games/details.php?id=3579";"3579";"Commercial";"English";"2";"1 to 4";"10 out of 10: Dinosaurs";"10 out of 10";"0\10-out-of-10-dinosaurs";"OCS,ECS";"Educational - Miscellaneous"
"1993";"http://www.lemonamiga.com/games/details.php?id=3580";"3580";"Commercial";"English";"1";"1 to 4";"10 out of 10: English";"10 out of 10";"0\10-out-of-10-english";"OCS,ECS";"Educational - Language"
"1993";"http://www.lemonamiga.com/games/details.php?id=3581";"3581";"Commercial";"English";"2";"1 to 4";"10 out of 10: Junior Essentials";"10 out of 10";"0\10-out-of-10-junior-essentials";"OCS,ECS";"Educational - Children"
"1993";"http://www.lemonamiga.com/games/details.php?id=3582";"3582";"Commercial";"English";"2";"1 to 4";"10 out of 10: Maths Algebra";"10 out of 10";"0\10-out-of-10-maths-algebra";"OCS,ECS";"Educational - Math"
"1993";"http://www.lemonamiga.com/games/details.php?id=3583";"3583";"Commercial";"English";"1";"1 to 4";"10 out of 10: Maths Number";"10 out of 10";"0\10-out-of-10-maths-number";"OCS,ECS";"Educational - Math"
"1991";"http://www.lemonamiga.com/games/details.php?id=18";"18";"Commercial";"English,Italian";"1";"1 Only";"1000 Miglia: 1927-1933 Volume 1";"Simulmondo";"0\1000-miglia-1927-1933-volume-1";"OCS";"Racing - Cars"
"1990";"http://www.lemonamiga.com/games/details.php?id=1501";"1501";"Commercial";"English";"1";"1 Only";"1000cc Turbo";"Impressions";"0\1000cc-turbo";"OCS,ECS";"Racing - Motorcycle"
"1996";"http://www.lemonamiga.com/games/details.php?id=3649";"3649";;"English";"1";"1 to 4";"1497: five years after";"(unknown)";"0\1497-five-years-after";"OCS,ECS";"Strategy - Trading"
"1992";"http://www.lemonamiga.com/games/details.php?id=2878";"2878";"Commercial";"German";"4";"1 to 4";"1869: Erlebte Geschichte Teil I";"Flair Software";"0\1869-erlebte-geschichte-teil-i-aga";"AGA";"Strategy - Trading"
"1992";"http://www.lemonamiga.com/games/details.php?id=219";"219";"Commercial";"English";"4";"1 to 4";"1869: History Experience Part I";"Flair Software";"0\1869-history-experience-part-i-aga";"AGA";"Strategy - Trading"
"1993";"http://www.lemonamiga.com/games/details.php?id=3697";"3697";"Public Domain/Freeware";"English";;"2";"18th hole";"(unknown)";"0\18th-hole";"OCS,ECS";"Sports - Golf"
"1989";"http://www.lemonamiga.com/games/details.php?id=19";"19";"Commercial";"English";"1";"1 or 2, Simultaneous";"1943: The Battle of Midway";"Go!";"0\1943-the-battle-of-midway";"OCS";
"1997";"http://www.lemonamiga.com/games/details.php?id=3698";"3698";"Public Domain/Freeware";"English";;"2";"1945 Remix' 97";"(unknown)";"0\1945-remix-97";"OCS,ECS";
"1993";"http://www.lemonamiga.com/games/details.php?id=1502";"1502";"Commercial";"German";;;"1990: Die 1993'er Edition";"APC&TCP";"0\1990-die-1993er-edition";"OCS,ECS";"Strategy - Miscellaneous"
"1991";"http://www.lemonamiga.com/games/details.php?id=2";"2";"Commercial";"English";"1";"1 Only";"1st Division Manager";"Codemasters";"0\1st-division-manager";"OCS,ECS";"Sports - Football/Soccer"
"1989";"http://www.lemonamiga.com/games/details.php?id=2867";"2867";"Commercial";"English";"1";"1 Only";"20000 Leagues under the Sea";"Coktel Vision";"0\20000-leagues-under-the-sea";"OCS";"Adventure - Point and Click"
"1988";"http://www.lemonamiga.com/games/details.php?id=3313";"3313";"Commercial";"German";"1";"1 Only";"20000 Meilen unter dem Meer";"Coktel Vision";"0\20000-meilen-unter-dem-meer";"OCS";"Adventure - Point and Click"
"1990";"http://www.lemonamiga.com/games/details.php?id=20";"20";"Commercial";"English";"1";"1 Only";"3001: O'Connors Fight";"Rainbow Arts";"0\3001-oconnors-fight";"OCS";"Strategy - Miscellaneous"
"1991";"http://www.lemonamiga.com/games/details.php?id=1497";"1497";"Commercial";"English,German,French,Italian";"1";"1 Only";"3D Construction Kit";"Domark";"0\3d-construction-kit";"OCS,ECS";"Adventure - Construction Kit"
"1992";"http://www.lemonamiga.com/games/details.php?id=1715";"1715";"Commercial";"English";"2";"1 Only";"3D Construction Kit II";"Domark";"0\3d-construction-kit-ii";"OCS,ECS";"Adventure - Construction Kit"
"1988";"http://www.lemonamiga.com/games/details.php?id=1498";"1498";"Commercial";"English";"1";"1 Only";"3D Galax";"Gremlin Graphics";"0\3d-galax";"OCS";
"1989";"http://www.lemonamiga.com/games/details.php?id=1287";"1287";"Commercial";"English";"1";"1 or 2";"3D Pool";"Firebird";"0\3d-pool";"OCS";"Sports - Snooker/Pool"
