"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"NoError, EmulTrap, ReqAGA, ClearMem";"1001 Stolen Ideas ? 1991 Airwalk.";"1991 Airwalk";"whdload";"0";"1001 Stolen Ideas";"1001StolenIdeas";"291973";"0-9\1001StolenIdeas\1001StolenIdeas.Slave";"0";"0-9\1001StolenIdeas";"524288";"1001StolenIdeas";"AGA";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"The 100 Most Remembered C64 Game-Tunes";"1990 Per Håkan Sundell & Ron Birk";"whdload";"0";"The 100 Most Remembered C64 Game-Tunes";"100MostRememberedC64Tunes";"855681";"0-9\100MostRememberedC64Tunes\100MostRememberedC64Tunes.Slave";"4096";"0-9\100MostRememberedC64Tunes";"524288";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";""
"NoError";"242 ? 1993 Virtual Dreams - 1 disk";"1993 Virtual Dreams";"whdload";"0";"242";"242";"911067";"0-9\242\242.Slave";"0";"0-9\242";"1048576";"242";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"24 Hour E Fix ? 1992 Quartz.";"1992 Quartz";"whdload";"0";"24 Hour E Fix";"24HourEFix";"792619";"0-9\24HourEFix\24HourEFix.Slave";"0";"0-9\24HourEFix";"524288";"24HourE";"OCS/ECS";"";"";"";"Fix";""
"NoError, EmulTrap, ClearMem";"2D ? 1993 Remedy.";"1993 Remedy";"whdload";"0";"2D";"2D";"433416";"0-9\2D\2D.Slave";"0";"0-9\2D";"524288";"2D";"OCS/ECS";"";"";"";"";""
"NoError";"2 Unlimited ? 1993 Scoopex - 2 disks";"1993 Scoopex";"whdload";"0";"2 Unlimited";"2Unlimited";"1815064";"0-9\2Unlimited\2Unlimited.Slave";"0";"0-9\2Unlimited";"528384";"2Unlimited";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, ClearMem";"2 Unlimited - No Limit ? 1993 Project A";"1993 Project A";"whdload";"0";"2 Unlimited - No Limit";"2UnlimitedNoLimit";"908736";"0-9\2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"786432";"0-9\2UnlimitedNoLimit";"524288";"2UnlimitedNoLimit";"OCS/ECS";"";"";"";"";""
"NoError";"3D Balls ? 1989 Avenger";"1989 Avenger";"whdload";"0";"3D Balls";"3DBalls";"100693";"0-9\3DBalls\3DBalls.Slave";"4096";"0-9\3DBalls";"524288";"3DBalls";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"3D Demo ? 1991 Anarchy - 2 disks";"1991 Anarchy";"whdload";"0";"3D Demo";"3DDemo";"1820203";"0-9\3DDemo\3DDemo.Slave";"0";"0-9\3DDemo";"524288";"3D";"OCS/ECS";"";"";"Demo";"";""
"NoError, EmulTrap, ClearMem";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"1989 Doctor Mabuse Orgasm Crackings";"whdload";"0";"3D-Net Analyzer";"3DNetAnalyzer";"842261";"0-9\3DNetAnalyzer\3DNetAnalyzer.Slave";"0";"0-9\3DNetAnalyzer";"524288";"3DNetAnalyzer";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"5 Yards 1991 Vision.";"1991 Vision";"whdload";"0";"5 Yards";"5Yards";"92702";"0-9\5Yards\5Yards.Slave";"0";"0-9\5Yards";"524288";"5Yards";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"8-Bit Jungle ? 2011 Unstable Label.";"2011 Unstable Label";"whdload";"0";"8-Bit Jungle";"8BitJungle";"2594214";"0-9\8BitJungle\8BitJungle.slave";"0";"0-9\8BitJungle";"1048576";"8BitJungle";"OCS/ECS";"";"";"";"";""
"Disk, NoError";"9 fingers ? 1990 Spaceballs.";"1990 Spaceballs";"whdload";"1024";"9 fingers";"9Fingers";"1814297";"0-9\9Fingers\9Fingers.Slave";"0";"0-9\9Fingers";"1028096";"9Fingers";"OCS/ECS";"";"";"";"";""
