"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"Battlestorm\Battlestorm.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Battle Storm ? Titus.";"Battle Storm ECS/CDTV ";"TITUS";"786432";"Battlestorm_v1.2_2008.zip";"Battlestorm";"Battlestorm";"0";"whdload";"524288";"802177";"Battlestorm";"OCS/ECS";"";"";"";"";""
"BattlestormCDTV\BattlestormCDTV.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Battle Storm ? Titus.";"Battle Storm ECS/CDTV ";"TITUS";"786432";"Battlestorm_v1.2_CDTV.zip";"BattlestormCDTV";"BattlestormCDTV";"0";"whdload";"524288";"809533";"Battlestorm";"CDTV";"";"";"";"";""
"DinoWars\DinoWars.slave";"NoError, ClearMem";"DinoWars ?1991 DigiTek";"DinoWars";"1991 DigiTek";"4096";"DinoWars_v1.1.lha";"DinoWars";"DinoWars";"0";"whdload";"524288";"1865497";"DinoWars";"OCS/ECS";"";"";"";"";""
"DinoWarsDe\DinoWarsDe.Slave";"NoError, ClearMem";"DinoWars ?1991 DigiTek";"DinoWars";"1991 DigiTek";"4096";"DinoWars_v1.1_De.lha";"DinoWarsDe";"DinoWarsDe";"0";"whdload";"524288";"1865499";"DinoWars";"OCS/ECS";"De";"";"";"";""
"EmeraldMinesCD\emeraldminecd.slave";"NoError, EmulPriv, Examine";"the Emerald Mines CD (c) 1994 Kingsoft/Almathera.";"Emerald Mines CD";"1994 Almathera";"262144";"EmeraldMines_v1.0_CD.lha";"EmeraldMinesCD";"EmeraldMinesCD";"0";"whdload";"1015808";"54717765";"EmeraldMines";"CD";"";"";"";"";""
"FastLane\FastLane.Slave";"NoError, EmulTrap, ClearMem";"Fast Lane ? 1989 Artronic.";"Fast Lane";"1989 Artronic";"0";"FastLane_v1.0.lha";"FastLane";"FastLane";"0";"whdload";"524288";"710438";"FastLane";"OCS/ECS";"";"";"";"";""
"FlipFlop\FlipFlop.Slave";"NoError, EmulPriv, Examine";"Flip Flop (c) 1987 Kingsoft - 1 disk.";"Flip Flop";"1987 Kingsoft";"393216";"FlipFlop_v1.0.zip";"FlipFlop";"FlipFlop";"0";"whdload";"262144";"36669";"FlipFlop";"OCS/ECS";"";"";"";"";""
"FussballTotalDe\FussballTotalDe.Slave";"NoError, NoDivZero, EmulPriv, ClearMem, Examine";"Football Glory ? 1994 Black Legend";"Football Glory (ECS)";"1994 Black Legend";"786432";"FussballTotal_v1.1_De_2135.lha";"FussballTotalDe";"FussballTotalDe";"0";"whdload";"540672";"1202196";"FussballTotal";"OCS/ECS";"De";"";"";"";""
"HiredGuns1MB\HiredGuns1MB.Slave";"NoError, ClearMem";"Hired Guns ? 1993 Psygnosis";"Hired Guns";"1993 Psygnosis";"704512";"HiredGuns_v1.0_1MB_1114.zip";"HiredGuns1MB";"HiredGuns1MB";"0";"whdload";"1024000";"3443247";"HiredGuns";"OCS/ECS";"";"1MB";"";"";""
"HiredGuns512KB\HiredGuns512KB.Slave";"NoError, ClearMem";"Hired Guns ? 1993 Psygnosis";"Hired Guns";"1993 Psygnosis";"528384";"HiredGuns_v1.0_512KB_1114.zip";"HiredGuns512KB";"HiredGuns512KB";"0";"whdload";"524288";"3443197";"HiredGuns";"OCS/ECS";"";"512KB";"";"";""
"HoleInOne&DataDisks\HoleInOne&DataDisks.Slave";"NoError, EmulPriv, ClearMem, Examine";"Hole In One ? 1988 Digitek";"Hole In One";"1988 Digitek";"262144";"HoleInOne&DataDisks_v1.1.lha";"HoleInOne&DataDisks";"HoleInOne&DataDisks";"0";"whdload";"524288";"2090216";"HoleInOnes";"OCS/ECS";"";"";"";"";"DataDisk"
"HoleInOne\HoleInOne.slave";"NoError, EmulPriv, ClearMem, Examine";"Hole In One ? 1988 Digitek";"Hole In One";"1988 Digitek";"262144";"HoleInOne_v1.1.lha";"HoleInOne";"HoleInOne";"0";"whdload";"524288";"793726";"HoleInOne";"OCS/ECS";"";"";"";"";""
"MightAndMagic3De\MightAndMagic3.Slave";"NoError, EmulPriv, Examine";"Might & Magic III - Isles of Terra ? 1991 New World";"Might & Magic III";"1991 New World Computing";"983040";"MightAndMagic3_v1.2_De.lha";"MightAndMagic3De";"MightAndMagic3De";"0";"whdload";"524288";"5070220";"MightAndMagic3";"OCS/ECS";"De";"";"";"";""
"OsWALDOfTheIceFloes\OsWALDOfTheIceFloes.Slave";"NoError";"OsWALD Of The Ice Floes ? 1989 Centaur.";"OsWALD Of The Ice Floes";"1989 Centaur ";"0";"OsWALDOfTheIceFloes_v1.0.zip";"OsWALDOfTheIceFloes";"OsWALDOfTheIceFloes";"0";"whdload";"524288";"487448";"OsWALDOfTheIceFloes";"OCS/ECS";"";"";"";"";""
"PizzaConnectionDe\PizzaConnectionDe.Slave";"NoError, EmulTrap, NoDivZero, EmulPriv, Examine";"Pizza Connection ? 1994 Software 2000.";"Pizza Connection";"1994 Software 2000";"1310720";"PizzaConnection_v1.0_De.lha";"PizzaConnectionDe";"PizzaConnectionDe";"0";"whdload";"524288";"3101993";"PizzaConnection";"OCS/ECS";"De";"";"";"";""
"SimLife\SimLife.Slave";"NoError, Req68020, EmulPriv, Examine";"Sim Life ? 1992 Maxis";"Sim Life (ECS)";"1992 Maxis";"1835008";"SimLife_v1.0_2585.zip";"SimLife";"SimLife";"0";"whdload";"524288";"2101260";"SimLife";"OCS/ECS";"";"";"";"";""
"SimLifeAGA\SimLifeAGA.Slave";"NoError, Req68020, EmulPriv, ClearMem, Examine";"Sim Life ? 1992 Maxis";"Sim Life (AGA)";"1992 Maxis";"2097152";"SimLife_v1.0_AGA_0889.zip";"SimLifeAGA";"SimLifeAGA";"0";"whdload";"786432";"3569567";"SimLife";"AGA";"";"";"";"";""
"SimLifeDe\SimLifeDe.Slave";"NoError, Req68020, EmulPriv, Examine";"Sim Life ? 1992 Maxis";"Sim Life (ECS)";"1992 Maxis";"1835008";"SimLife_v1.0_De_0576.zip";"SimLifeDe";"SimLifeDe";"0";"whdload";"524288";"1845496";"SimLife";"OCS/ECS";"De";"";"";"";""
"SkateOfTheArt\SkateOfTheArt.Slave";"NoError, EmulPriv, ClearMem, Examine";"Skate of the Art ?1989 Linel";"Skate Of The Art";"1989 Linel";"262144";"SkateOfTheArt_v1.0.zip";"SkateOfTheArt";"SkateOfTheArt";"0";"whdload";"589824";"782228";"SkateOfTheArt";"OCS/ECS";"";"";"";"";""
"Sorefist\Sorefist.Slave";"NoError, EmulPriv, Examine";"SoreFist ? SnakeSoft.";"SoreFist";"SnakeSoft.";"262144";"Sorefist_v1.0.zip";"Sorefist";"Sorefist";"0";"whdload";"1048576";"804074";"Sorefist";"OCS/ECS";"";"";"";"";""
"TransworldDe\TransworldDe.Slave";"NoError, EmulPriv, Examine";"Transworld ? 1991 Starbyte.";"Transworld";"1991 Starbyte";"262144";"Transworld_v1.0_De_2837.lha";"TransworldDe";"TransworldDe";"0";"whdload";"524288";"615767";"Transworld";"OCS/ECS";"De";"";"";"";""
"TrivialPursuit\TrivialPursuit.slave";"NoError, EmulTrap, NoDivZero, ClearMem";"Trivial Pursuit ? Domark.";"Trivial Pursuit (VF/DE/GB)";"DoMark";"0";"TrivialPursuit_v1.2.zip";"TrivialPursuit";"TrivialPursuit";"0";"whdload";"655360";"397955";"TrivialPursuit";"OCS/ECS";"";"";"";"";""
"TrivialPursuitDe\TrivialPursuitDe.slave";"NoError, EmulTrap, NoDivZero, ClearMem";"Trivial Pursuit ? Domark.";"Trivial Pursuit (VF/DE/GB)";"DoMark";"0";"TrivialPursuit_v1.2_De_0595.zip";"TrivialPursuitDe";"TrivialPursuitDe";"0";"whdload";"655360";"373492";"TrivialPursuit";"OCS/ECS";"De";"";"";"";""
"TrivialPursuitFr\TrivialPursuitFr.slave";"NoError, EmulTrap, NoDivZero, ClearMem";"Trivial Pursuit ? Domark.";"Trivial Pursuit (VF/DE/GB)";"DoMark";"0";"TrivialPursuit_v1.2_Fr_2147.zip";"TrivialPursuitFr";"TrivialPursuitFr";"0";"whdload";"655360";"367740";"TrivialPursuit";"OCS/ECS";"Fr";"";"";"";""
