"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, ReqAGA, ClearMem";"1001 Stolen Ideas ? 1991 Airwalk.";"1991 Airwalk";"whdload";"0";"1001 Stolen Ideas";"1001StolenIdeas";"291973";"0-9\1001StolenIdeas\1001StolenIdeas.Slave";"0";"0-9\1001StolenIdeas";"524288";"1001StolenIdeas";"AGA";"";"";"";"";"";"1001 stolen ideas airwalk";"Exact";"100";"1001-stolen-ideas-airwalk";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\1001-stolen-ideas-airwalk\screen.jpg";"1001-stolen-ideas-airwalk"
"NoError, EmulTrap, ClearMem";"The 100 Most Remembered C64 Game-Tunes";"1990 Per Håkan Sundell & Ron Birk";"whdload";"0";"The 100 Most Remembered C64 Game-Tunes";"100MostRememberedC64Tunes";"855681";"0-9\100MostRememberedC64Tunes\100MostRememberedC64Tunes.Slave";"4096";"0-9\100MostRememberedC64Tunes";"524288";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";"";"100 most remembered 64 tunes the game per hakan sundell ron birk";"Best";"4.27611";"the-100-most-remembered-c64-game-tunes-sundell-birk";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-100-most-remembered-c64-game-tunes-sundell-birk\screen.jpg";"the-100-most-remembered-c64-game-tunes-sundell-birk"
"NoError";"242 ? 1993 Virtual Dreams - 1 disk";"1993 Virtual Dreams";"whdload";"0";"242";"242";"911067";"0-9\242\242.Slave";"0";"0-9\242";"1048576";"242";"OCS/ECS";"";"";"";"";"";"242 virtual dreams";"Exact";"100";"242-virtual-dreams";"C:\Work\First Realize\amiga-demo-database\jasdd\0\242-virtual-dreams\screen_001.png";"242-virtual-dreams"
"NoError, EmulTrap, ClearMem";"24 Hour E Fix ? 1992 Quartz.";"1992 Quartz";"whdload";"0";"24 Hour E Fix";"24HourEFix";"792619";"0-9\24HourEFix\24HourEFix.Slave";"0";"0-9\24HourEFix";"524288";"24HourE";"OCS/ECS";"";"";"";"Fix";"";"24 hour efix fix quartz";"Best";"3.497898";"24-hour-e-fix-quartz";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\24-hour-e-fix-quartz\screen.jpg";"24-hour-e-fix-quartz"
"NoError, EmulTrap, ClearMem";"2D ? 1993 Remedy.";"1993 Remedy";"whdload";"0";"2D";"2D";"433416";"0-9\2D\2D.Slave";"0";"0-9\2D";"524288";"2D";"OCS/ECS";"";"";"";"";"";"2d remedy amiga";"Exact";"100";"2d-remedy-amiga";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\2d-remedy-amiga\screen.gif";"2d-remedy-amiga"
"NoError";"2 Unlimited ? 1993 Scoopex - 2 disks";"1993 Scoopex";"whdload";"0";"2 Unlimited";"2Unlimited";"1815064";"0-9\2Unlimited\2Unlimited.Slave";"0";"0-9\2Unlimited";"528384";"2Unlimited";"OCS/ECS";"";"";"";"";"";"2 unlimited scoopex";"Best";"3.392933";"scoopex-plays-2-unlimited-scoopex";"C:\Work\First Realize\amiga-demo-database\jasdd\s\scoopex-plays-2-unlimited-scoopex\screen_001.png";"scoopex-plays-2-unlimited-scoopex"
"Disk, NoError, EmulTrap, ClearMem";"2 Unlimited - No Limit ? 1993 Project A";"1993 Project A";"whdload";"0";"2 Unlimited - No Limit";"2UnlimitedNoLimit";"908736";"0-9\2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"786432";"0-9\2UnlimitedNoLimit";"524288";"2UnlimitedNoLimit";"OCS/ECS";"";"";"";"";"";"2 unlimited no limit project";"Best";"5.688716";"2-unlimited-no-limit-project-a";"C:\Work\First Realize\amiga-demo-database\jasdd\0\2-unlimited-no-limit-project-a\screen_001.png";"2-unlimited-no-limit-project-a"
"NoError";"3D Balls ? 1989 Avenger";"1989 Avenger";"whdload";"0";"3D Balls";"3DBalls";"100693";"0-9\3DBalls\3DBalls.Slave";"4096";"0-9\3DBalls";"524288";"3DBalls";"OCS/ECS";"";"";"";"";"";"3d balls avenger";"Exact";"100";"3d-balls-avenger";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\3d-balls-avenger\screen.png";"3d-balls-avenger"
"NoError, EmulTrap";"3D Demo ? 1991 Anarchy - 2 disks";"1991 Anarchy";"whdload";"0";"3D Demo";"3DDemo";"1820203";"0-9\3DDemo\3DDemo.Slave";"0";"0-9\3DDemo";"524288";"3D";"OCS/ECS";"";"";"Demo";"";"";"3d demo anarchy";"Exact";"100";"3d-demo-anarchy";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\3d-demo-anarchy\screen.png";"3d-demo-anarchy"
"NoError, EmulTrap, ClearMem";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"1989 Doctor Mabuse Orgasm Crackings";"whdload";"0";"3D-Net Analyzer";"3DNetAnalyzer";"842261";"0-9\3DNetAnalyzer\3DNetAnalyzer.Slave";"0";"0-9\3DNetAnalyzer";"524288";"3DNetAnalyzer";"OCS/ECS";"";"";"";"";"";"3d net analyzer doctor mabuse orgasm crackings";"Exact";"100";"3d-net-analyzer-doctor-mabuse-orgasm-crackings";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\3d-net-analyzer-doctor-mabuse-orgasm-crackings\screen.png";"3d-net-analyzer-doctor-mabuse-orgasm-crackings"
