"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, NoKbd";"1000cc Turbo (c) 1992 Energize - 1 disk.";"1992 Energize";"whdload";"0";"1000cc Turbo";"1000ccTurbo";"450496";"0-9\1000ccTurbo\1000ccTurbo.Slave";"4096";"0-9\1000ccTurbo";"524288";"1000ccTurbo";"OCS/ECS";"";"";"";"";"";"1000 cc turbo";"Exact";"100";"1000ccTurbo";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\1000ccTurbo\igame.iff";"1000ccturbo"
"NoError, EmulTrap";"1000 Miglia ? 1992 Simulmondo.";"1992 Simulmondo";"whdload";"0";"1000 Miglia";"1000Miglia";"915637";"0-9\1000Miglia\1000Miglia.Slave";"0";"0-9\1000Miglia";"524288";"1000Miglia";"OCS/ECS";"";"";"";"";"";"1000 miglia";"Exact";"100";"1000Miglia";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\1000Miglia\igame.iff";"1000miglia"
"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1993 Max Design";"whdload";"0";"1869 ECS";"1869";"1992820";"0-9\1869\1869.Slave";"786432";"0-9\1869";"524288";"1869";"OCS/ECS";"";"";"";"";"";"1869";"Exact";"100";"1869";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\0\1869\screen_002.png";"1869"
"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1993 Max Design";"whdload";"0";"1869 ECS";"1869De";"1993358";"0-9\1869De\1869De.Slave";"786432";"0-9\1869De";"524288";"1869";"OCS/ECS";"De";"";"";"";"";"1869";"Exact";"100";"1869";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\0\1869\screen_002.png";"1869"
"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1993 Max Design";"whdload";"0";"1869 ECS";"1869Pl";"2019367";"0-9\1869Pl\1869Pl.Slave";"786432";"0-9\1869Pl";"524288";"1869";"OCS/ECS";"Pl";"";"";"";"";"1869";"Exact";"100";"1869";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\0\1869\screen_002.png";"1869"
"NoError, NoDivZero";"1943 - The Battle Of Midway ? 1987 Go!/Probe.";"1987 Probe ";"whdload";"0";"1943: The Battle Of Midway";"1943";"525205";"0-9\1943\1943.slave";"4096";"0-9\1943";"524288";"1943";"OCS/ECS";"";"";"";"";"";"1943 the battle of midway";"Exact";"100";"1943";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGame_Gameplay_Shots_256\0\1943\igame.iff";"1943"
"NoError, EmulPriv, ClearMem, Examine";"1st Division Manager ? 1992 Codemasters";"1992 Codemasters";"whdload";"0";"1st Division Manager";"1stDivisionManager";"661437";"0-9\1stDivisionManager\1stDivisionManager.Slave";"360448";"0-9\1stDivisionManager";"524288";"1stDivisionManager";"OCS/ECS";"";"";"";"";"";"1 st division manager";"Exact";"100";"1st-division-manager";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\0\1st-division-manager\screen_002.png";"1st-division-manager"
"NoError, EmulPriv, Examine";"20000 leagues under the sea ? 1989 Infogrames.";"1989 Infogrames.";"whdload";"0";"20000 leagues under the sea";"20000LeaguesUnderTheSea";"793281";"0-9\20000LeaguesUnderTheSea\20000LeaguesUnderTheSea.Slave";"262144";"0-9\20000LeaguesUnderTheSea";"524288";"20000LeaguesUnderTheSea";"OCS/ECS";"";"";"";"";"";"20000 leagues under the sea";"Exact";"100";"20000-leagues-under-the-sea";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\0\20000-leagues-under-the-sea\screen_002.png";"20000-leagues-under-the-sea"
"NoError, EmulPriv, Examine";"game called:";"19?? ???????";"whdload";"0";"3001 O";"3001OConnorsFight";"245622";"0-9\3001OConnorsFight\3001OConnorsFight.Slave";"1310720";"0-9\3001OConnorsFight";"1048576";"3001OConnorsFight";"OCS/ECS";"";"";"";"";"";"3001 oconnors fight";"Exact";"100";"3001OConnorsFight";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\0_9\3001OConnorsFight\igame.iff";"3001oconnorsfight"
"NoError, EmulTrap, EmulPriv, ClearMem, Examine, EmulDivZero";"3D Construction Kit ? 1991 Domark";"1991 Domark";"whdload";"0";"3D Construction Kit";"3DConstructionKit";"542846";"0-9\3DConstructionKit\3DConstructionKit.Slave";"1310720";"0-9\3DConstructionKit";"524288";"3DConstructionKit";"OCS/ECS";"";"";"";"";"";"3d construction kit";"Exact";"100";"3d-construction-kit";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\Open Amiga Game Database\0\3d-construction-kit\screen_002.png";"3d-construction-kit"
