"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1993 Max Design";"whdload";"0";"1869 AGA";"1869AGA";"2766586";"0-9\1869AGA\1869AGA.Slave";"1572864";"0-9\1869AGA";"1048576";"1869";"AGA";"";"";"";"";""
"Disk, NoError, EmulTrap, ReqAGA, ClearMem";"A.C.SYS ? 1998 Joerg Belger/Unique.";"2000 Unique";"whdload";"0";"ACSYS";"ACSYSDemoAGA";"1969139";"A\ACSYSDemoAGA\ACSYSDemoAGA.slave";"1048576";"A\ACSYSDemoAGA";"2097152";"ACSYS";"AGA";"";"";"Demo";"";""
"NoError, Req68020, ReqAGA, ClearMem";"Aladdin (c) 1994 Virgin.";"1994 Virgin";"whdload";"0";"Aladdin";"AladdinAGA";"2001211";"A\AladdinAGA\AladdinAGA.Slave";"4096";"A\AladdinAGA";"2048000";"Aladdin";"AGA";"";"";"";"";""
"NoError, ReqAGA, EmulPriv, Examine";"Alfred Chicken AGA/CD32 ? 1993 Mindscape.";"1993 Mindscape";"whdload";"0";"Alfred Chicken AGA/CD32";"AlfredChickenAGA";"1261115";"A\AlfredChickenAGA\AlfredChickenAGA.slave";"524288";"A\AlfredChickenAGA";"1572864";"AlfredChicken";"AGA";"";"";"";"";""
"NoError, EmulTrap, ReqAGA, NoKbd, ClearMem";"Alien Breed 2 - The Horror Continues ? 1993 Team 17.";"1993 Team 17";"whdload";"0";"Alien Breed 2 AGA";"AlienBreed2AGA";"2973560";"A\AlienBreed2AGA\AlienBreed2AGA.slave";"1048576";"A\AlienBreed2AGA";"1048576";"AlienBreed2";"AGA";"";"";"";"";""
"NoError, EmulTrap, Req68020, ReqAGA, ClearMem";"Alien Breed 3D II: The Killing Grounds ? 1996 Team 17";"1996 Team 17";"whdload";"0";"Alien Breed 3D II: The Killing Grounds";"AlienBreed3D2AGA";"2586164";"A\AlienBreed3D2AGA\AlienBreed3D2AGA.slave";"2490368";"A\AlienBreed3D2AGA";"905216";"AlienBreed3D2";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA";"Alien Breed 3D ? 1995 Team 17";"1995 Team 17";"whdload";"0";"Alien Breed 3D";"AlienBreed3DAGA";"1667387";"A\AlienBreed3DAGA\AlienBreed3DAGA.Slave";"1409024";"A\AlienBreed3DAGA";"589824";"AlienBreed3D";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, ClearMem";"Alien Breed 3D demo ? 1995 Team 17";"1995 Team 17";"whdload";"0";"Alien Breed 3D demo (files)";"AlienBreed3DDemoLatestAGA";"1311156";"A\AlienBreed3DDemoLatestAGA\AlienBreed3DDemoLatest.Slave";"1409024";"A\AlienBreed3DDemoLatestAGA";"438272";"AlienBreed3D";"AGA";"";"";"DemoLatest";"";""
"NoError, EmulTrap, Req68020, ReqAGA, ClearMem";"Alien Breed 3D demo ? 1995 Team 17";"1995 Team 17";"whdload";"0";"Alien Breed 3D demo/rolling";"AlienBreed3DDemoPlayAGA";"1184823";"A\AlienBreed3DDemoPlayAGA\AlienBreed3DDemoPlayAGA.Slave";"1167360";"A\AlienBreed3DDemoPlayAGA";"999424";"AlienBreed3D";"AGA";"";"";"DemoPlay";"";""
"NoError, EmulTrap, Req68020, ReqAGA, ClearMem";"Alien Breed 3D demo ? 1995 Team 17";"1995 Team 17";"whdload";"0";"Alien Breed 3D demo/rolling";"AlienBreed3DDemoRollAGA";"1012153";"A\AlienBreed3DDemoRollAGA\AlienBreed3DDemoRollAGA.Slave";"1167360";"A\AlienBreed3DDemoRollAGA";"999424";"AlienBreed3D";"AGA";"";"";"DemoRoll";"";""
"NoError, Req68020, ReqAGA";"Alien Breed 3D ? 1995 Team 17";"1995 Team 17";"whdload";"0";"Alien Breed 3D (no music)";"AlienBreed3DNoMusicAGA";"1557892";"A\AlienBreed3DNoMusicAGA\AlienBreed3DNoMusicAGA.slave";"1409024";"A\AlienBreed3DNoMusicAGA";"438272";"AlienBreed3D";"AGA";"";"";"";"NoMusic";""
"NoError, ClearMem";"Alien Breed Tower Assault ? 1994 Team 17";"1994 Team 17";"whdload";"0";"Alien Breed Tower Assault";"AlienBreedTA11AGA";"2965940";"A\AlienBreedTA11AGA\AlienBreedTA11AGA.slave";"544768";"A\AlienBreedTA11AGA";"1048576";"AlienBreedTA11";"AGA";"";"";"";"";""
"NoError, ClearMem";"Alien Breed Tower Assault ? 1994 Team 17";"1994 Team 17";"whdload";"0";"Alien Breed Tower Assault";"AlienBreedTAAGA";"2965918";"A\AlienBreedTAAGA\AlienBreedTAAGA.slave";"544768";"A\AlienBreedTAAGA";"1048576";"AlienBreedTA";"AGA";"";"";"";"";""
"NoError, ReqAGA, EmulPriv, Examine";"All New World of Lemmings ? 1994 DMA Design / Psygnosis";"1994 DMA Design / Psygnosis";"whdload";"0";"All New World of Lemmings";"AllNewWorldOfLemmingsAGA";"2752608";"A\AllNewWorldOfLemmingsAGA\AllNewWorldOfLemmingsAGA.slave";"1048576";"A\AllNewWorldOfLemmingsAGA";"2093056";"AllNewWorldOfLemmings";"AGA";"";"";"";"";""
"NoError, ReqAGA, EmulPriv, ClearMem";"Arcade Pool ? 1994 Team 17.";"1994 Team 17";"whdload";"0";"Arcade Pool AGA";"ArcadePoolAGA";"1004565";"A\ArcadePoolAGA\ArcadePoolAGA.Slave";"1310720";"A\ArcadePoolAGA";"2097152";"ArcadePool";"AGA";"";"";"";"";""
"NoError, ReqAGA, ClearMem";"Arcade Snooker ? 1995 Team 17";"1995 Team 17";"whdload";"0";"Arcade Snooker";"ArcadeSnookerAGA";"504837";"A\ArcadeSnookerAGA\ArcadeSnookerAGA.Slave";"327680";"A\ArcadeSnookerAGA";"737280";"ArcadeSnooker";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, NoKbd, EmulPriv, Examine";"Banshee ? 1992 Core Design.";"1992 Core Design";"whdload";"0";"Banshee AGA/CD³²";"BansheeAGA";"3117873";"B\BansheeAGA\BansheeAGA.slave";"1048576";"B\BansheeAGA";"2093056";"Banshee";"AGA";"";"";"";"";""
"NoError, Req68020, EmulPriv, Examine";"Basket Island demo 1 & 2 ? Syndrome";"Syndrome";"whdload";"0";"Basket Island (playable demo)";"BasketIslandDemo1AGA";"1297426";"B\BasketIslandDemo1AGA\BasketIslandDemo1AGA.Slave";"524288";"B\BasketIslandDemo1AGA";"2097152";"BasketIsland";"AGA";"";"";"Demo1";"";""
"NoError, Req68020, EmulPriv, Examine";"Basket Island demo 1 & 2 ? Syndrome";"Syndrome";"whdload";"0";"Basket Island (playable demo)";"BasketIslandDemo2AGA";"1363694";"B\BasketIslandDemo2AGA\BasketIslandDemo2AGA.Slave";"524288";"B\BasketIslandDemo2AGA";"2097152";"BasketIsland";"AGA";"";"";"Demo2";"";""
"NoError, EmulTrap, NoKbd, EmulPriv, Examine";"Black Viper ?1996 Neo/LightShock.";"1996 Neo";"whdload";"0";"Black Viper AGA Game Loader";"BlackViperAGA";"3579476";"B\BlackViperAGA\BlackViperAGA.Slave";"524288";"B\BlackViperAGA";"2097152";"BlackViper";"AGA";"";"";"";"";""
"NoError, Req68020, EmulPriv, Examine";"Bloodnet (ECS/AGA) ? 1995 Microprose/GameTEK.";"1993 GameTEK/Microprose";"whdload";"0";"Bloodnet AGA";"BloodnetAGA";"8946923";"B\BloodnetAGA\BloodnetAGA.slave";"1572864";"B\BloodnetAGA";"2093056";"Bloodnet";"AGA";"";"";"";"";""
"NoError, EmulTrap, NoKbd, ClearMem";"Body Blows AGA/ECS ? 1993-94 Team 17 - 3 disks.";"1994 Team 17 ";"whdload";"0";"Body Blows AGA";"BodyBlowsAGA";"2983668";"B\BodyBlowsAGA\BodyBlowsAGA.Slave";"0";"B\BodyBlowsAGA";"2097152";"BodyBlows";"AGA";"";"";"";"";""
"NoError, EmulTrap, ReqAGA, ClearMem";"Body Blows Galactic ECS/AGA ? 1993/1994 Team 17.";"1994 Team 17";"whdload";"0";"Body Blows Galactic AGA";"BodyBlowsGalacticAGA";"1984853";"B\BodyBlowsGalacticAGA\BodyBlowsGalacticAGA.Slave";"0";"B\BodyBlowsGalacticAGA";"2093056";"BodyBlowsGalactic";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"Breathless ? 1995 Fields of Vision";"1995 Fields of Vision";"whdload";"0";"Breathless";"BreathlessAGA";"2344333";"B\BreathlessAGA\BreathlessAGA.Slave";"1703936";"B\BreathlessAGA";"589824";"Breathless";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"Breathless ? 1995 Fields of Vision";"1995 Fields of Vision";"whdload";"0";"Breathless";"BreathlessAGA060";"2349832";"B\BreathlessAGA060\BreathlessAGA060.Slave";"1703936";"B\BreathlessAGA060";"589824";"Breathless";"AGA";"";"";"";"060";""
"NoError, EmulTrap, ReqAGA, ClearMem";"Brian The Lion by Psygnosis/Reflections (c) 1994 - 3 disks.";"1994 Psygnosis";"whdload";"0";"Brian The Lion AGA";"BrianTheLionAGA";"2735334";"B\BrianTheLionAGA\BrianTheLionAGA.Slave";"0";"B\BrianTheLionAGA";"2097152";"BrianTheLion";"AGA";"";"";"";"";""
"NoError, ReqAGA, EmulPriv, Examine";"Brutal Football ? 1993 Millennium.";"1993 Millennium";"whdload";"0";"Brutal Sports Football AGA";"BrutalFootballAGA";"2263038";"B\BrutalFootballAGA\BrutalFootballAGA.slave";"524288";"B\BrutalFootballAGA";"2097152";"BrutalFootball";"AGA";"";"";"";"";""
"NoError, Req68020, EmulPriv, Examine";"Bubble And Squeak ? 1994 Audiogenic";"1994 Audiogenic";"whdload";"0";"Bubble";"Bubble&SqueakAGA";"1190130";"B\Bubble&SqueakAGA\Bubble&SqueakAGA.slave";"1048576";"B\Bubble&SqueakAGA";"1572864";"Bubble&Squeak";"AGA";"";"";"";"";""
"NoError, EmulTrap, ReqAGA";"Burning Rubber by Ocean (c) 1993 - 4 disks.";"1991 Ocean";"whdload";"0";"Burning Rubber (AGA)";"BurningRubberAGA";"2940073";"B\BurningRubberAGA\BurningRubberAGA.slave";"0";"B\BurningRubberAGA";"2097152";"BurningRubber";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, EmulPriv, Examine";"Burnout by Vulcan (c) 1996 - 7 disks.";"1996 Vulkan Software";"whdload";"0";"Burnout";"BurnoutAGA";"7677444";"B\BurnoutAGA\BurnoutAGA.slave";"4718592";"B\BurnoutAGA";"2097152";"Burnout";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"Burntime ? 1993 Max Design";"1993 Max Design";"whdload";"0";"Burntime AGA";"BurntimeAGA";"3334615";"B\BurntimeAGA\BurntimeAGA.Slave";"1572864";"B\BurntimeAGA";"1048576";"Burntime";"AGA";"";"";"";"";""
"NoError, EmulTrap, Req68020, EmulPriv, Examine";"Capital Punishment ?1996 ClickBoom.";"1996 Click Boom";"whdload";"0";"Capital Punishment";"CapitalPunishmentAGA";"14783517";"C\CapitalPunishmentAGA\CapitalPunishmentAGA.Slave";"1572864";"C\CapitalPunishmentAGA";"2097152";"CapitalPunishment";"AGA";"";"";"";"";""
"NoError";":";"1996 The Bitmap Brothers";"whdload";"0";"The Chaos Engine 2 AGA";"ChaosEngine2AGA";"2724843";"C\ChaosEngine2AGA\ChaosEngine2AGA.slave";"0";"C\ChaosEngine2AGA";"2097152";"ChaosEngine2";"AGA";"";"";"";"";""
"NoError, EmulTrap, Req68020, ReqAGA, ClearMem";":";"1992/93 The Bitmap Brothers";"whdload";"0";"The Chaos Engine AGA";"ChaosEngineAGA";"1780021";"C\ChaosEngineAGA\ChaosEngineAGA.Slave";"0";"C\ChaosEngineAGA";"2093056";"ChaosEngine";"AGA";"";"";"";"";""
"Disk, NoError, NoDivZero, ReqAGA";"Charlie J. Cool by Nevada (c) 1996 - 2 disks.";"1996 Nevada";"whdload";"0";"Charlie J Cool AGA";"CharlieJCoolAGA";"1814153";"C\CharlieJCoolAGA\CharlieJCoolAGA.slave";"0";"C\CharlieJCoolAGA";"2097152";"CharlieJCool";"AGA";"";"";"";"";""
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"Civilization ? 1992 MicroProse";"1994 MicroProse";"whdload";"0";"Civilization (AGA)";"CivilizationAGA";"2748017";"C\CivilizationAGA\CivilizationAGA.slave";"1048576";"C\CivilizationAGA";"1048576";"Civilization";"AGA";"";"";"";"";""
"NoError, ReqAGA, ClearMem, Examine";"Clockwiser ?1994 Rasputin";"1994 Rasputin";"whdload";"0";"Clockwiser AGA";"ClockwiserAGA";"2099329";"C\ClockwiserAGA\ClockwiserAGA.Slave";"720896";"C\ClockwiserAGA";"1441792";"Clockwiser";"AGA";"";"";"";"";""
"NoError, Req68020, EmulPriv, ClearMem, Examine";"The Clue! ? 1994 Neo";"1994 Neo";"whdload";"0";"The Clue! (AGA)";"ClueAGA";"3373914";"C\ClueAGA\ClueAGA.slave";"1048576";"C\ClueAGA";"983040";"Clue";"AGA";"";"";"";"";""
"NoError, ReqAGA, EmulPriv";"Coala ? 1993 Empire.";"1993 Empire";"whdload";"0";"Coala AGA";"CoalaAGA";"1590687";"C\CoalaAGA\CoalaAGA.Slave";"1048576";"C\CoalaAGA";"524288";"Coala";"AGA";"";"";"";"";""
"NoError, Req68020, EmulPriv, Examine";"Colonization ? 1995 Microprose";"1995 Microprose";"whdload";"0";"Colonization";"ColonizationAGA";"2369963";"C\ColonizationAGA\ColonizationAGA.Slave";"1572864";"C\ColonizationAGA";"1048576";"Colonization";"AGA";"";"";"";"";""
"NoError, EmulTrap, ReqAGA, ClearMem";"Dangerous Streets by Flair/Micromania (c) 1993 - 3 disks.";"1993 Flair";"whdload";"0";"Dangerous Streets";"DangerousStreetsAGA";"2718056";"D\DangerousStreetsAGA\DangerousStreetsAGA.slave";"262144";"D\DangerousStreetsAGA";"2097152";"DangerousStreets";"AGA";"";"";"";"";""
"NoError, EmulPriv, Examine";"";"1992 Millenium";"whdload";"0";"James Pond 2 - Robocod CD³²";"data";"4288285";"J\JamesPond2CD32\data\JamesPond2.Slave";"655360";"J\JamesPond2CD32\data";"1572864";"data";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, ReqAGA, NoKbd";"";"1995 Alternative";"whdload";"0";"Death Mask AGA";"DeathMaskAGA";"1812577";"D\DeathMaskAGA\DeathMaskAGA.Slave";"0";"D\DeathMaskAGA";"2097152";"DeathMask";"AGA";"";"";"";"";""
