"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"NoError, EmulTrap, ClearMem";"The 100 Most Remembered C64 Game-Tunes";"1990 Per Håkan Sundell & Ron Birk";"whdload";"0";"The 100 Most Remembered C64 Game-Tunes";"100MostRememberedC64Tunes";"855681";"0-9\100MostRememberedC64Tunes\100MostRememberedC64Tunes.Slave";"4096";"0-9\100MostRememberedC64Tunes";"524288";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"24 Hour E Fix ? 1992 Quartz.";"1992 Quartz";"whdload";"0";"24 Hour E Fix";"24HourEFix";"792619";"0-9\24HourEFix\24HourEFix.Slave";"0";"0-9\24HourEFix";"524288";"24HourE";"OCS/ECS";"";"";"";"Fix";""
"NoError, EmulTrap, ClearMem";"2D ? 1993 Remedy.";"1993 Remedy";"whdload";"0";"2D";"2D";"433416";"0-9\2D\2D.Slave";"0";"0-9\2D";"524288";"2D";"OCS/ECS";"";"";"";"";""
"NoError";"2 Unlimited ? 1993 Scoopex - 2 disks";"1993 Scoopex";"whdload";"0";"2 Unlimited";"2Unlimited";"1815064";"0-9\2Unlimited\2Unlimited.Slave";"0";"0-9\2Unlimited";"528384";"2Unlimited";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"3D Demo ? 1991 Anarchy - 2 disks";"1991 Anarchy";"whdload";"0";"3D Demo";"3DDemo";"1820203";"0-9\3DDemo\3DDemo.Slave";"0";"0-9\3DDemo";"524288";"3D";"OCS/ECS";"";"";"Demo";"";""
"NoError";"3D Balls ? 1989 Avenger";"1989 Avenger";"whdload";"0";"3D Balls";"3DBalls";"100693";"0-9\3DBalls\3DBalls.Slave";"4096";"0-9\3DBalls";"524288";"3DBalls";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"1989 Doctor Mabuse Orgasm Crackings";"whdload";"0";"3D-Net Analyzer";"3DNetAnalyzer";"842261";"0-9\3DNetAnalyzer\3DNetAnalyzer.Slave";"0";"0-9\3DNetAnalyzer";"524288";"3DNetAnalyzer";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"5 Yards 1991 Vision.";"1991 Vision";"whdload";"0";"5 Yards";"5Yards";"92702";"0-9\5Yards\5Yards.Slave";"0";"0-9\5Yards";"524288";"5Yards";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Absence of Light ? 1991 Animators.";"1991 Animators";"whdload";"0";"Absence of Light";"AbsenceOfLight";"456895";"A\AbsenceOfLight\AbsenceOfLight.Slave";"0";"A\AbsenceOfLight";"524288";"AbsenceOfLight";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Absolute Swedish ? 1993 Phew! Productions.";"1993 Phew! Productions";"whdload";"0";"Absolute Swedish";"AbsoluteSwedish";"925128";"A\AbsoluteSwedish\AbsoluteSwedish.slave";"0";"A\AbsoluteSwedish";"524288";"AbsoluteSwedish";"OCS/ECS";"";"";"";"";""
