"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"Battlestorm\Battlestorm.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Battle Storm ? Titus.";"Battle Storm ECS/CDTV ";"TITUS";"786432";"Battlestorm_v1.2_2008.zip";"Battlestorm";"Battlestorm";"0";"whdload";"524288";"802177";"Battlestorm";"OCS/ECS";"";"";"";"";""
"DinoWars\DinoWars.slave";"NoError, ClearMem";"DinoWars ?1991 DigiTek";"DinoWars";"1991 DigiTek";"4096";"DinoWars_v1.1.lha";"DinoWars";"DinoWars";"0";"whdload";"524288";"1865497";"DinoWars";"OCS/ECS";"";"";"";"";""
"FastLane\FastLane.Slave";"NoError, EmulTrap, ClearMem";"Fast Lane ? 1989 Artronic.";"Fast Lane";"1989 Artronic";"0";"FastLane_v1.0.lha";"FastLane";"FastLane";"0";"whdload";"524288";"710438";"FastLane";"OCS/ECS";"";"";"";"";""
"FlipFlop\FlipFlop.Slave";"NoError, EmulPriv, Examine";"Flip Flop (c) 1987 Kingsoft - 1 disk.";"Flip Flop";"1987 Kingsoft";"393216";"FlipFlop_v1.0.zip";"FlipFlop";"FlipFlop";"0";"whdload";"262144";"36669";"FlipFlop";"OCS/ECS";"";"";"";"";""
"HiredGuns512KB\HiredGuns512KB.Slave";"NoError, ClearMem";"Hired Guns ? 1993 Psygnosis";"Hired Guns";"1993 Psygnosis";"528384";"HiredGuns_v1.0_512KB_1114.zip";"HiredGuns512KB";"HiredGuns512KB";"0";"whdload";"524288";"3443197";"HiredGuns";"OCS/ECS";"";"512KB";"";"";""
"HoleInOne\HoleInOne.slave";"NoError, EmulPriv, ClearMem, Examine";"Hole In One ? 1988 Digitek";"Hole In One";"1988 Digitek";"262144";"HoleInOne_v1.1.lha";"HoleInOne";"HoleInOne";"0";"whdload";"524288";"793726";"HoleInOne";"OCS/ECS";"";"";"";"";""
"HoleInOne&DataDisks\HoleInOne&DataDisks.Slave";"NoError, EmulPriv, ClearMem, Examine";"Hole In One ? 1988 Digitek";"Hole In One";"1988 Digitek";"262144";"HoleInOne&DataDisks_v1.1.lha";"HoleInOne&DataDisks";"HoleInOne&DataDisks";"0";"whdload";"524288";"2090216";"HoleInOnes";"OCS/ECS";"";"";"";"";"DataDisk"
"OsWALDOfTheIceFloes\OsWALDOfTheIceFloes.Slave";"NoError";"OsWALD Of The Ice Floes ? 1989 Centaur.";"OsWALD Of The Ice Floes";"1989 Centaur ";"0";"OsWALDOfTheIceFloes_v1.0.zip";"OsWALDOfTheIceFloes";"OsWALDOfTheIceFloes";"0";"whdload";"524288";"487448";"OsWALDOfTheIceFloes";"OCS/ECS";"";"";"";"";""
"SimLife\SimLife.Slave";"NoError, Req68020, EmulPriv, Examine";"Sim Life ? 1992 Maxis";"Sim Life (ECS)";"1992 Maxis";"1835008";"SimLife_v1.0_2585.zip";"SimLife";"SimLife";"0";"whdload";"524288";"2101260";"SimLife";"OCS/ECS";"";"";"";"";""
"SkateOfTheArt\SkateOfTheArt.Slave";"NoError, EmulPriv, ClearMem, Examine";"Skate of the Art ?1989 Linel";"Skate Of The Art";"1989 Linel";"262144";"SkateOfTheArt_v1.0.zip";"SkateOfTheArt";"SkateOfTheArt";"0";"whdload";"589824";"782228";"SkateOfTheArt";"OCS/ECS";"";"";"";"";""
"Sorefist\Sorefist.Slave";"NoError, EmulPriv, Examine";"SoreFist ? SnakeSoft.";"SoreFist";"SnakeSoft.";"262144";"Sorefist_v1.0.zip";"Sorefist";"Sorefist";"0";"whdload";"1048576";"804074";"Sorefist";"OCS/ECS";"";"";"";"";""
"TrivialPursuit\TrivialPursuit.slave";"NoError, EmulTrap, NoDivZero, ClearMem";"Trivial Pursuit ? Domark.";"Trivial Pursuit (VF/DE/GB)";"DoMark";"0";"TrivialPursuit_v1.2.zip";"TrivialPursuit";"TrivialPursuit";"0";"whdload";"655360";"397955";"TrivialPursuit";"OCS/ECS";"";"";"";"";""
