"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"NoError, EmulTrap, NoKbd";"1000cc Turbo (c) 1992 Energize - 1 disk.";"1992 Energize";"whdload";"0";"1000cc Turbo";"1000ccTurbo";"450496";"0-9\1000ccTurbo\1000ccTurbo.Slave";"4096";"0-9\1000ccTurbo";"524288";"1000ccTurbo";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"1000 Miglia ? 1992 Simulmondo.";"1992 Simulmondo";"whdload";"0";"1000 Miglia";"1000Miglia";"915637";"0-9\1000Miglia\1000Miglia.Slave";"0";"0-9\1000Miglia";"524288";"1000Miglia";"OCS/ECS";"";"";"";"";""
"NoError, NoDivZero";"1943 - The Battle Of Midway ? 1987 Go!/Probe.";"1987 Probe ";"whdload";"0";"1943: The Battle Of Midway";"1943";"525205";"0-9\1943\1943.slave";"4096";"0-9\1943";"524288";"1943";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"3D Galax (c) 1989 Gremlin - 1 disk.";"1989 Gremlin";"whdload";"0";"3D Galax";"3DGalax";"460385";"0-9\3DGalax\3DGalax.Slave";"4096";"0-9\3DGalax";"524288";"3DGalax";"OCS/ECS";"";"";"";"";""
"NoError";"3D Pool (c) 1989 Aardvark Software/Firebird.";"1989 Aardvark Software/Firebird";"whdload";"0";"3D Pool";"3DPool";"481908";"0-9\3DPool\3DPool.Slave";"0";"0-9\3DPool";"524288";"3DPool";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"3D Pool (c) 1989 Aardvark Software/Firebird.";"1989 Aardvark Software/Firebird";"whdload";"0";"3D Pool (Pictures)";"3DPool";"481908";"0-9\3DPool\3DPictures.Slave";"4096";"0-9\3DPool";"528384";"3DPool";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"5th Gear (c) 1988 Hewson - 1 disk.";"1988 Hewson";"whdload";"0";"5th Gear";"5thGear";"925429";"0-9\5thGear\5thGear.Slave";"0";"0-9\5thGear";"524288";"5thGear";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"7 Colors ? 1991 Infogrames";"1991 Infogrames";"whdload";"0";"7 Colors";"7Colors";"835860";"0-9\7Colors\7Colors.Slave";"4096";"0-9\7Colors";"458752";"7Colors";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"9 Lives (c) 1990 ARC - 1 disk.";"1990 ARC";"whdload";"0";"9 Lives";"9Lives";"577648";"0-9\9Lives\9Lives.Slave";"0";"0-9\9Lives";"524288";"9Lives";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Academy by CRL Group/ComTek (c) 1988.";"1988 CRL";"whdload";"0";"Academy";"Academy";"356900";"A\Academy\Academy.slave";"0";"A\Academy";"524288";"Academy";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero";"Action Fighter ? 1989 Sega/Firebird/Kixx.";"1989 Sega/Firebird/Kixx";"whdload";"0";"Action Fighter";"ActionFighter";"360614";"A\ActionFighter\ActionFighter.slave";"0";"A\ActionFighter";"524288";"ActionFighter";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, NoKbd, ClearMem";"Adrenalynn ? 1991 Exponentia.";"1991 Exponentia";"whdload";"0";"Adrenalynn";"Adrenalynn";"918054";"A\Adrenalynn\Adrenalynn.Slave";"0";"A\Adrenalynn";"524288";"Adrenalynn";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Advanced Ski Simulator ? 199? Code Masters.";"";"whdload";"0";"";"AdvancedSkiSimulator";"817900";"A\AdvancedSkiSimulator\AdvancedSkiSimulator.slave";"";"A\AdvancedSkiSimulator";"524288";"AdvancedSkiSimulator";"OCS/ECS";"";"";"";"";""
"NoError";"Quik & Silva (c) 1991 New Bits on the Ram - 1 disk.";"1991 New Bits on the Ram";"whdload";"0";"The Adventures of Quik & Silva";"AdventuresOfQuik&Silva";"578771";"A\AdventuresOfQuik&Silva\AdventuresOfQuik&Silva.Slave";"0";"A\AdventuresOfQuik&Silva";"524288";"AdventuresOfQuik&Silva";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Adventures of Robin Hood by Millennium (c) 1991 - 1 disk.";"1991 Millenium";"whdload";"0";"Adventures of Robin Hood";"AdventuresOfRobinHood";"964482";"A\AdventuresOfRobinHood\AdventuresOfRobinHood.slave";"0";"A\AdventuresOfRobinHood";"524288";"AdventuresOfRobinHood";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, NoDivZero";"";"1988 Sega Enterprises Ltd.";"whdload";"0";"After Burner";"AfterBurnerActivision";"1364489";"A\AfterBurnerActivision\AfterBurnerActivision.Slave";"0";"A\AfterBurnerActivision";"524288";"AfterBurnerActivision";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"After Burner 2 ? 1989 Sega.";"1989 Sega";"whdload";"0";"After Burner 2";"AfterBurnerSega";"910179";"A\AfterBurnerSega\AfterBurnerSega.slave";"0";"A\AfterBurnerSega";"524288";"AfterBurnerSega";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"After The War by Dinamic (c) 1989 - 1 disk.";"1989 Dinamic";"whdload";"0";"After The War";"AfterTheWar";"913501";"A\AfterTheWar\AfterTheWar.Slave";"0";"A\AfterTheWar";"524288";"AfterTheWar";"OCS/ECS";"";"";"";"";""
