"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailCompo";"DetailRank";"DetailGroups";"DetailProductionPath";"DetailType";"DetailParty";"DetailScreenshotUrl";"DetailDate";"DetailName";"DetailPlatform";"DetailProductionUrl";"Detail_Keywords"
"1001StolenIdeas\1001StolenIdeas.Slave";"NoError, EmulTrap, ReqAGA, ClearMem";"1001 Stolen Ideas ? 1991 Airwalk.";"1001 Stolen Ideas";"1991 Airwalk";"0";"#\1001StolenIdeas_v1.0_Airwalk.lha";"1001StolenIdeas";"1001StolenIdeas";"0";"whdload";"524288";"291973";"1001StolenIdeas";"AGA";"";"";"";"";"";"1001 stolen ideas airwalk";"Exact";"100";"Pouet";"";"";"Airwalk";"0\1001-stolen-ideas-airwalk";"demo";"";"http://content.pouet.net/files/screenshots/00019/00019131.jpg";"1991";"1001 Stolen Ideas";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=19131";"1001 stolen ideas 1001stolenideas airwalk 1001stolenideasairwalk"
"100MostRememberedC64Tunes\100MostRememberedC64Tunes.slave";"NoError, EmulTrap, ClearMem";"The 100 Most Remembered C64 Game-Tunes";"The 100 Most Remembered C64 Game-Tunes";"1990 Per Håkan Sundell & Ron Birk";"4096";"#\100MostRememberedGamesOnThe64_v1.01_PerhåkanSundell&RonBirk.lha";"100MostRememberedC64Tunes";"100MostRememberedC64Tunes";"0";"whdload";"524288";"856645";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";"";"100 most remembered 64 tunes the game per hakan sundell ron birk";"Best";"3.355151";"Pouet";"";"";"Sundell & Birk";"t\the-100-most-remembered-c64-game-tunes-sundell-birk";"musicdisk";"";"http://content.pouet.net/files/screenshots/00028/00028589.jpg";"1990";"the 100 most remembered c64 game tunes";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=28589";"the 100 most remembered c 64 game tunes the100mostrememberedc64gametunes sundell birk the100mostrememberedc64gametunessundellbirk"
"242\242.slave";"NoError, EmulTrap, ClearMem";"242 ? 1993 Virtual Dreams/Fairlight.";"242";"1993 Virtual Dreams/Fairlight";"524288";"#\242_v1.1_Fairlight&VirtualDreams.lha";"242";"242";"0";"whdload";"524288";"912879";"242";"OCS/ECS";"";"";"";"";"";"242 virtual dreams fairlight";"Best";"4.509322";"Pouet";"amiga demo";"2nd";"Fairlight,Virtual Dreams";"0\242-fairlight-virtual-dreams";"demo";"Assembly 1993";"http://content.pouet.net/files/screenshots/00003/00003202.gif";"june 1993";"242";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3202";"242 242 fairlight virtual dreams 242fairlightvirtualdreams"
"24HourEFix\24HourEFix.Slave";"NoError, EmulTrap, ClearMem";"24 Hour E Fix ? 1992 Quartz.";"24 Hour E Fix";"1992 Quartz";"0";"#\24HourEFix_v1.0_Quartz.lha";"24HourEFix";"24HourEFix";"0";"whdload";"524288";"792619";"24HourE";"OCS/ECS";"";"";"";"Fix";"";"24 hour efix fix quartz";"Best";"3.244673";"Pouet";"";"";"Quartz";"0\24-hour-e-fix-quartz";"musicdisk";"";"http://content.pouet.net/files/screenshots/00015/00015951.jpg";"n/a";"24 Hour E Fix";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=15951";"24 hour e fix 24hourefix quartz 24hourefixquartz"
"2D\2D.Slave";"NoError, EmulTrap, ClearMem";"2D ? 1993 Remedy.";"2D";"1993 Remedy";"0";"#\2D_v1.0_Remedy.lha";"2D";"2D";"0";"whdload";"524288";"433416";"2D";"OCS/ECS";"";"";"";"";"";"2d remedy amiga";"Exact";"100";"Pouet";"";"";"remedy (amiga)";"0\2d-remedy-amiga";"demo";"";"http://content.pouet.net/files/screenshots/00008/00008864.gif";"february 1993";"2d";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=8864";"2d 2d remedy amiga 2dremedyamiga"
"2Unlimited\2Unlimited.Slave";"NoError";"2 Unlimited ? 1993 Scoopex - 2 disks";"2 Unlimited";"1993 Scoopex";"0";"#\2Unlimited_v1.0_Scoopex.lha";"2Unlimited";"2Unlimited";"0";"whdload";"528384";"1815666";"2Unlimited";"OCS/ECS";"";"";"";"";"";"2 unlimited scoopex";"Best";"2.593697";"Pouet";"n/a";"n/a";"Scoopex";"p\plays-2-unlimited-scoopex";"musicdisk";"The Gathering 1993";"http://content.pouet.net/files/screenshots/00021/00021401.jpg";"april 1993";"Plays 2 unlimited";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=21401";"plays 2 unlimited plays2unlimited scoopex plays2unlimitedscoopex"
"2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"Disk, NoError, EmulTrap, ClearMem";"2 Unlimited - No Limit ? 1993 Project A";"2 Unlimited - No Limit";"1993 Project A";"786432";"#\2UnlimitedNoLimit_v1.0_ProjectA.lha";"2UnlimitedNoLimit";"2UnlimitedNoLimit";"0";"whdload";"524288";"909350";"2UnlimitedNoLimit";"OCS/ECS";"";"";"";"";"";"2 unlimited no limit project";"Best";"4.205204";"Pouet";"";"";"Project A";"0\2-unlimited-no-limit-project-a";"musicdisk";"";"http://content.pouet.net/files/screenshots/00012/00012499.jpg";"february 1993";"2 unlimited No Limit";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=12499";"2 unlimited no limit 2unlimitednolimit project a 2unlimitednolimitprojecta"
"3DBalls\3DBalls.Slave";"NoError";"3D Balls ? 1989 Avenger";"3D Balls";"1989 Avenger";"4096";"#\3DBalls_v1.0_Avenger.lha";"3DBalls";"3DBalls";"0";"whdload";"524288";"100693";"3DBalls";"OCS/ECS";"";"";"";"";"";"3d balls avenger";"Exact";"100";"Pouet";"n/a";"n/a";"avenger";"0\3d-balls-avenger";"demo";"Piranhas copy party";"http://content.pouet.net/files/screenshots/00019/00019629.png";"april 1989";"3D balls";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=19629";"3d balls 3dballs avenger 3dballsavenger"
"3DDemo\3DDemo.Slave";"NoError, EmulTrap";"3D Demo ? 1991 Anarchy - 2 disks";"3D Demo";"1991 Anarchy";"0";"#\3DDemo_v1.0_Anarchy.lha";"3DDemo";"3DDemo";"0";"whdload";"524288";"1820813";"3D";"OCS/ECS";"";"";"Demo";"";"";"3d demo anarchy";"Exact";"100";"Pouet";"amiga demo";"5th";"Anarchy";"0\3d-demo-anarchy";"demo";"The Party 1991";"http://content.pouet.net/files/screenshots/00003/00003098.png";"december 1991";"3D DEMO";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3098";"3d demo 3ddemo anarchy 3ddemoanarchy"
"3DDemo2\3DDemo2.Slave";"NoError, EmulTrap";"3D Demo II ? 1992 Anarchy - 1 disk";"3D Demo II";"1992 Anarchy";"0";"#\3DDemo2_v1.0_Anarchy.lha";"3DDemo2";"3DDemo2";"0";"whdload";"1048576";"839673";"3D";"OCS/ECS";"";"";"Demo2";"";"";"3d demo 2 anarchy";"Exact";"100";"Pouet";"amiga demo";"2nd";"Anarchy";"0\3d-demo-2-anarchy";"demo";"The Party 1992";"http://content.pouet.net/files/screenshots/00003/00003091.gif";"december 1992";"3D-DEMO 2";"Amiga OCS/ECS";"http://www.pouet.net/prod.php?which=3091";"3d demo 2 3ddemo2 anarchy 3ddemo2anarchy"
