"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"1001StolenIdeas\1001StolenIdeas.Slave";"NoError, EmulTrap, ReqAGA, ClearMem";"1001 Stolen Ideas ? 1991 Airwalk.";"1001 Stolen Ideas";"1991 Airwalk";"0";"#\1001StolenIdeas_v1.0_Airwalk.lha";"1001StolenIdeas";"1001StolenIdeas";"0";"whdload";"524288";"291973";"1001StolenIdeas";"AGA";"";"";"";"";"";"1001 stolen ideas airwalk"
"100MostRememberedC64Tunes\100MostRememberedC64Tunes.slave";"NoError, EmulTrap, ClearMem";"The 100 Most Remembered C64 Game-Tunes";"The 100 Most Remembered C64 Game-Tunes";"1990 Per Håkan Sundell & Ron Birk";"4096";"#\100MostRememberedGamesOnThe64_v1.01_PerhåkanSundell&RonBirk.lha";"100MostRememberedC64Tunes";"100MostRememberedC64Tunes";"0";"whdload";"524288";"856645";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";"";"100 most remembered 64 tunes the game per hakan sundell ron birk"
"242\242.slave";"NoError, EmulTrap, ClearMem";"242 ? 1993 Virtual Dreams/Fairlight.";"242";"1993 Virtual Dreams/Fairlight";"524288";"#\242_v1.1_Fairlight&VirtualDreams.lha";"242";"242";"0";"whdload";"524288";"912879";"242";"OCS/ECS";"";"";"";"";"";"242 virtual dreams fairlight"
"24HourEFix\24HourEFix.Slave";"NoError, EmulTrap, ClearMem";"24 Hour E Fix ? 1992 Quartz.";"24 Hour E Fix";"1992 Quartz";"0";"#\24HourEFix_v1.0_Quartz.lha";"24HourEFix";"24HourEFix";"0";"whdload";"524288";"792619";"24HourE";"OCS/ECS";"";"";"";"Fix";"";"24 hour efix fix quartz"
"2D\2D.Slave";"NoError, EmulTrap, ClearMem";"2D ? 1993 Remedy.";"2D";"1993 Remedy";"0";"#\2D_v1.0_Remedy.lha";"2D";"2D";"0";"whdload";"524288";"433416";"2D";"OCS/ECS";"";"";"";"";"";"2d remedy amiga"
"2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"Disk, NoError, EmulTrap, ClearMem";"2 Unlimited - No Limit ? 1993 Project A";"2 Unlimited - No Limit";"1993 Project A";"786432";"#\2UnlimitedNoLimit_v1.0_ProjectA.lha";"2UnlimitedNoLimit";"2UnlimitedNoLimit";"0";"whdload";"524288";"909350";"2UnlimitedNoLimit";"OCS/ECS";"";"";"";"";"";"2 unlimited no limit project"
"2Unlimited\2Unlimited.Slave";"NoError";"2 Unlimited ? 1993 Scoopex - 2 disks";"2 Unlimited";"1993 Scoopex";"0";"#\2Unlimited_v1.0_Scoopex.lha";"2Unlimited";"2Unlimited";"0";"whdload";"528384";"1815666";"2Unlimited";"OCS/ECS";"";"";"";"";"";"2 unlimited scoopex"
"3DBalls\3DBalls.Slave";"NoError";"3D Balls ? 1989 Avenger";"3D Balls";"1989 Avenger";"4096";"#\3DBalls_v1.0_Avenger.lha";"3DBalls";"3DBalls";"0";"whdload";"524288";"100693";"3DBalls";"OCS/ECS";"";"";"";"";"";"3d balls avenger"
"3DDemo2\3DDemo2.Slave";"NoError, EmulTrap";"3D Demo II ? 1992 Anarchy - 1 disk";"3D Demo II";"1992 Anarchy";"0";"#\3DDemo2_v1.0_Anarchy.lha";"3DDemo2";"3DDemo2";"0";"whdload";"1048576";"839673";"3D";"OCS/ECS";"";"";"Demo2";"";"";"3d demo 2 anarchy"
"3DDemo\3DDemo.Slave";"NoError, EmulTrap";"3D Demo ? 1991 Anarchy - 2 disks";"3D Demo";"1991 Anarchy";"0";"#\3DDemo_v1.0_Anarchy.lha";"3DDemo";"3DDemo";"0";"whdload";"524288";"1820813";"3D";"OCS/ECS";"";"";"Demo";"";"";"3d demo anarchy"
