"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"1001StolenIdeas\1001StolenIdeas.Slave";"NoError, EmulTrap, ReqAGA, ClearMem";"1001 Stolen Ideas ? 1991 Airwalk.";"1001 Stolen Ideas";"1991 Airwalk";"0";"0\1001StolenIdeas_v1.0_Airwalk.lha";"1001StolenIdeas";"1001StolenIdeas";"0";"whdload";"524288";"291973";"1001StolenIdeas";"AGA";"";"";"";"";""
"100MostRememberedC64Tunes\100MostRememberedC64Tunes.slave";"NoError, EmulTrap, ClearMem";"The 100 Most Remembered C64 Game-Tunes";"The 100 Most Remembered C64 Game-Tunes";"1990 Per Håkan Sundell & Ron Birk";"4096";"0\100MostRememberedGamesOnThe64_v1.01_PerhåkanSundell&RonBirk.lha";"100MostRememberedC64Tunes";"100MostRememberedC64Tunes";"0";"whdload";"524288";"856645";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";""
"242\242.slave";"NoError, EmulTrap, ClearMem";"242 ? 1993 Virtual Dreams/Fairlight.";"242";"1993 Virtual Dreams/Fairlight";"524288";"0\242_v1.1_Fairlight&VirtualDreams.lha";"242";"242";"0";"whdload";"524288";"912879";"242";"OCS/ECS";"";"";"";"";""
"24HourEFix\24HourEFix.Slave";"NoError, EmulTrap, ClearMem";"24 Hour E Fix ? 1992 Quartz.";"24 Hour E Fix";"1992 Quartz";"0";"0\24HourEFix_v1.0_Quartz.lha";"24HourEFix";"24HourEFix";"0";"whdload";"524288";"792619";"24HourE";"OCS/ECS";"";"";"";"Fix";""
"2D\2D.Slave";"NoError, EmulTrap, ClearMem";"2D ? 1993 Remedy.";"2D";"1993 Remedy";"0";"0\2D_v1.0_Remedy.lha";"2D";"2D";"0";"whdload";"524288";"433416";"2D";"OCS/ECS";"";"";"";"";""
"2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"Disk, NoError, EmulTrap, ClearMem";"2 Unlimited - No Limit ? 1993 Project A";"2 Unlimited - No Limit";"1993 Project A";"786432";"0\2UnlimitedNoLimit_v1.0_ProjectA.lha";"2UnlimitedNoLimit";"2UnlimitedNoLimit";"0";"whdload";"524288";"909350";"2UnlimitedNoLimit";"OCS/ECS";"";"";"";"";""
"2Unlimited\2Unlimited.Slave";"NoError";"2 Unlimited ? 1993 Scoopex - 2 disks";"2 Unlimited";"1993 Scoopex";"0";"0\2Unlimited_v1.0_Scoopex.lha";"2Unlimited";"2Unlimited";"0";"whdload";"528384";"1815666";"2Unlimited";"OCS/ECS";"";"";"";"";""
"3DBalls\3DBalls.Slave";"NoError";"3D Balls ? 1989 Avenger";"3D Balls";"1989 Avenger";"4096";"0\3DBalls_v1.0_Avenger.lha";"3DBalls";"3DBalls";"0";"whdload";"524288";"100693";"3DBalls";"OCS/ECS";"";"";"";"";""
"3DDemo2\3DDemo2.Slave";"NoError, EmulTrap";"3D Demo II ? 1992 Anarchy - 1 disk";"3D Demo II";"1992 Anarchy";"0";"0\3DDemo2_v1.0_Anarchy.lha";"3DDemo2";"3DDemo2";"0";"whdload";"1048576";"839673";"3D";"OCS/ECS";"";"";"Demo2";"";""
"3DDemo\3DDemo.Slave";"NoError, EmulTrap";"3D Demo ? 1991 Anarchy - 2 disks";"3D Demo";"1991 Anarchy";"0";"0\3DDemo_v1.0_Anarchy.lha";"3DDemo";"3DDemo";"0";"whdload";"524288";"1820813";"3D";"OCS/ECS";"";"";"Demo";"";""
"3DNetAnalyzer\3DNetAnalyzer.Slave";"NoError, EmulTrap, ClearMem";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"3D-Net Analyzer";"1989 Doctor Mabuse Orgasm Crackings";"0";"0\3DNetAnalyzer_v1.0_DoctorMabuseOrgasmCrackings.lha";"3DNetAnalyzer";"3DNetAnalyzer";"0";"whdload";"524288";"842261";"3DNetAnalyzer";"OCS/ECS";"";"";"";"";""
"5Yards\5Yards.Slave";"NoError, EmulTrap, ClearMem";"5 Yards 1991 Vision.";"5 Yards";"1991 Vision";"0";"0\5Yards_v1.0_Vision.lha";"5Yards";"5Yards";"0";"whdload";"524288";"92702";"5Yards";"OCS/ECS";"";"";"";"";""
"8BitJungle\8BitJungle.slave";"NoError, EmulTrap";"8-Bit Jungle ? 2011 Unstable Label.";"8-Bit Jungle";"2011 Unstable Label";"0";"0\8BitJungle_v1.01_UnstableLabel.lha";"8BitJungle";"8BitJungle";"0";"whdload";"1048576";"2594214";"8BitJungle";"OCS/ECS";"";"";"";"";""
"9Fingers\9Fingers.Slave";"Disk, NoError";"9 fingers ? 1990 Spaceballs.";"9 fingers";"1990 Spaceballs";"0";"0\9Fingers_v1.2_Spaceballs.lha";"9Fingers";"9Fingers";"1024";"whdload";"1028096";"1814911";"9Fingers";"OCS/ECS";"";"";"";"";""
"A1200DemoAGA\A1200DemoAGA.slave";"Disk, NoError, Req68020, ReqAGA";"A1200 Demo ? 1993 Complex (1 disk)";"A1200 Demo";"1993 Complex";"4096";"A\A1200Demo_v1.0_Complex_AGA.lha";"A1200DemoAGA";"A1200DemoAGA";"0";"whdload";"2097152";"912458";"A1200";"AGA";"";"";"Demo";"";""
"AbsenceOfLight\AbsenceOfLight.Slave";"NoError, EmulTrap, ClearMem";"Absence of Light ? 1991 Animators.";"Absence of Light";"1991 Animators";"0";"A\AbsenceOfLight_v1.0_Animators.lha";"AbsenceOfLight";"AbsenceOfLight";"0";"whdload";"524288";"456895";"AbsenceOfLight";"OCS/ECS";"";"";"";"";""
"AbsoluteInebriation\AbsoluteInebriation.Slave";"NoError, EmulTrap";"Absolute Inebriation ? 1992 Virtual Dreams.";"Absolute Inebriation";"1992 Fairlight/Virtual Dreams";"524288";"A\AbsoluteInebriation_v1.1_Fairlight&VirtualDreams.lha";"AbsoluteInebriation";"AbsoluteInebriation";"0";"whdload";"524288";"1817858";"AbsoluteInebriation";"OCS/ECS";"";"";"";"";""
"AbsoluteSwedish\AbsoluteSwedish.slave";"NoError, EmulTrap, ClearMem";"Absolute Swedish ? 1993 Phew! Productions.";"Absolute Swedish";"1993 Phew! Productions";"0";"A\AbsoluteSwedish_v1.01_PhewProductions.lha";"AbsoluteSwedish";"AbsoluteSwedish";"0";"whdload";"524288";"925128";"AbsoluteSwedish";"OCS/ECS";"";"";"";"";""
"AcidInTheHouse\AcidInTheHouse.Slave";"NoError, ClearMem";"Acid in the House ? 1989 North Star & The Silents.";"Acid in the House";"1989 North Star & The Silents";"0";"A\AcidInTheHouse_v1.0_NorthStar&Silents.lha";"AcidInTheHouse";"AcidInTheHouse";"0";"whdload";"524288";"921836";"AcidInTheHouse";"OCS/ECS";"";"";"";"";""
"Acme1991Slideshow\Acme1991Slideshow.Slave";"NoError, EmulTrap, ClearMem";"Acme 1991 Slideshow ? 1991 Acme.";"Acme 1991 Slideshow";"1991 Acme";"0";"A\Acme1991Slideshow_v1.0_Acme.lha";"Acme1991Slideshow";"Acme1991Slideshow";"0";"whdload";"524288";"922192";"Acme1991Slideshow";"OCS/ECS";"";"";"";"";""
"AFewTunes\AFewTunes.Slave";"NoError, EmulTrap, ClearMem";"A few Tunes by Dr. Awesome & Fleshbrain ? 1990 Crusaders.";"A few Tunes by Dr. Awesome & Fleshbrain";"1990 Crusaders";"0";"A\AFewTunes_v1.0_Crusaders.lha";"AFewTunes";"AFewTunes";"0";"whdload";"524288";"920410";"AFewTunes";"OCS/ECS";"";"";"";"";""
"Alchemy\Alchemy.Slave";"NoError, EmulTrap, ClearMem";"Alchemy 1993 Rage.";"Alchemy";"1993 Rage";"524288";"A\Alchemy_v1.0_Rage.lha";"Alchemy";"Alchemy";"0";"whdload";"524288";"1822528";"Alchemy";"OCS/ECS";"";"";"";"";""
