"Priority";"Name";"File";"Keywords"
"2";"3001OConnorsFight";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\0_9\3001OConnorsFight\igame.iff";"3001 oconnors fight"
"2";"4D Sports Driving";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\0_9\4D Sports Driving\igame.iff";"4d sports driving"
"2";"7Colours";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\0_9\7Colours\igame.iff";"7 colours"
"2";"AceballAGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AceballAGA\igame.iff";"aceball aga"
"2";"ACSYSDemoAGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\ACSYSDemoAGA\igame.iff";"acsysdemo aga"
"2";"AGE";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AGE\igame.iff";"age"
"2";"AlienBash2";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AlienBash2\igame.iff";"alien bash 2"
"2";"AlienBreed2";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AlienBreed2\igame.iff";"alien breed 2"
"2";"AlienBreed2AGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AlienBreed2AGA\igame.iff";"alien breed 2 aga"
"2";"AlienBreed3D2AGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AlienBreed3D2AGA\igame.iff";"alien breed 3d 2 aga"
"2";"AlienBreed3DAGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AlienBreed3DAGA\igame.iff";"alien breed 3d aga"
"2";"AlienBreedTA11AGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AlienBreedTA11AGA\igame.iff";"alien breed ta 11 aga"
"2";"AlienWorld";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AlienWorld\igame.iff";"alien world"
"2";"Apidya";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\Apidya\igame.iff";"apidya"
"2";"ApidyaAudios";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\ApidyaAudios\igame.iff";"apidya audios"
"2";"ApidyaKaiko";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\ApidyaKaiko\igame.iff";"apidya kaiko"
"2";"AquanautF1Licenceware";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AquanautF1Licenceware\igame.iff";"aquanaut f 1 licenceware"
"2";"Arkanoid";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\Arkanoid\igame.iff";"arkanoid"
"2";"ArmourGeddon2";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\ArmourGeddon2\igame.iff";"armour geddon 2"
"2";"AztecChallenge";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\A\AztecChallenge\igame.iff";"aztec challenge"
"2";"B17FlyingFortress";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\B17FlyingFortress\igame.iff";"b 17 flying fortress"
"2";"BabylonianTwinsDemo";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BabylonianTwinsDemo\igame.iff";"babylonian twins demo"
"2";"BadCompany";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BadCompany\igame.iff";"bad company"
"2";"Barbarian2Psygnosis";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Barbarian2Psygnosis\igame.iff";"barbarian 2 psygnosis"
"2";"BatmanTheMovie";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BatmanTheMovie\igame.iff";"batman the movie"
"2";"BattleIsle";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BattleIsle\igame.iff";"battle isle"
"2";"Battlestorm";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Battlestorm\igame.iff";"battlestorm"
"2";"BestOfTheBest";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BestOfTheBest\igame.iff";"best of the"
"2";"BillsTomatoGame";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BillsTomatoGame\igame.iff";"bills tomato game"
"2";"BiplaneDuel";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BiplaneDuel\igame.iff";"biplane duel"
"2";"BlackCrypt";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BlackCrypt\igame.iff";"black crypt"
"2";"BlackViperAGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BlackViperAGA\igame.iff";"black viper aga"
"2";"Blob";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Blob\igame.iff";"blob"
"2";"BomberBob";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BomberBob\igame.iff";"bomber bob"
"2";"BombFusion";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BombFusion\igame.iff";"bomb fusion"
"2";"BrainMan";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BrainMan\igame.iff";"brain man"
"2";"Brataccas";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Brataccas\igame.iff";"brataccas"
"2";"BridesOfDracula";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\BridesOfDracula\igame.iff";"brides of dracula"
"2";"Bubble&SqueakAGA";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Bubble&SqueakAGA\igame.iff";"bubble squeak aga"
"2";"Bubble+";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\B\Bubble+\igame.iff";"bubble"
"2";"Caesar";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Caesar\igame.iff";"caesar"
"2";"Calephar";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\Calephar\igame.iff";"calephar"
"2";"CalepharFiles";"C:\Work\First Realize\amiga-whdload-game-scripts\screenshots\iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\C\CalepharFiles\igame.iff";"calephar files"
