"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"AddamsFamily\AddamsFamily.slave";"NoError, EmulTrap";"Addams Family (c) 1992 Ocean - 1 disk.";"Addams Family";"1992 Ocean";"0";"A\AddamsFamily_v1.4_BETA_0419.lha";"AddamsFamily";"AddamsFamily";"0";"whdload";"524288";"933558";"AddamsFamily";"OCS/ECS";"";"";"";"";""
"AnotherWorldLostLevel\AnotherWorldLostLevel.Slave";"NoError, EmulPriv, Examine";"";"Another World";"1991 Delphine Software";"786432";"A\AnotherWorldLostLevel_v1.1_Hack_by_Earok.lha";"AnotherWorldLostLevel";"AnotherWorldLostLevel";"0";"whdload";"524288";"753971";"AnotherWorldLostLevel";"OCS/ECS";"";"";"";"";""
"ApidyaSpecialEdition\ApidyaSE.slave";"EmulTrap, ClearMem";"";"Apidya";"1992 Play Byte";"0";"A\ApidyaSpecialEdition_v1.1_Hack_by_Earok.lha";"ApidyaSpecialEdition";"ApidyaSpecialEdition";"0";"whdload";"524288";"2161235";"ApidyaSpecialEdition";"OCS/ECS";"";"";"";"";""
"Area88\Area88.slave";"NoError";"";"UN Squadron";"1990 US Gold";"0";"A\Area88_v1.2_Hack_by_Earok.lha";"Area88";"Area88";"0";"whdload";"524288";"776834";"Area88";"OCS/ECS";"";"";"";"";""
"Armalyte\Armalyte.Slave";"NoError, EmulTrap, ClearMem";"Armalyte ? 1991 Thalamus.";"Armalyte";"1991 Thalamus";"0";"A\Armalyte_v1.3_BETA.lha";"Armalyte";"Armalyte";"0";"whdload";"524288";"1349840";"Armalyte";"OCS/ECS";"";"";"";"";""
"AtlantydaPl\AtlantydaPl.slave";"NoError";"";"Atlantyda";"1994 Twin Spark Soft";"0";"A\Atlantyda_v1.1_Pl.lha";"AtlantydaPl";"AtlantydaPl";"0";"whdload";"524288";"903138";"Atlantyda";"OCS/ECS";"Pl";"";"";"";""
"Boppin\Boppin.Slave";"NoError, EmulPriv";"";" Boppin";"July 2018 ";"786432";"B\Boppin_v1.0.lha";"Boppin";"Boppin";"0";"whdload";"524288";"920763";"Boppin";"OCS/ECS";"";"";"";"";""
"BuggyBoy\BuggyBoy.slave";"NoError, EmulTrap";"Buggy Boy (c) 1988 Elite - 1 disk.";"Buggy Boy";"1988 Elite";"0";"B\BuggyBoy_v1.3_BETA_0465.lha";"BuggyBoy";"BuggyBoy";"0";"whdload";"524288";"426063";"BuggyBoy";"OCS/ECS";"";"";"";"";""
"Cobra\Cobra.slave";"NoError, NoKbd";"";"Cobra";"1991 Bytec";"0";"C\Cobra_v1.0.lha";"Cobra";"Cobra";"0";"whdload";"524288";"1055546";"Cobra";"OCS/ECS";"";"";"";"";""
"DeepCoreCD32\DeepCoreCD32.Slave";"NoError, EmulTrap, Req68020, EmulPriv, Examine";"Deep Core ? 1993 ICE.";"Deep Core CD³²";"1993 ICE";"524288";"D\DeepCore_v1.0_CD32_BETA.lha";"DeepCoreCD32";"DeepCoreCD32";"0";"whdload";"1912832";"4793308";"DeepCore";"CD32";"";"";"";"";""
"DeepCore\DeepCore.Slave";"Disk, NoError, EmulTrap, ClearMem";"Deep Core ? 1993 ICE.";"Deep Core";"1993 ICE";"0";"D\DeepCore_v1.2_BETA.lha";"DeepCore";"DeepCore";"0";"whdload";"1044480";"2451922";"DeepCore";"OCS/ECS";"";"";"";"";""
"EyeOfTheBeholderAGA\EyeOfTheBeholderAGA.Slave";"NoError, Req68020, EmulPriv, Examine";"";"Eye Of The Beholder AGA";"Westwood Studio.";"1572864";"E\EyeOfTheBeholder_v0.2_AGA.lha";"EyeOfTheBeholderAGA";"EyeOfTheBeholderAGA";"0";"whdload";"2097152";"3714566";"EyeOfTheBeholder";"AGA";"";"";"";"";""
"EyeOfTheBeholder2AGA\EyeOfTheBeholder2AGA.Slave";"NoError, Req68020, EmulPriv, Examine";"";"Eye Of The Beholder 2 AGA";"Westwood Studio.";"1572864";"E\EyeOfTheBeholder2_v0.1_AGA.lha";"EyeOfTheBeholder2AGA";"EyeOfTheBeholder2AGA";"0";"whdload";"2097152";"3683079";"EyeOfTheBeholder2";"AGA";"";"";"";"";""
"FirstSamuraiA1200Version\FirstSamuraiA1200Version.Slave";"Disk, NoError, EmulTrap";"First Samurai ? 1991 Vivid Image.";"The First Samurai";"1991 Vivid Image";"0";"F\FirstSamurai_v1.6_A1200Version_NONAGA.lha";"FirstSamuraiA1200Version";"FirstSamuraiA1200Version";"0";"whdload";"1048576";"1703963";"FirstSamuraiA1200Version";"OCS/ECS";"";"";"";"";""
"FlyingSharkSE\FlyingSharkSE.Slave";"NoError, EmulTrap, EmulPriv";"Flying Shark ? 1988 Taito, FireBird.";"Flying Shark";"1988 Taito , FireBird";"262144";"F\FlyingSharkSpecialEdition_v1.0_Hack_by_Earok.lha";"FlyingSharkSE";"FlyingSharkSE";"0";"whdload";"589824";"922957";"FlyingSharkSE";"OCS/ECS";"";"";"";"";""
"FormulaOne3D\FormulaOne3D.slave";"NoError";"";"";"";"";"F\FormulaOne3D_v1.0.lha";"FormulaOne3D";"FormulaOne3D";"0";"whdload";"1048576";"906274";"FormulaOne3D";"OCS/ECS";"";"";"";"";""
"Giana2\Giana2.slave";"Disk, NoError, EmulTrap, NoKbd";"Hard'n'Heavy (c) 1989 Reline.";"Hard";"1989 Reline";"0";"G\Giana2_v1.02_HardNHeavyHack.lha";"Giana2";"Giana2";"0";"whdload";"524288";"704627";"Giana2";"OCS/ECS";"";"";"";"";""
"GianaSistersSE\GianaSistersSE.slave";"NoError, EmulTrap, ClearMem";"Great Giana Sisters (c) 1988 Timewarp/Rainbow Arts.";"The Great Giana Sisters";"1988 Timewarp/Rainbow Arts";"4096";"G\GianaSistersSE_v1.2.lha";"GianaSistersSE";"GianaSistersSE";"0";"whdload";"524288";"3615411";"GianaSistersSE";"OCS/ECS";"";"";"";"";""
"HeroQuestDeFix\HeroQuestDeFix.slave";"Disk, NoError, EmulTrap";"";"Hero Quest & Return of the Witchlord";"1991 Gremlin Graphics Ltd.";"0";"H\HeroQuest_v1.2_German_fix_by_Viddi.lha";"HeroQuestDeFix";"HeroQuestDeFix";"0";"whdload";"524288";"1865374";"HeroQuest";"OCS/ECS";"De";"";"";"Fix";""
"HugoEs\HugoEs.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Hugo - P? Nye Eventyr (5 disks) ? 1992 SliverRock.";"Hugo - Spanish Hack (by K-teto)";"1992 SilverRock";"262144";"H\Hugo_v1.0_Es_Spanish_hack_by_K-teto.lha";"HugoEs";"HugoEs";"0";"whdload";"1048576";"3336661";"Hugo";"OCS/ECS";"Es";"";"";"";""
"Hybris\Hybris.slave";"NoError, ClearMem";"Hybris (c) 1988 Discovery International.";"Hybris";"1988 Discovery Software";"4096";"H\Hybris_v2.4b3_BETA_1457.lha";"Hybris";"Hybris";"0";"whdload";"524288";"736288";"Hybris";"OCS/ECS";"";"";"";"";""
"JamesPond1MB\JamesPond1MB.slave";"NoError, EmulTrap, ClearMem";"";"James Pond: Underwater Agent";"1990 Millenium";"524288";"J\JamesPond_v0.1_BETA_1MB.lha";"JamesPond1MB";"JamesPond1MB";"0";"whdload";"524288";"834300";"JamesPond";"OCS/ECS";"";"1MB";"";"";""
"Legion\Legion.Slave";"NoError, EmulPriv, ClearMem, Examine";"Legion ? 1996 Gobi";"Legion";"1996 Gobi";"1310720";"L\Legion_v1.1a_BETA.lha";"Legion";"Legion";"0";"whdload";"983040";"1925759";"Legion";"OCS/ECS";"";"";"";"";""
