"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"1000ccTurbo\1000ccTurbo.Slave";"NoError, EmulTrap, NoKbd";"1000cc Turbo (c) 1992 Energize - 1 disk.";"1000cc Turbo";"1992 Energize";"4096";"0\1000ccTurbo_v1.0.lha";"1000ccTurbo";"1000ccTurbo";"0";"whdload";"524288";"450496";"1000ccTurbo";"OCS/ECS";"";"";"";"";""
"1000Miglia\1000Miglia.Slave";"NoError, EmulTrap";"1000 Miglia ? 1992 Simulmondo.";"1000 Miglia";"1992 Simulmondo";"0";"0\1000Miglia_v1.2.lha";"1000Miglia";"1000Miglia";"0";"whdload";"524288";"915637";"1000Miglia";"OCS/ECS";"";"";"";"";""
"1869AGA\1869AGA.Slave";"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 AGA";"1993 Max Design";"1572864";"0\1869_v1.0_AGA.lha";"1869AGA";"1869AGA";"0";"whdload";"1048576";"2766562";"1869";"AGA";"";"";"";"";""
"1869AGADe\1869AGADe.Slave";"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 AGA";"1993 Max Design";"1572864";"0\1869_v1.0_De_AGA_1653.lha";"1869AGADe";"1869AGADe";"0";"whdload";"1048576";"2768617";"1869";"AGA";"De";"";"";"";""
"1869\1869.Slave";"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 ECS";"1993 Max Design";"786432";"0\1869_v1.2.lha";"1869";"1869";"0";"whdload";"524288";"1992820";"1869";"OCS/ECS";"";"";"";"";""
"1869Pl\1869Pl.Slave";"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 ECS";"1993 Max Design";"786432";"0\1869_v1.2_Pl.lha";"1869Pl";"1869Pl";"0";"whdload";"524288";"2019367";"1869";"OCS/ECS";"Pl";"";"";"";""
"1869De\1869De.Slave";"NoError, EmulPriv, ClearMem, Examine";"1869 ? 1993 Max Design";"1869 ECS";"1993 Max Design";"786432";"0\1869_v1.2_De_0417.lha";"1869De";"1869De";"0";"whdload";"524288";"1993358";"1869";"OCS/ECS";"De";"";"";"";""
"1943\1943.slave";"NoError, NoDivZero";"1943 - The Battle Of Midway ? 1987 Go!/Probe.";"1943: The Battle Of Midway";"1987 Probe ";"4096";"0\1943_v1.3.lha";"1943";"1943";"0";"whdload";"524288";"525205";"1943";"OCS/ECS";"";"";"";"";""
"1stDivisionManager\1stDivisionManager.Slave";"NoError, EmulPriv, ClearMem, Examine";"1st Division Manager ? 1992 Codemasters";"1st Division Manager";"1992 Codemasters";"360448";"0\1stDivisionManager_v1.0_1800.lha";"1stDivisionManager";"1stDivisionManager";"0";"whdload";"524288";"661437";"1stDivisionManager";"OCS/ECS";"";"";"";"";""
"20000LeaguesUnderTheSea\20000LeaguesUnderTheSea.Slave";"NoError, EmulPriv, Examine";"20000 leagues under the sea ? 1989 Infogrames.";"20000 leagues under the sea";"1989 Infogrames.";"262144";"0\20000LeaguesUnderTheSea_v0.4.lha";"20000LeaguesUnderTheSea";"20000LeaguesUnderTheSea";"0";"whdload";"524288";"793281";"20000LeaguesUnderTheSea";"OCS/ECS";"";"";"";"";""
"3001OConnorsFight\3001OConnorsFight.Slave";"NoError, EmulPriv, Examine";"game called:";"3001 O";"19?? ???????";"1310720";"0\3001OConnorsFight_v1.0.lha";"3001OConnorsFight";"3001OConnorsFight";"0";"whdload";"1048576";"245622";"3001OConnorsFight";"OCS/ECS";"";"";"";"";""
"3DConstructionKit\3DConstructionKit.Slave";"NoError, EmulTrap, EmulPriv, ClearMem, Examine, EmulDivZero";"3D Construction Kit ? 1991 Domark";"3D Construction Kit";"1991 Domark";"1310720";"0\3DConstructionKit_v1.0_1765.lha";"3DConstructionKit";"3DConstructionKit";"0";"whdload";"524288";"542846";"3DConstructionKit";"OCS/ECS";"";"";"";"";""
"3DGalax\3DGalax.Slave";"NoError, EmulTrap";"3D Galax (c) 1989 Gremlin - 1 disk.";"3D Galax";"1989 Gremlin";"4096";"0\3DGalax_v1.0_1085.lha";"3DGalax";"3DGalax";"0";"whdload";"524288";"460401";"3DGalax";"OCS/ECS";"";"";"";"";""
"3DPool\3DPool.Slave";"NoError";"3D Pool (c) 1989 Aardvark Software/Firebird.";"3D Pool";"1989 Aardvark Software/Firebird";"0";"0\3DPool_v1.2_0621.lha";"3DPool";"3DPool";"0";"whdload";"524288";"481992";"3DPool";"OCS/ECS";"";"";"";"";""
"3DPool\3DPictures.Slave";"NoError, ClearMem";"3D Pool (c) 1989 Aardvark Software/Firebird.";"3D Pool (Pictures)";"1989 Aardvark Software/Firebird";"4096";"0\3DPool_v1.2_0621.lha";"3DPool";"3DPool";"0";"whdload";"528384";"481992";"3DPool";"OCS/ECS";"";"";"";"";""
"3DWorldSoccer\3DWorldSoccer.Slave";"NoError, EmulTrap, EmulPriv, Examine";"3D World Soccer ? 1992 Simulmondo.";"3D World Soccer";"1992 Simulmondo";"786432";"0\3DWorldSoccer_v1.0.lha";"3DWorldSoccer";"3DWorldSoccer";"0";"whdload";"524288";"1565979";"3DWorldSoccer";"OCS/ECS";"";"";"";"";""
"3DWorldTennis\3DWorldTennis.Slave";"NoError, EmulPriv, Examine";"3D World Tennis ? 1992 Simulmondo.";"3D World Tennis";"1992 Simulmondo";"786432";"0\3DWorldTennis_v1.0_2224.lha";"3DWorldTennis";"3DWorldTennis";"0";"whdload";"524288";"730208";"3DWorldTennis";"OCS/ECS";"";"";"";"";""
"4DSportsBoxing\4DSportsBoxing.Slave";"NoError, EmulPriv, Examine";"4D Sports Boxing ? 1991 Mindscape";"4D Sports Boxing";"1991 Distinctive/Mindscape";"786432";"0\4DSportsBoxing_v1.2_0421.lha";"4DSportsBoxing";"4DSportsBoxing";"0";"whdload";"524288";"1126562";"4DSportsBoxing";"OCS/ECS";"";"";"";"";""
"4DSportsDriving\4DSportsDriving.Slave";"NoError, EmulPriv, Examine";"4D Sports Driving ? 1992 Mindscape";"4D Sports Driving";"1992 Distinctive/Mindscape";"786432";"0\4DSportsDriving_v1.0_1461.lha";"4DSportsDriving";"4DSportsDriving";"0";"whdload";"524288";"1258913";"4DSportsDriving";"OCS/ECS";"";"";"";"";""
"4DSportsDriving&MstrTrcks\4DSportsDriving&MstrTrcks.Slave";"NoError, EmulPriv, Examine";"4D Sports Driving ? 1992 Mindscape";"4D Sports Driving";"1992 Distinctive/Mindscape";"786432";"0\4DSportsDriving&MasterTracks_v1.0_1461.lha";"4DSportsDriving&MstrTrcks";"4DSportsDriving&MstrTrcks";"0";"whdload";"524288";"1280583";"4DSportsDriving";"OCS/ECS";"";"";"";"";"MstrTrcks"
"4th&Inches\4th&Inches.slave";"NoError, EmulPriv, Examine";"4th & Inches ? 1988 Accolade.";"4th & Inches";"1988 Accolade";"262144";"0\4th&Inches_v1.1_1230.lha";"4th&Inches";"4th&Inches";"0";"whdload";"524288";"251010";"4th&Inches";"OCS/ECS";"";"";"";"";""
"4x4OffRoadRacingNTSC\4x4OffRoadRacingNTSC.Slave";"EmulPriv, ClearMem, Examine";"";"4x4 Off Road Racing";"1989 Epyx / U.S. Gold";"262144";"0\4x4OffRoadRacing_v1.0_NTSC_1480.lha";"4x4OffRoadRacingNTSC";"4x4OffRoadRacingNTSC";"0";"whdload";"524288";"726335";"4x4OffRoadRacing";"OCS/ECS";"";"";"";"NTSC";""
"5thGear\5thGear.Slave";"NoError, EmulTrap";"5th Gear (c) 1988 Hewson - 1 disk.";"5th Gear";"1988 Hewson";"0";"0\5thGear_v1.0_1001.lha";"5thGear";"5thGear";"0";"whdload";"524288";"925431";"5thGear";"OCS/ECS";"";"";"";"";""
"688AttackSub\688AttackSub.Slave";"NoError, EmulPriv, Examine";"688 Attack Sub ? 1990 Electronic Arts";"688 Attack Sub";"1990 Electronic Arts";"393216";"0\688AttackSub_v1.2_0093.lha";"688AttackSub";"688AttackSub";"0";"whdload";"524288";"819110";"688AttackSub";"OCS/ECS";"";"";"";"";""
"7Colors\7Colors.Slave";"NoError, ClearMem";"7 Colors ? 1991 Infogrames";"7 Colors";"1991 Infogrames";"4096";"0\7Colors_v1.1_0956.lha";"7Colors";"7Colors";"0";"whdload";"458752";"835860";"7Colors";"OCS/ECS";"";"";"";"";""
"9Lives\9Lives.Slave";"NoError, EmulTrap, ClearMem";"9 Lives (c) 1990 ARC - 1 disk.";"9 Lives";"1990 ARC";"0";"0\9Lives_v1.0.lha";"9Lives";"9Lives";"0";"whdload";"524288";"577648";"9Lives";"OCS/ECS";"";"";"";"";""
"A10TankKiller3Disk\A10TankKiller3Disk.Slave";"NoError, EmulPriv, Examine";"A10 Tank Killer ? 1989-1991 Dynamix.";"A-10 Tank Killer";"1989-1991 Dynamix";"786432";"A\A10TankKiller_v2.0_3Disk.lha";"A10TankKiller3Disk";"A10TankKiller3Disk";"0";"whdload";"524288";"2341098";"A10TankKiller";"OCS/ECS";"";"";"";"3Disk";""
"A10TankKiller2Disk\A10TankKiller2Disk.Slave";"NoError, EmulPriv, Examine";"A10 Tank Killer ? 1989-1991 Dynamix.";"A-10 Tank Killer";"1989-1991 Dynamix";"786432";"A\A10TankKiller_v2.0_2Disk_1396.lha";"A10TankKiller2Disk";"A10TankKiller2Disk";"0";"whdload";"524288";"1341345";"A10TankKiller";"OCS/ECS";"";"";"";"2Disk";""
"Aaargh!\Aaargh!.Slave";"NoError, EmulTrap, NoDivZero, ClearMem";"Aaargh! ? 1987 Arcadia Systems.";"Aaargh!";"1987 Arcadia systems";"524288";"A\Aaargh!_v1.0a_0511.lha";"Aaargh!";"Aaargh!";"0";"whdload";"524288";"844596";"Aaargh!";"OCS/ECS";"";"";"";"";""
"Aaargh!Arcadia\Aaargh!Arcadia.Slave";"NoError, EmulTrap";"Arcadia Systems version of Aaargh! game";"Aaargh! (Arcadia)";"1987 Arcadia Systems";"1589248";"A\Aaargh!_v0.1_Arcadia.lha";"Aaargh!Arcadia";"Aaargh!Arcadia";"0";"whdload";"524288";"1588203";"Aaargh!Arcadia";"OCS/ECS";"";"";"";"";""
"AbandonedPlaces\AbandonedPlaces.slave";"Disk, NoError, EmulTrap";"Abandoned Places ? 1992 ArtGame.";"";"";"";"A\AbandonedPlaces_v1.3_1000.lha";"AbandonedPlaces";"AbandonedPlaces";"0";"whdload";"1040384";"4519401";"AbandonedPlaces";"OCS/ECS";"";"";"";"";""
"AbandonedPlacesEs\AbandonedPlacesEs.slave";"Disk, NoError, EmulTrap";"Abandoned Places ? 1992 ArtGame.";"";"";"";"A\AbandonedPlaces_v1.3_Es.lha";"AbandonedPlacesEs";"AbandonedPlacesEs";"0";"whdload";"1040384";"4519995";"AbandonedPlaces";"OCS/ECS";"Es";"";"";"";""
"AbandonedPlacesDe\AbandonedPlacesDe.slave";"Disk, NoError, EmulTrap";"Abandoned Places ? 1992 ArtGame.";"";"";"";"A\AbandonedPlaces_v1.3_De_0999.lha";"AbandonedPlacesDe";"AbandonedPlacesDe";"0";"whdload";"1040384";"4519403";"AbandonedPlaces";"OCS/ECS";"De";"";"";"";""
"AbandonedPlaces2\AbandonedPlaces2.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Abandoned Places 2 ? 1993 ICE Ltd.";"Abandoned Places 2";"1993 ICE Ltd";"786432";"A\AbandonedPlaces2_v2.0.lha";"AbandonedPlaces2";"AbandonedPlaces2";"0";"whdload";"1044480";"3339108";"AbandonedPlaces2";"OCS/ECS";"";"";"";"";""
"ABCMondayNightFBNTSC\ABCMondayNightFBNTSC.slave";"NoError, EmulPriv, Examine";"ABC Monday Night Football ? 1991 Data East.";"ABC Monday Night Football";"1991 Data East";"786432";"A\ABCMondayNightFootball_v1.01_NTSC_1495.lha";"ABCMondayNightFBNTSC";"ABCMondayNightFBNTSC";"0";"whdload";"524288";"2456420";"ABCMondayNightFB";"OCS/ECS";"";"";"";"NTSC";""
"Abracadabra\Abracadabra.Slave";"NoError, EmulPriv, Examine";"game called:";"Abra cadabra & Baba Yaga";"1989 Coktel Vision";"786432";"A\Abracadabra_v1.1_2451.lha";"Abracadabra";"Abracadabra";"0";"whdload";"524288";"1148856";"Abracadabra";"OCS/ECS";"";"";"";"";""
"Academy\Academy.slave";"NoError, EmulTrap";"Academy by CRL Group/ComTek (c) 1988.";"Academy";"1988 CRL";"0";"A\Academy_v1.1.lha";"Academy";"Academy";"0";"whdload";"524288";"357510";"Academy";"OCS/ECS";"";"";"";"";""
"AceBallAGAPl\AceBallAGAPl.Slave";"NoError, ClearMem";"Ace Ball ? 1995 Tim Soft";"Ace Ball (AGA)";"1995 Tim Soft";"151552";"A\AceBall_v1.0_Pl_AGA.lha";"AceBallAGAPl";"AceBallAGAPl";"0";"whdload";"925696";"1144053";"AceBall";"AGA";"Pl";"";"";"";""
"AceBallPl\AceBallPl.Slave";"NoError, ClearMem";"Ace Ball ? 1995 Tim Soft";"Ace Ball (ECS)";"1995 Tim Soft";"151552";"A\AceBall_v1.0_Pl.lha";"AceBallPl";"AceBallPl";"0";"whdload";"630784";"568394";"AceBall";"OCS/ECS";"Pl";"";"";"";""
"ACSYSDemoAGA\ACSYSDemoAGA.slave";"Disk, NoError, EmulTrap, ReqAGA, ClearMem";"A.C.SYS ? 1998 Joerg Belger/Unique.";"ACSYS";"2000 Unique";"1048576";"A\ACSYSDemo_v1.11_AGA.lha";"ACSYSDemoAGA";"ACSYSDemoAGA";"0";"whdload";"2097152";"1969139";"ACSYS";"AGA";"";"";"Demo";"";""
"ActionFighter\ActionFighter.slave";"NoError, EmulTrap, NoDivZero";"Action Fighter ? 1989 Sega/Firebird/Kixx.";"Action Fighter";"1989 Sega/Firebird/Kixx";"0";"A\ActionFighter_v1.3.1_1243.lha";"ActionFighter";"ActionFighter";"0";"whdload";"524288";"363198";"ActionFighter";"OCS/ECS";"";"";"";"";""
"AddamsFamily\AddamsFamily.Slave";"NoError, EmulTrap";"Addams Family (c) 1992 Ocean - 1 disk.";"Addams Family";"1992 Ocean";"524288";"A\AddamsFamily_v1.3_0419.lha";"AddamsFamily";"AddamsFamily";"0";"whdload";"524288";"933410";"AddamsFamily";"OCS/ECS";"";"";"";"";""
"Adrenalynn\Adrenalynn.Slave";"NoError, EmulTrap, NoDivZero, NoKbd, ClearMem";"Adrenalynn ? 1991 Exponentia.";"Adrenalynn";"1991 Exponentia";"0";"A\Adrenalynn_v1.1a.lha";"Adrenalynn";"Adrenalynn";"0";"whdload";"524288";"918668";"Adrenalynn";"OCS/ECS";"";"";"";"";""
"AdvancedDestroyerSim\AdvancedDestroyerSim.Slave";"NoError, EmulPriv, ClearMem, Examine";"Advanced Destroyer Simulator ? 1991 Futura.";"Advanced Destroyer Simulator";"1991 Futura";"786432";"A\AdvancedDestroyerSimulator_v1.0_2151.lha";"AdvancedDestroyerSim";"AdvancedDestroyerSim";"0";"whdload";"1048576";"563888";"AdvancedDestroyerSim";"OCS/ECS";"";"";"";"";""
"AdvancedSkiSimulator\AdvancedSkiSimulator.slave";"NoError, EmulTrap";"Advanced Ski Simulator ? 199? Code Masters.";"";"";"";"A\AdvancedSkiSimulator_v1.1_0094.lha";"AdvancedSkiSimulator";"AdvancedSkiSimulator";"0";"whdload";"524288";"819658";"AdvancedSkiSimulator";"OCS/ECS";"";"";"";"";""
"AdvantageTennis\AdvantageTennis.slave";"NoError, Req68020";"";"Advantage Tennis";"1991 Infogrames";"786432";"A\AdvantageTennis_v1.0.lha";"AdvantageTennis";"AdvantageTennis";"0";"whdload";"524288";"815247";"AdvantageTennis";"OCS/ECS";"";"";"";"";""
"AdvConstructionSetNTSC\AdvConstructionSetNTSC.slave";"NoError, EmulPriv, Examine";"Adventure Construction Set ? 1986 Electronic Arts";"Adventure Construction Set";"1986 Electronic Arts";"262144";"A\AdventureConstructionSet_v1.1_NTSC_0904.lha";"AdvConstructionSetNTSC";"AdvConstructionSetNTSC";"0";"whdload";"786432";"911942";"AdvConstructionSet";"OCS/ECS";"";"";"";"NTSC";""
"AdventuresOfGenlockHolmes\AdventuresOfGenlockHolmes.Slave";"NoError, EmulPriv, Examine";"The Adventures of Genlock Holmes ? 1990 MicroEd, Inc.";"The Adventures of Genlock Holmes";"1990 MicroEd, Inc.";"262144";"A\AdventuresOfGenlockHolmes_v1.0.lha";"AdventuresOfGenlockHolmes";"AdventuresOfGenlockHolmes";"0";"whdload";"524288";"503629";"AdventuresOfGenlockHolmes";"OCS/ECS";"";"";"";"";""
"AdventuresOfQuik&Silva\AdventuresOfQuik&Silva.Slave";"NoError";"Quik & Silva (c) 1991 New Bits on the Ram - 1 disk.";"The Adventures of Quik & Silva";"1991 New Bits on the Ram";"0";"A\AdventuresOfQuik&Silva_v1.1.lha";"AdventuresOfQuik&Silva";"AdventuresOfQuik&Silva";"0";"whdload";"524288";"579919";"AdventuresOfQuik&Silva";"OCS/ECS";"";"";"";"";""
"AdventuresOfRobinHood\AdventuresOfRobinHood.slave";"NoError, EmulTrap";"Adventures of Robin Hood by Millennium (c) 1991 - 1 disk.";"Adventures of Robin Hood";"1991 Millenium";"0";"A\AdventuresOfRobinHood_v1.1.lha";"AdventuresOfRobinHood";"AdventuresOfRobinHood";"0";"whdload";"524288";"965092";"AdventuresOfRobinHood";"OCS/ECS";"";"";"";"";""
"AdventuresOfWillyBeamish\AdventuresOfWillyBeamish.slave";"NoError, EmulPriv, Examine";"The Adventures Of Willy Beamish ? 1992 Dynamix";"The Adventures of Willy Beamish";"1992 Dynamix";"1835008";"A\AdventuresOfWillyBeamish_v1.2_1814.lha";"AdventuresOfWillyBeamish";"AdventuresOfWillyBeamish";"0";"whdload";"524288";"9878788";"AdventuresOfWillyBeamish";"OCS/ECS";"";"";"";"";""
"AfricanRaiders01\AfricanRaiders01.slave";"NoError, EmulPriv, Examine";"African Raiders-01 ? 1989 Tomahawk.";"African Raiders-01";"1989 Tomahawk";"786432";"A\AfricanRaiders01_v1.01_1169.lha";"AfricanRaiders01";"AfricanRaiders01";"0";"whdload";"524288";"421221";"AfricanRaiders01";"OCS/ECS";"";"";"";"";""
"AfterBurner\AfterBurner.Slave";"Disk, NoError, EmulTrap, NoDivZero";"";"After Burner";"1988 Sega Enterprises Ltd.";"0";"A\AfterBurner_v1.0_0095.lha";"AfterBurner";"AfterBurner";"0";"whdload";"524288";"1364993";"AfterBurner";"OCS/ECS";"";"";"";"";""
"AfterBurnerNTSC\AfterBurnerNTSC.slave";"NoError, EmulTrap, ClearMem";"After Burner 2 ? 1989 Sega.";"After Burner 2";"1989 Sega";"0";"A\AfterBurner_v1.4_NTSC_0947.lha";"AfterBurnerNTSC";"AfterBurnerNTSC";"0";"whdload";"524288";"910110";"AfterBurner";"OCS/ECS";"";"";"";"NTSC";""
"AfterTheWar\AfterTheWar.Slave";"NoError, EmulTrap, NoKbd";"After The War by Dinamic (c) 1989 - 1 disk.";"After The War";"1989 Dinamic";"0";"A\AfterTheWar_v1.3_1084.lha";"AfterTheWar";"AfterTheWar";"0";"whdload";"524288";"913501";"AfterTheWar";"OCS/ECS";"";"";"";"";""
"AGE\AGE.Slave";"NoError, EmulPriv, Examine";"AGE ? 1991 Coktel Vision.";"AGE ";"1991 Coktel Vision";"262144";"A\AGE_v1.2.lha";"AGE";"AGE";"0";"whdload";"524288";"1120208";"AGE";"OCS/ECS";"";"";"";"";""
"Agony\Agony.slave";"NoError, EmulTrap";"Agony ? 1992 Psygnosis.";"Agony";"1992 Psygnosis & Art And Magic";"0";"A\Agony_v2.0_0960.lha";"Agony";"Agony";"0";"whdload";"524288";"2579790";"Agony";"OCS/ECS";"";"";"";"";""
"AgonyNTSC\AgonyNTSC.slave";"NoError, EmulTrap";"Agony ? 1992 Psygnosis.";"Agony";"1992 Psygnosis & Art And Magic";"0";"A\Agony_v2.0_NTSC_2701.lha";"AgonyNTSC";"AgonyNTSC";"0";"whdload";"524288";"2579803";"Agony";"OCS/ECS";"";"";"";"NTSC";""
"AgonyDemo\AgonyDemo.slave";"Disk, NoError, ClearMem";"Agony Demo ? 1991 Psygnosis (1 disk)";"Agony Demo";"1991 Psygnosis";"4096";"A\AgonyDemo_v1.1.lha";"AgonyDemo";"AgonyDemo";"0";"whdload";"524288";"923254";"Agony";"OCS/ECS";"";"";"Demo";"";""
"AigleDOrFr\IntroFr.slave";"NoError, Req68020";"Golden Eagle (C)1991 Loriciel.";"Golden Eagle Intro";"1991 Loriciel";"786432";"A\AigleDOr_v1.1_Fr_2600.lha";"AigleDOrFr";"AigleDOrFr";"0";"whdload";"524288";"2230438";"AigleDOr";"OCS/ECS";"Fr";"";"";"";""
"AigleDOrFr\AigleDOrFr.slave";"NoError, EmulTrap, NoDivZero, ClearMem";"Golden Eagle (C)1991 Loriciel.";"Golden Eagle/Aigle D or Le retour";"1991 Loriciel";"262144";"A\AigleDOr_v1.1_Fr_2600.lha";"AigleDOrFr";"AigleDOrFr";"0";"whdload";"1048576";"2230438";"AigleDOr";"OCS/ECS";"Fr";"";"";"";""
"Airball\Airball.slave";"Disk, NoError, EmulTrap";"Airball ? 1987-89 Microdeal.";"Airball";"1987-89 Microdeal";"0";"A\Airball_v1.1.lha";"Airball";"Airball";"0";"whdload";"524288";"826347";"Airball";"OCS/ECS";"";"";"";"";""
