"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"AddamsFamily\AddamsFamily.slave";"NoError, EmulTrap";"Addams Family (c) 1992 Ocean - 1 disk.";"Addams Family";"1992 Ocean";"0";"A\AddamsFamily_v1.4_BETA_0419.lha";"AddamsFamily";"AddamsFamily";"0";"whdload";"524288";"933558";"AddamsFamily";"OCS/ECS";"";"";"";"";""
"ApidyaSpecialEdition\ApidyaSE.slave";"EmulTrap, ClearMem";"";"Apidya";"1992 Play Byte";"0";"A\ApidyaSpecialEdition_v1.1_Hack_by_Earok.lha";"ApidyaSpecialEdition";"ApidyaSpecialEdition";"0";"whdload";"524288";"2161235";"ApidyaSpecialEdition";"OCS/ECS";"";"";"";"";""
"Area88\Area88.slave";"NoError";"";"UN Squadron";"1990 US Gold";"0";"A\Area88_v1.2_Hack_by_Earok.lha";"Area88";"Area88";"0";"whdload";"524288";"776834";"Area88";"OCS/ECS";"";"";"";"";""
"Armalyte\Armalyte.Slave";"NoError, EmulTrap, ClearMem";"Armalyte ? 1991 Thalamus.";"Armalyte";"1991 Thalamus";"0";"A\Armalyte_v1.3_BETA.lha";"Armalyte";"Armalyte";"0";"whdload";"524288";"1349840";"Armalyte";"OCS/ECS";"";"";"";"";""
"AtlantydaPl\AtlantydaPl.slave";"NoError";"";"Atlantyda";"1994 Twin Spark Soft";"0";"A\Atlantyda_v1.1_Pl.lha";"AtlantydaPl";"AtlantydaPl";"0";"whdload";"524288";"903138";"Atlantyda";"OCS/ECS";"Pl";"";"";"";""
"BuggyBoy\BuggyBoy.slave";"NoError, EmulTrap";"Buggy Boy (c) 1988 Elite - 1 disk.";"Buggy Boy";"1988 Elite";"0";"B\BuggyBoy_v1.3_BETA_0465.lha";"BuggyBoy";"BuggyBoy";"0";"whdload";"524288";"426063";"BuggyBoy";"OCS/ECS";"";"";"";"";""
"Cobra\Cobra.slave";"NoError, NoKbd";"";"Cobra";"1991 Bytec";"0";"C\Cobra_v1.0.lha";"Cobra";"Cobra";"0";"whdload";"524288";"1055546";"Cobra";"OCS/ECS";"";"";"";"";""
"Giana2\Giana2.slave";"Disk, NoError, EmulTrap, NoKbd";"Hard'n'Heavy (c) 1989 Reline.";"Hard";"1989 Reline";"0";"G\Giana2_v1.02_HardNHeavyHack.lha";"Giana2";"Giana2";"0";"whdload";"524288";"704627";"Giana2";"OCS/ECS";"";"";"";"";""
"GianaSistersSE\GianaSistersSE.slave";"NoError, EmulTrap, ClearMem";"Great Giana Sisters (c) 1988 Timewarp/Rainbow Arts.";"The Great Giana Sisters";"1988 Timewarp/Rainbow Arts";"4096";"G\GianaSistersSE_v1.2.lha";"GianaSistersSE";"GianaSistersSE";"0";"whdload";"524288";"3615411";"GianaSistersSE";"OCS/ECS";"";"";"";"";""
"HeroQuestDeFix\HeroQuestDeFix.slave";"Disk, NoError, EmulTrap";"";"Hero Quest & Return of the Witchlord";"1991 Gremlin Graphics Ltd.";"0";"H\HeroQuest_v1.2_German_fix_by_Viddi.lha";"HeroQuestDeFix";"HeroQuestDeFix";"0";"whdload";"524288";"1865374";"HeroQuest";"OCS/ECS";"De";"";"";"Fix";""
