"RunDir";"EntrySize";"RunType";"EntryName";"RunFile";"Query"
"AlterEgo";"193635";"file";"AlterEgo";"AlterEgo\AlterEgo";"alter ego"
"AnotherWorldTheLostLevel";"738117";"file";"AnotherWorldTheLostLevel";"AnotherWorldTheLostLevel\another";"another world the lost level"
"BlockySkies";"673260";"file";"BlockySkies";"BlockySkies\BlockySkies";"blocky skies"
"CC2AGA";"5083555";"file";"CC2AGA";"CC2AGA\tennis_organizer";"center court 2"
"GianaSistersSE";"2352346";"runscript";"GianaSistersSE";"GianaSistersSE\_run";"the great giana sisters special edition"
"GianaSistersSE";"2352346";"whdload";"GianaSistersSE";"GianaSistersSE\GreatGianaSisters.slave";"the great giana sisters special edition"
"HeartOfTheAlienReduxAGA";"39932258";"runscript";"HeartOfTheAlienReduxAGA";"HeartOfTheAlienReduxAGA\_run";"heart of the alien"
"MonstersOfTerrorAGA";"59972";"file";"MonstersOfTerrorAGA";"MonstersOfTerrorAGA\MonstersOfTerror";"monsters of terror"
"NoMansLand";"779298";"whdload";"NoMansLand";"NoMansLand\NoMansLand.Slave";"no mans land"
"OnEscapeeAGA";"114261375";"runscript";"OnEscapeeAGA";"OnEscapeeAGA\_run";"on escapee"
"ScorchedTanks";"807251";"runscript";"ScorchedTanks";"ScorchedTanks\_run";"scorched tanks"
"SimCity2000AGA";"4237381";"file";"SimCity2000AGA";"SimCity2000AGA\SimCity2000";"sim city 2000"
"Sqrxz2";"413526";"file";"Sqrxz2";"Sqrxz2\sqrxz2";"sqrxz 2 two seconds until death"
"SuperCars2";"1920591";"whdload";"SuperCars2";"SuperCars2\SuperCars2.Slave";"super cars 2"
"SWOS1617";"1616733";"runscript";"SWOS1617";"SWOS1617\_run";"sensible world of soccer 2016 2017"
"TanksFurry";"839023";"file";"TanksFurry";"TanksFurry\tf";"tanks furry"
"TotalPattern";"2430602";"file";"TotalPattern";"TotalPattern\TotalPattern";"total pattern"
