Year;Url;License;Languages;Disks;Players;Name;Publisher;Developer;Hardware;Genre
2015;;;English;;1;Alter Ego;;Wanted Team;ECS/OCS;Brain - Miscellaneous
2016;;;English;;1;Blocky Skies;;Enable Software Pty Ltd.;ECS/OCS;Brain - Memory
2016;;;English;;1 to 4, Simultaneous;Center Court 2;;Gernot Fritsche;AGA;Sports - Tennis
1995;;;English;;1 to 4, Simultaneous;Monsters Of Terror;;Matthias Bock, Andreas Scholl;AGA;Arcade - Labyrinth/Maze
1991;;;English;;2, Simultaneous;No Man's Land;;Oxygen;ECS/OCS;Shooter
1994;;;English;;1 to 4;Scorched Tanks;;Dark Unicorn;ECS/OCS;Strategy - War
1994;;;English;;1;Sim City 2000;Maxis;Maxis;AGA;Strategy - Miscellaneous
2012;;;English;;1;Sqrxz 2: Two Seconds Until Death;;Retroguru;ECS/OCS;Platformer - Scrolling Screen
2016;;;English;;1 to 4, Simultaneous;Tanks Furry;Amiga.net.pl;Project R3D;ECS/OCS;Shoot'em Up - Miscellaneous
2016;;;English;;1 - 2 (1 simultaneous);The Great Giana Sisters Special Edition;Reimagine Games;;ECS/OCS;Platformer - Scrolling Screen
2016;;;English;;1;Total Pattern;;Digital Team;ECS/OCS;Brain - Puzzle
1997;;;English;;1;OnEscapee;Sadeness Software;Invictus Team;AGA;Adventure - Arcade 2D
2016;;;English;;1;Heart of the Alien;Virgin Interactive;Interplay Productions, Dalibor Javorcek;ECS;Adventure - Arcade 2D
2016;;;English;;1;Another World - The Lost Level;;Eric Chahi;ECS/OCS;Adventure - Arcade 2D
2016;;;English;;1 or 2, Simultaneous;Sensible World of Soccer 2016-2017;Renegade;Sensible Software;ECS/OCS;Sports - Football/Soccer
1991;;;English;;1 or 2, Simultaneous;Super Cars II;Gremlin Graphics;Magnetic Fields;ECS/OCS;Racing - Overhead
