"RunDir";"EntrySize";"RunType";"EntryName";"RunFile";"Query";"DetailMatch";"DetailScore";"DetailSource";"DetailYear";"DetailUrl";"DetailLicense";"DetailLanguages";"DetailDisks";"DetailPlayers";"DetailName";"DetailPublisher";"DetailDeveloper";"DetailHardware";"DetailGenre";"Detail_Keywords"
"AlterEgo";"193635";"file";"AlterEgo";"AlterEgo\AlterEgo";"alter ego";"Exact";"100";"HD-Games Details";"2015";"";"";"English";"";"1";"Alter Ego";"";"Wanted Team";"ECS/OCS";"Brain - Miscellaneous";"alter ego alterego alterego english"
"AnotherWorldTheLostLevel";"738117";"file";"AnotherWorldTheLostLevel";"AnotherWorldTheLostLevel\another";"another world the lost level";"Exact";"100";"HD-Games Details";"2016";"";"";"English";"";"1";"Another World - The Lost Level";"";"Eric Chahi";"ECS/OCS";"Adventure - Arcade 2D";"another world the lost level anotherworldthelostlevel anotherworldthelostlevel english"
"BlockySkies";"673260";"file";"BlockySkies";"BlockySkies\BlockySkies";"blocky skies";"Exact";"100";"HD-Games Details";"2016";"";"";"English";"";"1";"Blocky Skies";"";"Enable Software Pty Ltd.";"ECS/OCS";"Brain - Memory";"blocky skies blockyskies blockyskies english"
"CC2AGA";"5083555";"file";"CC2AGA";"CC2AGA\tennis_organizer";"center court 2";"Exact";"100";"HD-Games Details";"2016";"";"";"English";"";"1 to 4, Simultaneous";"Center Court 2";"";"Gernot Fritsche";"AGA";"Sports - Tennis";"center court 2 centercourt2 centercourt2 english"
"GianaSistersSE";"2352346";"whdload";"GianaSistersSE";"GianaSistersSE\GreatGianaSisters.slave";"the great giana sisters special edition";"Exact";"100";"HD-Games Details";"2016";"";"";"English";"";"1 - 2 (1 simultaneous)";"The Great Giana Sisters Special Edition";"Reimagine Games";"";"ECS/OCS";"Platformer - Scrolling Screen";"the great giana sisters special edition thegreatgianasistersspecialedition reimagine games thegreatgianasistersspecialedition english"
"GianaSistersSE";"2352346";"runscript";"GianaSistersSE";"GianaSistersSE\_run";"the great giana sisters special edition";"Exact";"100";"HD-Games Details";"2016";"";"";"English";"";"1 - 2 (1 simultaneous)";"The Great Giana Sisters Special Edition";"Reimagine Games";"";"ECS/OCS";"Platformer - Scrolling Screen";"the great giana sisters special edition thegreatgianasistersspecialedition reimagine games thegreatgianasistersspecialedition english"
"HeartOfTheAlienReduxAGA";"39932258";"runscript";"HeartOfTheAlienReduxAGA";"HeartOfTheAlienReduxAGA\_run";"heart of the alien";"Exact";"100";"HD-Games Details";"2016";"";"";"English";"";"1";"Heart of the Alien";"Virgin Interactive";"Interplay Productions, Dalibor Javorcek";"ECS";"Adventure - Arcade 2D";"heart of the alien heartofthealien virgin interactive heartofthealien english"
"MonstersOfTerrorAGA";"59972";"file";"MonstersOfTerrorAGA";"MonstersOfTerrorAGA\MonstersOfTerror";"monsters of terror";"Exact";"100";"HD-Games Details";"1995";"";"";"English";"";"1 to 4, Simultaneous";"Monsters Of Terror";"";"Matthias Bock, Andreas Scholl";"AGA";"Arcade - Labyrinth/Maze";"monsters of terror monstersofterror monstersofterror english"
"NoMansLand";"779298";"whdload";"NoMansLand";"NoMansLand\NoMansLand.Slave";"no mans land";"Exact";"100";"HD-Games Details";"1991";"";"";"English";"";"2, Simultaneous";"No Man's Land";"";"Oxygen";"ECS/OCS";"Shooter";"no mans land nomansland nomansland english"
"OnEscapeeAGA";"114261375";"runscript";"OnEscapeeAGA";"OnEscapeeAGA\_run";"on escapee";"Exact";"100";"HD-Games Details";"1997";"";"";"English";"";"1";"OnEscapee";"Sadeness Software";"Invictus Team";"AGA";"Adventure - Arcade 2D";"on escapee onescapee sadeness software onescapee english"
"ScorchedTanks";"807251";"runscript";"ScorchedTanks";"ScorchedTanks\_run";"scorched tanks";"Exact";"100";"HD-Games Details";"1994";"";"";"English";"";"1 to 4";"Scorched Tanks";"";"Dark Unicorn";"ECS/OCS";"Strategy - War";"scorched tanks scorchedtanks scorchedtanks english"
"SimCity2000AGA";"4237381";"file";"SimCity2000AGA";"SimCity2000AGA\SimCity2000";"sim city 2000";"Exact";"100";"HD-Games Details";"1994";"";"";"English";"";"1";"Sim City 2000";"Maxis";"Maxis";"AGA";"Strategy - Miscellaneous";"sim city 2000 simcity2000 maxis simcity2000 english"
"Sqrxz2";"413526";"file";"Sqrxz2";"Sqrxz2\sqrxz2";"sqrxz 2 two seconds until death";"Exact";"100";"HD-Games Details";"2012";"";"";"English";"";"1";"Sqrxz 2: Two Seconds Until Death";"";"Retroguru";"ECS/OCS";"Platformer - Scrolling Screen";"sqrxz 2 two seconds until death sqrxz2twosecondsuntildeath sqrxz2twosecondsuntildeath english"
"SuperCars2";"1920591";"whdload";"SuperCars2";"SuperCars2\SuperCars2.Slave";"super cars 2";"Exact";"100";"HD-Games Details";"1991";"";"";"English";"";"1 or 2, Simultaneous";"Super Cars II";"Gremlin Graphics";"Magnetic Fields";"ECS/OCS";"Racing - Overhead";"super cars 2 supercars2 gremlin graphics supercarsii english"
"SWOS1617";"1616733";"runscript";"SWOS1617";"SWOS1617\_run";"sensible world of soccer 2016 2017";"Exact";"100";"HD-Games Details";"2016";"";"";"English";"";"1 or 2, Simultaneous";"Sensible World of Soccer 2016-2017";"Renegade";"Sensible Software";"ECS/OCS";"Sports - Football/Soccer";"sensible world of soccer 2016 2017 sensibleworldofsoccer20162017 renegade sensibleworldofsoccer20162017 english"
"TanksFurry";"839023";"file";"TanksFurry";"TanksFurry\tf";"tanks furry";"Exact";"100";"HD-Games Details";"2016";"";"";"English";"";"1 to 4, Simultaneous";"Tanks Furry";"Amiga.net.pl";"Project R3D";"ECS/OCS";"Shoot'em Up - Miscellaneous";"tanks furry tanksfurry amiganetpl tanksfurry english"
"TotalPattern";"2430602";"file";"TotalPattern";"TotalPattern\TotalPattern";"total pattern";"Exact";"100";"HD-Games Details";"2016";"";"";"English";"";"1";"Total Pattern";"";"Digital Team";"ECS/OCS";"Brain - Puzzle";"total pattern totalpattern totalpattern english"
