"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"NoError, EmulTrap, ClearMem";"855681";"0-9\100MostRememberedC64Tunes\100MostRememberedC64Tunes.Slave";"The 100 Most Remembered C64 Game-Tunes";"0";"100MostRememberedC64Tunes";"The 100 Most Remembered C64 Game-Tunes";"1990 Per H?kan Sundell & Ron Birk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";"";"100 most remembered 64 tunes the game per kan sundell ron birk"
"NoError";"911067";"0-9\242\242.Slave";"242 ? 1993 Virtual Dreams - 1 disk";"0";"242";"242";"1993 Virtual Dreams";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"242";"OCS/ECS";"";"";"";"";"";"242 virtual dreams"
"NoError, EmulTrap, ClearMem";"792619";"0-9\24HourEFix\24HourEFix.Slave";"24 Hour E Fix ? 1992 Quartz.";"0";"24HourEFix";"24 Hour E Fix";"1992 Quartz";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"24HourE";"OCS/ECS";"";"";"";"Fix";"";"24 hour efix fix quartz"
"NoError, EmulTrap, ClearMem";"433416";"0-9\2D\2D.Slave";"2D ? 1993 Remedy.";"0";"2D";"2D";"1993 Remedy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"2D";"OCS/ECS";"";"";"";"";"";"2d remedy amiga"
"NoError";"1815064";"0-9\2Unlimited\2Unlimited.Slave";"2 Unlimited ? 1993 Scoopex - 2 disks";"0";"2Unlimited";"2 Unlimited";"1993 Scoopex";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"2Unlimited";"OCS/ECS";"";"";"";"";"";"2 unlimited scoopex"
"Disk, NoError, EmulTrap, ClearMem";"908736";"0-9\2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"2 Unlimited - No Limit ? 1993 Project A";"0";"2UnlimitedNoLimit";"2 Unlimited - No Limit";"1993 Project A";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"2UnlimitedNoLimit";"OCS/ECS";"";"";"";"";"";"2 unlimited no limit project"
"NoError, EmulTrap";"1820203";"0-9\3DDemo\3DDemo.Slave";"3D Demo ? 1991 Anarchy - 2 disks";"0";"3DDemo";"3D Demo";"1991 Anarchy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"3D";"OCS/ECS";"";"";"Demo";"";"";"3d demo anarchy"
"NoError";"100693";"0-9\3DBalls\3DBalls.Slave";"3D Balls ? 1989 Avenger";"0";"3DBalls";"3D Balls";"1989 Avenger";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"3DBalls";"OCS/ECS";"";"";"";"";"";"3d balls avenger"
"NoError, EmulTrap, ClearMem";"842261";"0-9\3DNetAnalyzer\3DNetAnalyzer.Slave";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"0";"3DNetAnalyzer";"3D-Net Analyzer";"1989 Doctor Mabuse Orgasm Crackings";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"3DNetAnalyzer";"OCS/ECS";"";"";"";"";"";"3d net analyzer doctor mabuse orgasm crackings"
"NoError, EmulTrap, ClearMem";"92702";"0-9\5Yards\5Yards.Slave";"5 Yards 1991 Vision.";"0";"5Yards";"5 Yards";"1991 Vision";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"5Yards";"OCS/ECS";"";"";"";"";"";"5 yards vision"
"NoError, EmulTrap";"2594214";"0-9\8BitJungle\8BitJungle.Slave";"8-Bit Jungle ? 2011 Unstable Label.";"0";"8BitJungle";"8-Bit Jungle";"2011 Unstable Label";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"8BitJungle";"OCS/ECS";"";"";"";"";"";"8 bit jungle unstable label"
"Disk, NoError";"1814297";"0-9\9Fingers\9Fingers.Slave";"9 fingers ? 1990 Spaceballs.";"1024";"9Fingers";"9 fingers";"1990 Spaceballs";"1028096";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"9Fingers";"OCS/ECS";"";"";"";"";"";"9 fingers spaceballs"
"Disk, NoError, EmulTrap";"914711";"A\A.S.S\A.S.S.slave";":";"0";"A.S.S";"Antediluvian Sloppy Spectacle";"1993 Essence";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"A.S.S";"OCS/ECS";"";"";"";"";"";"antediluvian sloppy spectacle essence"
"NoError, EmulTrap, ClearMem";"456895";"A\AbsenceOfLight\AbsenceOfLight.Slave";"Absence of Light ? 1991 Animators.";"0";"AbsenceOfLight";"Absence of Light";"1991 Animators";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"AbsenceOfLight";"OCS/ECS";"";"";"";"";"";"absence of light animators"
