"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"NoError, EmulTrap, NoKbd";"450496";"0-9\1000ccTurbo\1000ccTurbo.Slave";"1000cc Turbo (c) 1992 Energize - 1 disk.";"0";"1000ccTurbo";"1000cc Turbo";"1992 Energize";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1000ccTurbo";"OCS/ECS";"";"";"";"";"";"1000 cc turbo"
"NoError, EmulTrap";"915637";"0-9\1000Miglia\1000Miglia.Slave";"1000 Miglia ? 1992 Simulmondo.";"0";"1000Miglia";"1000 Miglia";"1992 Simulmondo";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1000Miglia";"OCS/ECS";"";"";"";"";"";"1000 miglia"
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"2766586";"0-9\1869AGA\1869AGA.Slave";"1869 ? 1993 Max Design";"0";"1869AGA";"1869 AGA";"1993 Max Design";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"1869";"AGA";"";"";"";"";"";"1869"
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"2768617";"0-9\1869AGADe\1869AGADe.Slave";"1869 ? 1993 Max Design";"0";"1869AGADe";"1869 AGA";"1993 Max Design";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"1869";"AGA";"De";"";"";"";"";"1869"
"NoError, EmulPriv, ClearMem, Examine";"1992820";"0-9\1869\1869.Slave";"1869 ? 1993 Max Design";"0";"1869";"1869 ECS";"1993 Max Design";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1869";"OCS/ECS";"";"";"";"";"";"1869"
"NoError, EmulPriv, ClearMem, Examine";"2019367";"0-9\1869Pl\1869Pl.Slave";"1869 ? 1993 Max Design";"0";"1869Pl";"1869 ECS";"1993 Max Design";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1869";"OCS/ECS";"Pl";"";"";"";"";"1869"
"NoError, EmulPriv, ClearMem, Examine";"1993358";"0-9\1869De\1869De.Slave";"1869 ? 1993 Max Design";"0";"1869De";"1869 ECS";"1993 Max Design";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1869";"OCS/ECS";"De";"";"";"";"";"1869"
"NoError, NoDivZero";"525205";"0-9\1943\1943.slave";"1943 - The Battle Of Midway ? 1987 Go!/Probe.";"0";"1943";"1943: The Battle Of Midway";"1987 Probe ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1943";"OCS/ECS";"";"";"";"";"";"1943 the battle of midway"
"NoError, EmulPriv, ClearMem, Examine";"661437";"0-9\1stDivisionManager\1stDivisionManager.Slave";"1st Division Manager ? 1992 Codemasters";"0";"1stDivisionManager";"1st Division Manager";"1992 Codemasters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1stDivisionManager";"OCS/ECS";"";"";"";"";"";"1 st division manager"
"NoError, EmulPriv, Examine";"793281";"0-9\20000LeaguesUnderTheSea\20000LeaguesUnderTheSea.Slave";"20000 leagues under the sea ? 1989 Infogrames.";"0";"20000LeaguesUnderTheSea";"20000 leagues under the sea";"1989 Infogrames.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"20000LeaguesUnderTheSea";"OCS/ECS";"";"";"";"";"";"20000 leagues under the sea"
"NoError, EmulPriv, Examine";"245622";"0-9\3001OConnorsFight\3001OConnorsFight.Slave";"game called:";"0";"3001OConnorsFight";"3001 O";"19?? ???????";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3001OConnorsFight";"OCS/ECS";"";"";"";"";"";"3001 oconnors fight"
