"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query"
"NoError, EmulTrap, NoKbd";"450496";"0-9\1000ccTurbo\1000ccTurbo.Slave";"1000cc Turbo (c) 1992 Energize - 1 disk.";"0";"1000ccTurbo";"1000cc Turbo";"1992 Energize";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1000ccTurbo";"OCS/ECS";"";"";"";"";"1000 cc turbo english"
"NoError, EmulTrap";"915637";"0-9\1000Miglia\1000Miglia.Slave";"1000 Miglia ? 1992 Simulmondo.";"0";"1000Miglia";"1000 Miglia";"1992 Simulmondo";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1000Miglia";"OCS/ECS";"";"";"";"";"1000 miglia english"
"NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine";"2766586";"0-9\1869AGA\1869AGA.Slave";"1869 ? 1993 Max Design";"0";"1869AGA";"1869 AGA";"1993 Max Design";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"1869";"AGA";"";"";"";"";"1869 english"
"NoError, NoDivZero";"525205";"0-9\1943\1943.slave";"1943 - The Battle Of Midway ? 1987 Go!/Probe.";"0";"1943";"1943: The Battle Of Midway";"1987 Probe ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1943";"OCS/ECS";"";"";"";"";"1943 the battle of midway english"
"NoError, EmulPriv, ClearMem, Examine";"661437";"0-9\1stDivisionManager\1stDivisionManager.Slave";"1st Division Manager ? 1992 Codemasters";"0";"1stDivisionManager";"1st Division Manager";"1992 Codemasters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"1stDivisionManager";"OCS/ECS";"";"";"";"";"1 st division manager english"
"NoError, EmulPriv, Examine";"793281";"0-9\20000LeaguesUnderTheSea\20000LeaguesUnderTheSea.Slave";"20000 leagues under the sea ? 1989 Infogrames.";"0";"20000LeaguesUnderTheSea";"20000 leagues under the sea";"1989 Infogrames.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"20000LeaguesUnderTheSea";"OCS/ECS";"";"";"";"";"20000 leagues under the sea english"
"NoError, EmulPriv, Examine";"245622";"0-9\3001OConnorsFight\3001OConnorsFight.Slave";"game called:";"0";"3001OConnorsFight";"3001 O";"19?? ???????";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3001OConnorsFight";"OCS/ECS";"";"";"";"";"3001 oconnors fight english"
"NoError, EmulTrap, EmulPriv, ClearMem, Examine, EmulDivZero";"542846";"0-9\3DConstructionKit\3DConstructionKit.Slave";"3D Construction Kit ? 1991 Domark";"0";"3DConstructionKit";"3D Construction Kit";"1991 Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DConstructionKit";"OCS/ECS";"";"";"";"";"3d construction kit english"
"NoError, EmulTrap";"460385";"0-9\3DGalax\3DGalax.Slave";"3D Galax (c) 1989 Gremlin - 1 disk.";"0";"3DGalax";"3D Galax";"1989 Gremlin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DGalax";"OCS/ECS";"";"";"";"";"3d galax english"
"NoError";"481908";"0-9\3DPool\3DPool.Slave";"3D Pool (c) 1989 Aardvark Software/Firebird.";"0";"3DPool";"3D Pool";"1989 Aardvark Software/Firebird";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"3DPool";"OCS/ECS";"";"";"";"";"3d pool english"
