WhdloadName;QueryPatch
AGE;advanced galactic empire 
AllTerrainRacing;atr all terrain racing
APBImage;all points bulletin
Archon;archon the light and the dark
BardsTale;bards tale the tales of the unknown
Battletech;battletech the crescent hawks inception
BlackGoldreLINE;black gold reline
BlastaBallArcadia;blastaball
CannonFodderNewCampaign;cannon fodder
Cycles;cycles the international grand prix racing
Damage;damage the sadistic butchering of humanity
DizzyCollection;magicland dizzy
FatalMission;fatal mission 2
FighterBomberAM;fighter bomber
Flaschbier;werner flaschbier
Flipit&Magnose;flip it magnose water carriers from mars
Freedom;freedom rebels in the darkness
FutureWars;future wars time travellers
Gobliins2;gobliins 2 the prince buffoon
Harpoon&Battleset2;harpoon battleset 2 north atlantic convoys
HATE;hate hostile all terrain encounter
Heimdall2;heimdall 2 into the hall of worlds
Heimdall2AGA;heimdall 2 into the hall of worlds
IndianaJonesAtlantisAct;indiana jones and the fate of atlantis 560
IndianaJonesAtlantisAdv;indiana jones and the fate of atlantis 558
IndianaJonesLastCrusAct;indiana jones and the last crusade 1228
IndianaJonesLastCrusAdv;indiana jones and the last crusade 559
Magician;magician the
Mercenary;mercenary i escape from targ and the second city
MonkeyIsland2;monkey island 2 lechucks revenge
NeverEndingStory2;neverending story ii the
OgAGA;trog
Patrician;patrician the
PinballFntsies;pinball fantasies
PipelineNomad;pipeline
PipelineOracle;pipeline
Populous2;populous ii trials of the olympian gods
Populous2&ChallengeGames;populous ii trials of the olympian gods
Populous2&ChallengeGames;populous ii trials of the olympian gods
Powerplay;powerplay the game of the gods
Renegade3;renegade iii the final chapter
R?sselsheim;Russelsheim
RealmsOfArkania;realms of arkania blade of destiny
Reflexity;reflexity pinball challenge
Renegades;renegades deluxe
RipDisk2;burning rubber
Rogue;rogue the adventure game
Settlers;settlers the
Shuttle;shuttle the space flight simulator
SideWinderArcadia;sidewinder
SkaermtroldenHugoDk;skærmtrolden hugo
Subtrade;subtrade return to irata
Teller;teller the
TripleX;tripple x
T-Zer0;t zer0
T-Zer0Demo;t zer0
T-Zer0DemoAGA;t zer0
WalkerCrunched;walker
WalkerDecrunched;walker
WinterChallenge;winter challenge world class competition
WorldClassSoccer;italy 90 soccer
