Year;Url;Path;License;Disks;Players;Name;Publisher;Language;Hardware;Genre;_Query
1990;http://www.lemonamiga.com/games/details.php?id=2801;0\1-across-2-down;Licenceware;2;1 Only;1 Across 2 Down;Amiganuts United;English;OCS;Brain - Crossword;1 Across 2 Down Amiganuts United
1993;http://www.lemonamiga.com/games/details.php?id=3579;0\10-out-of-10-dinosaurs;Commercial;2;1 to 4;10 out of 10: Dinosaurs;10 out of 10;English;OCS,ECS;Educational - Miscellaneous;10 out of 10: Dinosaurs 10 out of 10
1993;http://www.lemonamiga.com/games/details.php?id=3580;0\10-out-of-10-english;Commercial;1;1 to 4;10 out of 10: English;10 out of 10;English;OCS,ECS;Educational - Language;10 out of 10: English 10 out of 10
1993;http://www.lemonamiga.com/games/details.php?id=3581;0\10-out-of-10-junior-essentials;Commercial;2;1 to 4;10 out of 10: Junior Essentials;10 out of 10;English;OCS,ECS;Educational - Children;10 out of 10: Junior Essentials 10 out of 10
1993;http://www.lemonamiga.com/games/details.php?id=3582;0\10-out-of-10-maths-algebra;Commercial;2;1 to 4;10 out of 10: Maths Algebra;10 out of 10;English;OCS,ECS;Educational - Math;10 out of 10: Maths Algebra 10 out of 10
1993;http://www.lemonamiga.com/games/details.php?id=3583;0\10-out-of-10-maths-number;Commercial;1;1 to 4;10 out of 10: Maths Number;10 out of 10;English;OCS,ECS;Educational - Math;10 out of 10: Maths Number 10 out of 10
1991;http://www.lemonamiga.com/games/details.php?id=18;0\1000-miglia-1927-1933-volume-1;Commercial;1;1 Only;1000 Miglia: 1927-1933 Volume 1;Simulmondo;English,Italian;OCS;Racing - Cars;1000 Miglia: 1927-1933 Volume 1 Simulmondo
1990;http://www.lemonamiga.com/games/details.php?id=1501;0\1000cc-turbo;Commercial;1;1 Only;1000cc Turbo;Impressions;English;OCS,ECS;Racing - Motorcycle;1000cc Turbo Impressions
1996;http://www.lemonamiga.com/games/details.php?id=3649;0\1497-five-years-after;;1;1 to 4;1497: five years after;(unknown);English;OCS,ECS;Strategy - Trading;1497: five years after (unknown)
1992;http://www.lemonamiga.com/games/details.php?id=2878;0\1869-erlebte-geschichte-teil-i-aga;Commercial;4;1 to 4;1869: Erlebte Geschichte Teil I;Flair Software;German;AGA;Strategy - Trading;1869: Erlebte Geschichte Teil I Flair Software
1992;http://www.lemonamiga.com/games/details.php?id=219;0\1869-history-experience-part-i-aga;Commercial;4;1 to 4;1869: History Experience Part I;Flair Software;English;AGA;Strategy - Trading;1869: History Experience Part I Flair Software
1993;http://www.lemonamiga.com/games/details.php?id=3697;0\18th-hole;Public Domain/Freeware;;2;18th hole;(unknown);English;OCS,ECS;Sports - Golf;18th hole (unknown)
1989;http://www.lemonamiga.com/games/details.php?id=19;0\1943-the-battle-of-midway;Commercial;1;1 or 2, Simultaneous;1943: The Battle of Midway;Go!;English;OCS;;1943: The Battle of Midway Go!
1997;http://www.lemonamiga.com/games/details.php?id=3698;0\1945-remix-97;Public Domain/Freeware;;2;1945 Remix' 97;(unknown);English;OCS,ECS;;1945 Remix' 97 (unknown)
1993;http://www.lemonamiga.com/games/details.php?id=1502;0\1990-die-1993er-edition;Commercial;;;1990: Die 1993'er Edition;APC&TCP;German;OCS,ECS;Strategy - Miscellaneous;1990: Die 1993'er Edition APC&TCP
1991;http://www.lemonamiga.com/games/details.php?id=2;0\1st-division-manager;Commercial;1;1 Only;1st Division Manager;Codemasters;English;OCS,ECS;Sports - Football/Soccer;1st Division Manager Codemasters
1989;http://www.lemonamiga.com/games/details.php?id=2867;0\20000-leagues-under-the-sea;Commercial;1;1 Only;20000 Leagues under the Sea;Coktel Vision;English;OCS;Adventure - Point and Click;20000 Leagues under the Sea Coktel Vision
1988;http://www.lemonamiga.com/games/details.php?id=3313;0\20000-meilen-unter-dem-meer;Commercial;1;1 Only;20000 Meilen unter dem Meer;Coktel Vision;German;OCS;Adventure - Point and Click;20000 Meilen unter dem Meer Coktel Vision
1990;http://www.lemonamiga.com/games/details.php?id=20;0\3001-oconnors-fight;Commercial;1;1 Only;3001: O'Connors Fight;Rainbow Arts;English;OCS;Strategy - Miscellaneous;3001: O'Connors Fight Rainbow Arts
1991;http://www.lemonamiga.com/games/details.php?id=1497;0\3d-construction-kit;Commercial;1;1 Only;3D Construction Kit;Domark;English,German,French,Italian;OCS,ECS;Adventure - Construction Kit;3D Construction Kit Domark
1992;http://www.lemonamiga.com/games/details.php?id=1715;0\3d-construction-kit-ii;Commercial;2;1 Only;3D Construction Kit II;Domark;English;OCS,ECS;Adventure - Construction Kit;3D Construction Kit II Domark
1988;http://www.lemonamiga.com/games/details.php?id=1498;0\3d-galax;Commercial;1;1 Only;3D Galax;Gremlin Graphics;English;OCS;;3D Galax Gremlin Graphics
1989;http://www.lemonamiga.com/games/details.php?id=1287;0\3d-pool;Commercial;1;1 or 2;3D Pool;Firebird;English;OCS;Sports - Snooker/Pool;3D Pool Firebird
1992;http://www.lemonamiga.com/games/details.php?id=8;0\3d-world-boxing;Commercial;1;1 or 2, Simultaneous;3D World Boxing;Simulmondo;English,German,French,Italian;OCS,ECS;Sports - Boxing;3D World Boxing Simulmondo
1992;http://www.lemonamiga.com/games/details.php?id=1496;0\3d-world-soccer;Commercial;2;;3D World Soccer;Simulmondo;English,German,French,Italian;OCS,ECS;Sports - Football/Soccer;3D World Soccer Simulmondo
1992;http://www.lemonamiga.com/games/details.php?id=2130;0\3d-world-tennis;Commercial;1;1 or 2, Simultaneous;3D World Tennis;Simulmondo;English,German,French,Italian;OCS,ECS;Sports - Tennis;3D World Tennis Simulmondo
1992;http://www.lemonamiga.com/games/details.php?id=3293;0\3d-motorrad;Coverdisk;1;1 Only;3D-Motorrad;Amiga Mania;German;OCS,ECS;Racing - Miscellaneous;3D-Motorrad Amiga Mania
1992;http://www.lemonamiga.com/games/details.php?id=1499;0\4-get-it;Commercial;1;1 Only;4-Get-It;T.T.R. Development;English;OCS,ECS;Brain - Puzzle;4-Get-It T.T.R. Development
1990;http://www.lemonamiga.com/games/details.php?id=3696;0\4-way-lynx;Licenceware;;1 Only;4-Way Lynx;Deja Vu Software;English;OCS,ECS;Brain - Puzzle;4-Way Lynx Deja Vu Software
1991;http://www.lemonamiga.com/games/details.php?id=10;0\4d-sports-boxing;Commercial;2;1 or 2, Simultaneous;4D Sports Boxing;Mindscape;English;OCS,ECS;Sports - Boxing;4D Sports Boxing Mindscape
1990;http://www.lemonamiga.com/games/details.php?id=11;0\4d-sports-driving;Commercial;2;1 Only;4D Sports Driving;Mindscape;English;OCS,ECS;Racing - Cars;4D Sports Driving Mindscape
1988;http://www.lemonamiga.com/games/details.php?id=12;0\4th-inches;Commercial;1;1 or 2, Simultaneous;4th & Inches;Accolade;English;OCS;Sports - American Football;4th & Inches Accolade
1988;http://www.lemonamiga.com/games/details.php?id=13;0\4x4-off-road-racing;Commercial;1;1 Only;4x4 Off-Road Racing;Epyx;English;OCS;Racing - Cars;4x4 Off-Road Racing Epyx
1991;http://www.lemonamiga.com/games/details.php?id=3338;0\500-cc-motomanager;Commercial;1;1 or 2;500 c.c MotoManager;Simulmondo;English,Italian;OCS,ECS;Racing - Motorcycle;500 c.c MotoManager Simulmondo
1990;http://www.lemonamiga.com/games/details.php?id=14;0\5th-gear;Commercial;1;1 Only;5th Gear;Hewson;English;OCS;Racing - Miscellaneous;5th Gear Hewson
1990;http://www.lemonamiga.com/games/details.php?id=17;0\688-attack-sub;Commercial;1;1 Only;688 Attack Sub;Electronic Arts;English;OCS;Simulation - Marine;688 Attack Sub Electronic Arts
1991;http://www.lemonamiga.com/games/details.php?id=1500;0\7-colors;Commercial;1;1 or 2;7 Colors;Infogrames;English,German,French,Italian,Spanish;OCS,ECS;Brain - Puzzle;7 Colors Infogrames
1990;http://www.lemonamiga.com/games/details.php?id=16;0\9-lives;Commercial;1;1 Only;9 Lives;Arc Developments;English;OCS;Platformer - Scrolling Screen;9 Lives Arc Developments
1991;http://www.lemonamiga.com/games/details.php?id=21;a\a-10-tank-killer;Commercial;2;1 Only;A-10 Tank Killer;Dynamix;English;OCS,ECS;Simulation - Flight;A-10 Tank Killer Dynamix
1990;http://www.lemonamiga.com/games/details.php?id=2777;a\a-mopoly;Commercial;1;1 Only;A-Mopoly;R-H-S;German;OCS;Board - Monopoly;A-Mopoly R-H-S
1992;http://www.lemonamiga.com/games/details.php?id=101;a\a-train;Commercial;2;1 Only;A-Train;Ocean;English;OCS,ECS;Strategy - Miscellaneous;A-Train Ocean
1991;http://www.lemonamiga.com/games/details.php?id=22;a\a320-airbus;Commercial;1;1 Only;A320 Airbus;Thalion;English;OCS,ECS;Simulation - Flight;A320 Airbus Thalion
