"WhdloadName";"WhdloadSlaveFilePath";"WhdloadSlaveName";"WhdloadSlaveCopy";"ReadmeAppliesTo";"ScreenshotQuery";"ScreenshotSourceFile";"ScreenshotOutputPath"
"1001StolenIdeas";"0-9\1001StolenIdeas\1001StolenIdeas.Slave";"1001 Stolen Ideas";"1991 Airwalk";"1001 Stolen Ideas ? 1991 Airwalk.";"1001 stolen ideas airwalk";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\1001-stolen-ideas-airwalk\screen.jpg";"1001stolenideasairwalk"
"100MostRememberedC64Tunes";"0-9\100MostRememberedC64Tunes\100MostRememberedC64Tunes.Slave";"The 100 Most Remembered C64 Game-Tunes";"1990 Per H?kan Sundell & Ron Birk";"The 100 Most Remembered C64 Game-Tunes";"100 most remembered c 64 tunes the game per h kan sundell ron birk";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-100-most-remembered-c64-game-tunes-sundell-birk\screen.jpg";"the100mostrememberedc64gametunessundellbirk"
"242";"0-9\242\242.Slave";"242";"1993 Virtual Dreams";"242 ? 1993 Virtual Dreams - 1 disk";"242 virtual dreams";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\p\psychedelic-virtual-dreams-fairlight\screen.jpg";"psychedelicvirtualdreamsfairlight"
"24HourEFix";"0-9\24HourEFix\24HourEFix.Slave";"24 Hour E Fix";"1992 Quartz";"24 Hour E Fix ? 1992 Quartz.";"24 hour efix e fix quartz";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\24-hour-e-fix-quartz\screen.jpg";"24hourefixquartz"
"2Unlimited";"0-9\2Unlimited\2Unlimited.Slave";"2 Unlimited";"1993 Scoopex";"2 Unlimited ? 1993 Scoopex - 2 disks";"2 unlimited scoopex";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\p\plays-2-unlimited-scoopex\screen.jpg";"plays2unlimitedscoopex"
"2UnlimitedNoLimit";"0-9\2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"2 Unlimited - No Limit";"1993 Project A";"2 Unlimited - No Limit ? 1993 Project A";"2 unlimited no limit project a";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\2-unlimited-no-limit-project-a\screen.jpg";"2unlimitednolimitprojecta"
"3DBalls";"0-9\3DBalls\3DBalls.Slave";"3D Balls";"1989 Avenger";"3D Balls ? 1989 Avenger";"3d balls avenger";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\3d-balls-avenger\screen.png";"3dballsavenger"
"3DDemo";"0-9\3DDemo\3DDemo.Slave";"3D Demo";"1991 Anarchy";"3D Demo ? 1991 Anarchy - 2 disks";"3d demo anarchy";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\3d-demo-anarchy\screen.png";"3ddemoanarchy"
"3DNetAnalyzer";"0-9\3DNetAnalyzer\3DNetAnalyzer.Slave";"3D-Net Analyzer";"1989 Doctor Mabuse Orgasm Crackings";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"3d net analyzer doctor mabuse orgasm crackings";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\3d-net-analyzer-doctor-mabuse-orgasm-crackings\screen.png";"3dnetanalyzerdoctormabuseorgasmcrackings"
"5Yards";"0-9\5Yards\5Yards.Slave";"5 Yards";"1991 Vision";"5 Yards 1991 Vision.";"5 yards vision";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\5-yards-vision\screen.png";"5yardsvision"
"8BitJungle";"0-9\8BitJungle\8BitJungle.Slave";"8-Bit Jungle";"2011 Unstable Label";"8-Bit Jungle ? 2011 Unstable Label.";"8 bit jungle unstable label";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\8-bit-jungle-unstable-label\screen.jpg";"8bitjungleunstablelabel"
"9Fingers";"0-9\9Fingers\9Fingers.Slave";"9 fingers";"1990 Spaceballs";"9 fingers ? 1990 Spaceballs.";"9 fingers spaceballs";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\r\raw-9-spaceballs\screen.png";"raw9spaceballs"
"A.S.S";"A\A.S.S\A.S.S.slave";"Antediluvian Sloppy Spectacle";"1993 Essence";":";"a s antediluvian sloppy spectacle essence";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\e\essence-gameboot-essence\screen.jpg";"essencegamebootessence"
"A1200Demo";"A\A1200Demo\A1200Demo.slave";"A1200 Demo";"1993 Complex";"A1200 Demo ? 1993 Complex (1 disk)";"a 1200 demo complex";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\o\official-commodore-france-a1200-demo-digital\screen.jpg";"officialcommodorefrancea1200demodigital"
"AbsenceOfLight";"A\AbsenceOfLight\AbsenceOfLight.Slave";"Absence of Light";"1991 Animators";"Absence of Light ? 1991 Animators.";"absence of light animators";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\r\reform-pack-24-absence\screen.png";"reformpack24absence"
"AbsoluteInebriation";"A\AbsoluteInebriation\AbsoluteInebriation.Slave";"Absolute Inebriation";"1992 Fairlight/Virtual Dreams";"Absolute Inebriation ? 1992 Virtual Dreams.";"absolute inebriation fairlight virtual dreams";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\p\psychedelic-virtual-dreams-fairlight\screen.jpg";"psychedelicvirtualdreamsfairlight"
"AbsoluteSwedish";"A\AbsoluteSwedish\AbsoluteSwedish.Slave";"Absolute Swedish";"1993 Phew! Productions";"Absolute Swedish ? 1993 Phew! Productions.";"absolute swedish phew productions";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\s\swedish-cascade\screen.jpg";"swedishcascade"
"Acme1991Slideshow";"A\Acme1991Slideshow\Acme1991Slideshow.Slave";"Acme 1991 Slideshow";"1991 Acme";"Acme 1991 Slideshow ? 1991 Acme.";"acme 1991 slideshow";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\m\megademo-acme-amiga\screen.jpg";"megademoacmeamiga"
"AFewTunes";"A\AFewTunes\AFewTunes.Slave";"A few Tunes by Dr. Awesome & Fleshbrain";"1990 Crusaders";"A few Tunes by Dr. Awesome & Fleshbrain ? 1990 Crusaders.";"afew tunes a few by dr awesome fleshbrain crusaders";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\d\dr-awesome-music-89-90-crusaders\screen.png";"drawesomemusic8990crusaders"
"Alchemy";"A\Alchemy\Alchemy.Slave";"Alchemy";"1993 Rage";"Alchemy 1993 Rage.";"alchemy rage";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\a\alchemy-rage\screen.jpg";"alchemyrage"
