"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query";"ScreenshotMatch";"ScreenshotScore";"ScreenshotName";"ScreenshotFile";"ScreenshotDirectoryName"
"NoError, EmulTrap, ReqAGA, ClearMem";"291973";"0-9\1001StolenIdeas\1001StolenIdeas.Slave";"1001 Stolen Ideas ? 1991 Airwalk.";"0";"1001StolenIdeas";"1001 Stolen Ideas";"1991 Airwalk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"1001StolenIdeas";"AGA";"";"";"";"";"1001 stolen ideas airwalk";"Exact";"100";"1001-stolen-ideas-airwalk";"C:\Work\First Realize\amiga-demo-database\jasdd\0\1001-stolen-ideas-airwalk\screen_001.png";"1001-stolen-ideas-airwalk"
"NoError, EmulTrap, ClearMem";"855681";"0-9\100MostRememberedC64Tunes\100MostRememberedC64Tunes.Slave";"The 100 Most Remembered C64 Game-Tunes";"0";"100MostRememberedC64Tunes";"The 100 Most Remembered C64 Game-Tunes";"1990 Per H?kan Sundell & Ron Birk";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"100MostRememberedC64Tunes";"OCS/ECS";"";"";"";"";"100 most remembered 64 tunes the game per kan sundell ron birk";"Best";"4,276082";"the-100-most-remembered-c64-game-tunes-sundell-birk";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\t\the-100-most-remembered-c64-game-tunes-sundell-birk\screen.jpg";"the-100-most-remembered-c64-game-tunes-sundell-birk"
"NoError";"911067";"0-9\242\242.Slave";"242 ? 1993 Virtual Dreams - 1 disk";"0";"242";"242";"1993 Virtual Dreams";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"242";"OCS/ECS";"";"";"";"";"242 virtual dreams";"Exact";"100";"242-virtual-dreams";"C:\Work\First Realize\amiga-demo-database\jasdd\0\242-virtual-dreams\screen_001.png";"242-virtual-dreams"
"NoError, EmulTrap, ClearMem";"792619";"0-9\24HourEFix\24HourEFix.Slave";"24 Hour E Fix ? 1992 Quartz.";"0";"24HourEFix";"24 Hour E Fix";"1992 Quartz";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"24HourE";"OCS/ECS";"";"";"";"Fix";"24 hour efix fix quartz";"Best";"3,497869";"24-hour-e-fix-quartz";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\24-hour-e-fix-quartz\screen.jpg";"24-hour-e-fix-quartz"
"NoError";"1815064";"0-9\2Unlimited\2Unlimited.Slave";"2 Unlimited ? 1993 Scoopex - 2 disks";"0";"2Unlimited";"2 Unlimited";"1993 Scoopex";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"2Unlimited";"OCS/ECS";"";"";"";"";"2 unlimited scoopex";"Best";"3,392901";"scoopex-plays-2-unlimited-scoopex";"C:\Work\First Realize\amiga-demo-database\jasdd\s\scoopex-plays-2-unlimited-scoopex\screen_001.png";"scoopex-plays-2-unlimited-scoopex"
"Disk, NoError, EmulTrap, ClearMem";"908736";"0-9\2UnlimitedNoLimit\2UnlimitedNoLimit.Slave";"2 Unlimited - No Limit ? 1993 Project A";"0";"2UnlimitedNoLimit";"2 Unlimited - No Limit";"1993 Project A";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"2UnlimitedNoLimit";"OCS/ECS";"";"";"";"";"2 unlimited no limit project";"Best";"5,688675";"2-unlimited-no-limit-project-a";"C:\Work\First Realize\amiga-demo-database\jasdd\0\2-unlimited-no-limit-project-a\screen_001.png";"2-unlimited-no-limit-project-a"
"NoError, EmulTrap";"1820203";"0-9\3DDemo\3DDemo.Slave";"3D Demo ? 1991 Anarchy - 2 disks";"0";"3DDemo";"3D Demo";"1991 Anarchy";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"3D";"OCS/ECS";"";"";"Demo";"";"3d demo anarchy";"Exact";"100";"3d-demo-anarchy";"C:\Work\First Realize\amiga-demo-database\jasdd\0\3d-demo-anarchy\screen_001.png";"3d-demo-anarchy"
"NoError";"100693";"0-9\3DBalls\3DBalls.Slave";"3D Balls ? 1989 Avenger";"0";"3DBalls";"3D Balls";"1989 Avenger";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"3DBalls";"OCS/ECS";"";"";"";"";"3d balls avenger";"Exact";"100";"3d-balls-avenger";"C:\Work\First Realize\amiga-demo-database\pouet_new\amiga\productions\0\3d-balls-avenger\screen.png";"3d-balls-avenger"
"NoError, EmulTrap, ClearMem";"842261";"0-9\3DNetAnalyzer\3DNetAnalyzer.Slave";"3d Net Analyzer ? 1989 Doctor Mabuse Orgasm Crackings.";"0";"3DNetAnalyzer";"3D-Net Analyzer";"1989 Doctor Mabuse Orgasm Crackings";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"3DNetAnalyzer";"OCS/ECS";"";"";"";"";"3d net analyzer doctor mabuse orgasm crackings";"Exact";"100";"3d-net-analyzer-doctor-mabuse-orgasm-crackings";"C:\Work\First Realize\amiga-demo-database\jasdd\0\3d-net-analyzer-doctor-mabuse-orgasm-crackings\screen_001.PNG";"3d-net-analyzer-doctor-mabuse-orgasm-crackings"
"NoError, EmulTrap, ClearMem";"92702";"0-9\5Yards\5Yards.Slave";"5 Yards 1991 Vision.";"0";"5Yards";"5 Yards";"1991 Vision";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\demos_whdload\combined";"5Yards";"OCS/ECS";"";"";"";"";"5 yards vision";"Exact";"100";"5-yards-vision";"C:\Work\First Realize\amiga-demo-database\jasdd\0\5-yards-vision\screen_001.PNG";"5-yards-vision"
