"WhdloadGameFileName";"WhdloadSlaveFile";"WhdloadGameName";"ScreenshotFileName"
"1000ccTurbo_v1.0.zip";"1000ccTurbo\1000ccTurbo.Slave";"1000ccTurbo";"GameBase Amiga v2.0 Screenshots\0\1000cc_Turbo_2.png"
"1000Miglia_v1.1b.zip";"1000Miglia\1000Miglia.Slave";"1000Miglia";"GameBase Amiga v2.0 Screenshots\0\1000_Miglia_2.png"
"1869_v1.2.zip";"1869\1869.Slave";"1869";"Open Amiga Game Database\0\1869\screen_006.png"
"1869_v1.2_AGA.zip";"1869AGA\1869AGA.Slave";"1869.aga";"GameBase Amiga v2.0 Screenshots\0\1869_(AGA)_2.png"
"1869_v1.2_AGA_De_1653.zip";"1869AGA\1869AGADE.Slave";"1869.aga";"GameBase Amiga v2.0 Screenshots\0\1869_(AGA)_2.png"
"1869_v1.2_De_0417.zip";"1869\1869DE.Slave";"1869";"Open Amiga Game Database\0\1869\screen_006.png"
"1869_v1.2_Pl.zip";"1869Pl\1869Pl.Slave";"1869";"Open Amiga Game Database\0\1869\screen_006.png"
"1943_v1.2.zip";"1943\1943.Slave";"1943";"GameBase Amiga v2.0 Screenshots\0\1943_-_The_Battle_of_Midway__2.png"
"1943_v1.3.lha";"1943\1943.slave";"1943";"GameBase Amiga v2.0 Screenshots\0\1943_-_The_Battle_of_Midway__2.png"
"1stDivisionManager_v1.0_1800.zip";"1stDivisionManager\1stDivisionManager.Slave";"1stDivisionManager";"GameBase Amiga v2.0 Screenshots\0\1st_Division_Manager__2.png"
"20000LeaguesUnderTheSea_v0.4.zip";"20000LeaguesUnderTheSea\20000LeaguesUnderTheSea.Slave";"20000LeaguesUnderTheSea";"Open Amiga Game Database\0\20000-leagues-under-the-sea\screen_006.png"
"3001OConnorsFight_v1.0.zip";"3001OConnorsFight\3001OConnorsFight.Slave";"3001OConnorsFight";"iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\0_9\3001OConnorsFight\igame.iff"
"3DConstructionKit_v1.0_1765.zip";"3DConstructionKit\3DConstructionKit.Slave";"3DConstructionKit";"Open Amiga Game Database\0\3d-construction-kit\screen_006.png"
"3DGalax_v1.0.zip";"3DGalax\3DGalax.Slave";"3DGalax";"GameBase Amiga v2.0 Screenshots\0\3D_Galax_2.png"
"3DPool_v1.2_0621.zip";"3DPool\3DPictures.Slave";"3DPool";"GameBase Amiga v2.0 Screenshots\0\3D_Pool_2.png"
"3DPool_v1.2_0621.zip";"3DPool\3DPool.Slave";"3DPool";"GameBase Amiga v2.0 Screenshots\0\3D_Pool_2.png"
"4DSportsBoxing_v1.1_0421.zip";"4DSportsBoxing\4DSportsBoxing.Slave";"4DSportsBoxing";"GameBase Amiga v2.0 Screenshots\0\4D_Sports_Boxing_2.png"
"4DSportsDriving&MasterTracks_v1.0_1461.zip";"4DSportsDriving&MstrTrcks\4DSportsDriving&MstrTrcks.Slave";"4DSportsDriving&MasterTracks";"iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\0_9\4D Sports Driving\igame.iff"
"4DSportsDriving_v1.0_1461.zip";"4DSportsDriving\4DSportsDriving.Slave";"4DSportsDriving";"iGameUpdatePackTroelsDK\IFF 320x256 - Interlaced\IFF\0_9\4D Sports Driving\igame.iff"
