Whdownload Game Archive File;Whdload Name
1000ccTurbo_v1.0.zip;1000cc Turbo
1000Miglia_v1.1b.zip;1000 Miglia: 1927-1933 Volume 1
1869_v1.2_AGA.zip;1869: History Experience Part I (AGA)
1869_v1.2.zip;1869: History Experience Part I
1943_v1.3.lha;1943: The Battle Of Midway
1stDivisionManager_v1.0_1800.zip;1st Division Manager
20000LeaguesUnderTheSea_v0.4.zip;20000 Leagues Under The Sea
3001OConnorsFight_v1.0.zip;3001 O'Connor's Fight
3DConstructionKit_v1.0_1765.zip;3D Construction Kit
3DGalax_v1.0.zip;3D Galax
3DPool_v1.2_0621.zip;3D Pool
4DSportsBoxing_v1.1_0421.zip;4D Sports Boxing
4DSportsDriving_v1.0_1461.zip;4D Sports Driving
4DSportsDriving&MasterTracks_v1.0_1461.zip;4D Sports Driving Master Tracks I
4th&Inches_v1.0_1230.zip;4th & Inches
4x4OffRoadRacing_v1.00_1480.zip;4X4 Off-Road Racing
5thGear_v1.0_1001.zip;5th Gear
688AttackSub_v1.2_0093.zip;688 Attack Sub
7Colors_v1.1_0956.zip;7 Colors
9Lives_v1.0.zip;9 Lives
A10TankKiller_v2.0_2Disk_1396.zip;A-10 Tank Killer (2 Disk)
AbandonedPlaces_v1.3_1000.zip;Abandoned Places - A Time For Heroes
AbandonedPlaces2_v2.0.zip;Abandoned Places 2
Abracadabra_v1.1.zip;Abracadabra
Academy_v1.1.zip;Academy: Tau Ceti II
ActionFighter_v1.3.1_1243.zip;Action Fighter
AddamsFamily_v1.3_0419.zip;Addams Family, The
Adrenalynn_v1.1a.zip;Adrenalynn
AdvancedDestroyerSimulator_v1.0_2151.zip;ADS: Advanced Destroyer Simulator
AdvancedSkiSimulator_v1.1_0094.zip;Advanced Ski Simulator
AdvantageTennis_v1.0.zip;Advantage Tennis
AdventureConstructionSet_v1.1_0904.zip;Adventure Construction Set
AdventuresOfQuik&Silva_v1.1.zip;Adventures of Quik and Silva, The
AdventuresOfRobinHood_v1.1.zip;Adventures Of Robin Hood, The
AdventuresOfWillyBeamish_v1.0_1814.zip;Adventures Of Willy Beamish, The
AfterBurner_v1.0_Activision_0095.zip;After Burner (Activision)
AfterTheWar_v1.3_1084.lha;After The War
AGE_v1.2.zip;A.G.E. (Advanced Galactic Empire)
Agony_v1.3_0960.zip;Agony
Airball_v1.0.zip;Airball
AirborneRanger_v1.0.zip;Airborne Ranger
AirSupport_v1.1_1320.zip;Air Support
Akira_v1.0.zip;Akira
Aladdin_v1.5_AGA_0420.lha;Aladdin (AGA)
Alcatraz_v1.0_2073.zip;Alcatraz
AlfredChicken_v1.0_0422.zip;Alfred Chicken
Alianator_v1.0_1905.zip;Alianator
Alien3_v2.1_0261.zip;Alien
AlienBash_v1.0.zip;AlienBash
AlienBash2_v1.2.zip;Alien Bash II
AlienBreed_v1.3_0998.zip;Alien Breed
AlienBreed2_v1.3_AGA_0044.zip;Alien Breed II: The Horror Continues (AGA)
AlienBreed2_v1.3_0278.zip;Alien Breed II: The Horror Continues
AlienBreed3D_v1.1_CD32.zip;Alien Breed 3D (CD32)
AlienBreed3D_v1.1_AGA_0624.zip;Alien Breed 3D (AGA)
AlienBreed3D2_v1.1_AGA_0280.zip;Alien Breed 3D II: The Killing Grounds (AGA)
AlienBreedSpecialEdition_v1.0_0615.zip;Alien Breed Special Edition 92
AlienBreedStory_v1.1_0998.zip;Alien Breed Story
AlienBreedTowerAssault_v1.2_CD32.zip;Alien Breed: Tower Assault (CD32)
AlienBreedTowerAssault_v1.2_0279.zip;Alien Breed: Tower Assault
AlienBreedTowerAssault_v1.2_AGA_0279.zip;Alien Breed: Tower Assault (AGA)
AlienBreedTowerAssault11_v1.2_AGA_2331.zip;Alien Breed: Tower Assault (AGA)
AlienBreedTowerAssault11_v1.2_2331.zip;Alien Breed: Tower Assault
AlienDrugLords_v1.0_1004.zip;Alien Drug Lords: The Chyropian Connection
AlienFishFinger_v1.0.zip;Alien Fish Finger
AlienLegion_v1.0.zip;Alien Legion
AlienStorm_v1.3_0096.zip;Alien Storm
AlienSyndrome_v1.0.zip;Alien Syndrome
AlienWorld_v1.0_1398.zip;Alien World
Aliex_v1.1.zip;Aliex
AllanBordersCricket_v1.0.zip;Allan Border's Cricket
AllNewWorldOfLemmings_v1.0_AGA_0625.zip;All New World Of Lemmings (AGA)
AlloAllo_v1.0.zip;'Allo 'Allo! Cartoon Fun!
AllTerrainRacing_v1.1.zip;ATR: All Terrain Racing
Alpha1_v1.0_1921.zip;Alpha-1
AlphaWaves_v1.0_0626.zip;Alpha Waves
AlteredBeast_v2.0_0819.zip;Altered Beast
AlteredDestiny_v1.0_0237.zip;Altered Destiny
AmazingSpiderMan_v1.1_1006.zip;Amazing Spider-Man, The
Amberstar_v1.2_1969.zip;Amberstar
Amegas_v1.0_1655.zip;Amegas
AmericanTagTeamWrestling_v1.0_2211.zip;American Tag-Team Wrestling
AmigaKarate_v2.0_0045.zip;Amiga Karate
Amnios_v1.1_0423.zip;Amnios
Anarchy_v1.5.zip;Anarchy
