ArchiveFile;SlaveFile;Name;Copy;Size;Version;Flags;BaseMemSize;KeyDebug;KeyExit;ExpMem
1000ccTurbo.lha;1000ccTurbo.slave;1000cc Turbo;1992 Energize;644;10;NoError, EmulTrap, NoKbd;524288;0;59;4096
1000Miglia.lha;1000Miglia.slave;1000 Miglia;1992 Simulmondo;1620;17;NoError, EmulTrap;524288;0;59;0
1869.lha;1869AGA.slave;1869 AGA;1993 Max Design;5160;16;NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine;1048576;0;59;1572864
1869.lha;1869ECS.slave;1869 ECS;1993 Max Design;4372;16;NoError, EmulPriv, ClearMem, Examine;524288;0;59;786432
1943.lha;1943.slave;1943: The Battle Of Midway;1987 Probe ;1196;13;NoError, NoDivZero;524288;5f;5d;4096
1stDivisionManager.lha;1stDivisionManager.slave;1st Division Manager;1992 Codemasters;4244;16;NoError, EmulPriv, ClearMem, Examine;524288;0;59;360448
20000LeaguesUnderTheSea.lha;20000.Slave;20000 leagues under the sea;1989 Infogrames.;4312;16;NoError, EmulPriv, Examine;524288;0;59;262144
3001OConnersFight2.lha;3001.slave;3001 O;19?? ???????;3660;15;NoError, EmulPriv, Examine;1048576;0;5d;1310720
3DConstructionKit.lha;3DConstructionKit.slave;3D Construction Kit;1991 Domark;4288;16;NoError, EmulTrap, EmulPriv, ClearMem, Examine, EmulDivZero;524288;0;5d;1310720
3DGalax.lha;3DGalax.slave;3D Galax;1989 Gremlin;932;10;NoError, EmulTrap;524288;0;59;4096
3DPool.lha;3DPictures.slave;3D Pool (Pictures);1989 Aardvark Software/Firebird;596;13;NoError, ClearMem;528384;0;59;4096
3DPool.lha;3DPool.slave;3D Pool;1989 Aardvark Software/Firebird;1028;10;NoError;524288;0;59;0
3DWorldSoccer.lha;3DWorldSoccer.slave;3D World Soccer;1992 Simulmondo;5128;17;NoError, EmulTrap, EmulPriv, Examine;524288;0;59;786432
3DWorldTennis.lha;3DWorldTennis.slave;3D World Tennis;1992 Simulmondo;5020;17;NoError, EmulPriv, Examine;524288;0;59;786432
4DSportsBoxing.lha;4DSportsBoxing.slave;4D Sports Boxing;1991 Distinctive/Mindscape;5344;16;NoError, EmulPriv, Examine;524288;0;5d;786432
4DSportsDriving.lha;4DSportsDriving.slave;4D Sports Driving;1992 Distinctive/Mindscape;5012;16;NoError, EmulPriv, Examine;524288;0;5d;786432
4thAndInches.lha;4th&Inches.slave;4th & Inches;1988 Accolade;5384;16;NoError, EmulPriv, Examine;524288;0;59;262144
4x4OffRoadRacing.lha;4x4OffRoadRacing.slave;4x4 Off Road Racing;1989 Epyx / U.S. Gold;5056;16;EmulPriv, ClearMem, Examine;524288;0;59;262144
5thGear.lha;5thGear.slave;5th Gear;1988 Hewson;884;10;NoError, EmulTrap;524288;0;59;0
688AttackSub.lha;688AttackSub.slave;688 Attack Sub;1990 Electronic Arts;4428;16;NoError, EmulPriv, Examine;524288;0;5d;393216
7CitiesOfGold.lha;7CitiesOfGold.slave;7 Cities of Gold;1985 Ozark Softscape / Electronic Arts;2748;16;NoError, EmulTrap, EmulPriv;524288;0;5d;327680
7Colors.lha;7Colors.slave;7 Colors;1991 Infogrames;2480;14;NoError, ClearMem;458752;0;59;4096
944TurboCup.lha;944TurboCup.Slave;944 Turbo Cup;1988 Loriciels;11108;13;NoError, Req68020;524288;0;5d;262144
9Lives.lha;9Lives.slave;9 Lives;1990 ARC;1244;13;NoError, EmulTrap, ClearMem;524288;0;5d;0
A10TankKiller.lha;A10TankKiller.slave;A-10 Tank Killer;1989-1991 Dynamix;3656;15;NoError, EmulPriv, Examine;524288;0;5d;786432
