ArchiveFile;SlaveFile;SlaveOutputFile;Name;Copy;Size;Version;Flags;BaseMemSize;KeyDebug;KeyExit;ExpMem
1000ccTurbo.lha;1000CCTurboHD\1000ccTurbo.slave;1000ccTurbo.lha_1000ccTurbo.slave.txt;1000cc Turbo;1992 Energize;644;10;NoError, EmulTrap, NoKbd;524288;0;59;4096
1000Miglia.lha;1000Miglia_Install\1000Miglia.slave;1000Miglia.lha_1000Miglia.slave.txt;1000 Miglia;1992 Simulmondo;1620;17;NoError, EmulTrap;524288;0;59;0
1869.lha;1869HD\1869AGA.slave;1869.lha_1869AGA.slave.txt;1869 AGA;1993 Max Design;5160;16;NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine;1048576;0;59;1572864
1869.lha;1869HD\1869ECS.slave;1869.lha_1869ECS.slave.txt;1869 ECS;1993 Max Design;4372;16;NoError, EmulPriv, ClearMem, Examine;524288;0;59;786432
1943.lha;1943HD\1943.slave;1943.lha_1943.slave.txt;1943: The Battle Of Midway;1987 Probe ;1196;13;NoError, NoDivZero;524288;5f;5d;4096
1stDivisionManager.lha;1stDivisionManagerHD\1stDivisionManager.slave;1stDivisionManager.lha_1stDivisionManager.slave.txt;1st Division Manager;1992 Codemasters;4244;16;NoError, EmulPriv, ClearMem, Examine;524288;0;59;360448
20000LeaguesUnderTheSea.lha;20000 Install\20000.Slave;20000LeaguesUnderTheSea.lha_20000.Slave.txt;20000 leagues under the sea;1989 Infogrames.;4312;16;NoError, EmulPriv, Examine;524288;0;59;262144
3001OConnersFight2.lha;3001HD\3001.slave;3001OConnersFight2.lha_3001.slave.txt;3001 O;19?? ???????;3660;15;NoError, EmulPriv, Examine;1048576;0;5d;1310720
3DConstructionKit.lha;3DConstructionKitHD\3DConstructionKit.slave;3DConstructionKit.lha_3DConstructionKit.slave.txt;3D Construction Kit;1991 Domark;4288;16;NoError, EmulTrap, EmulPriv, ClearMem, Examine, EmulDivZero;524288;0;5d;1310720
3DGalax.lha;3DGalaxHD\3DGalax.slave;3DGalax.lha_3DGalax.slave.txt;3D Galax;1989 Gremlin;932;10;NoError, EmulTrap;524288;0;59;4096
3DPool.lha;3DPoolHD\3DPictures.slave;3DPool.lha_3DPictures.slave.txt;3D Pool (Pictures);1989 Aardvark Software/Firebird;596;13;NoError, ClearMem;528384;0;59;4096
3DPool.lha;3DPoolHD\3DPool.slave;3DPool.lha_3DPool.slave.txt;3D Pool;1989 Aardvark Software/Firebird;1028;10;NoError;524288;0;59;0
3DWorldSoccer.lha;3DWorldSoccer_Install\3DWorldSoccer.slave;3DWorldSoccer.lha_3DWorldSoccer.slave.txt;3D World Soccer;1992 Simulmondo;5128;17;NoError, EmulTrap, EmulPriv, Examine;524288;0;59;786432
3DWorldTennis.lha;3DWorldTennis_Install\3DWorldTennis.slave;3DWorldTennis.lha_3DWorldTennis.slave.txt;3D World Tennis;1992 Simulmondo;5020;17;NoError, EmulPriv, Examine;524288;0;59;786432
4DSportsBoxing.lha;4DSportsBoxingHD\4DSportsBoxing.slave;4DSportsBoxing.lha_4DSportsBoxing.slave.txt;4D Sports Boxing;1991 Distinctive/Mindscape;5344;16;NoError, EmulPriv, Examine;524288;0;5d;786432
4DSportsDriving.lha;4DSportsDrivingHD\4DSportsDriving.slave;4DSportsDriving.lha_4DSportsDriving.slave.txt;4D Sports Driving;1992 Distinctive/Mindscape;5012;16;NoError, EmulPriv, Examine;524288;0;5d;786432
4thAndInches.lha;4th&Inches_Install\4th&Inches.slave;4thAndInches.lha_4th&Inches.slave.txt;4th & Inches;1988 Accolade;5384;16;NoError, EmulPriv, Examine;524288;0;59;262144
4x4OffRoadRacing.lha;4x4OffRoadRacing\4x4OffRoadRacing.slave;4x4OffRoadRacing.lha_4x4OffRoadRacing.slave.txt;4x4 Off Road Racing;1989 Epyx / U.S. Gold;5056;16;EmulPriv, ClearMem, Examine;524288;0;59;262144
5thGear.lha;5thGearHD\5thGear.slave;5thGear.lha_5thGear.slave.txt;5th Gear;1988 Hewson;884;10;NoError, EmulTrap;524288;0;59;0
688AttackSub.lha;688AttackSubHD\688AttackSub.slave;688AttackSub.lha_688AttackSub.slave.txt;688 Attack Sub;1990 Electronic Arts;4428;16;NoError, EmulPriv, Examine;524288;0;5d;393216
7CitiesOfGold.lha;7CitiesOfGoldHD\7CitiesOfGold.slave;7CitiesOfGold.lha_7CitiesOfGold.slave.txt;7 Cities of Gold;1985 Ozark Softscape / Electronic Arts;2748;16;NoError, EmulTrap, EmulPriv;524288;0;5d;327680
7Colors.lha;7ColorsHD\7Colors.slave;7Colors.lha_7Colors.slave.txt;7 Colors;1991 Infogrames;2480;14;NoError, ClearMem;458752;0;59;4096
944TurboCup.lha;944turboCupHd\944TurboCup.Slave;944TurboCup.lha_944TurboCup.Slave.txt;944 Turbo Cup;1988 Loriciels;11108;13;NoError, Req68020;524288;0;5d;262144
9Lives.lha;9LivesHD\9Lives.slave;9Lives.lha_9Lives.slave.txt;9 Lives;1990 ARC;1244;13;NoError, EmulTrap, ClearMem;524288;0;5d;0
A10TankKiller.lha;A10TankKillerHD\A10TankKiller.slave;A10TankKiller.lha_A10TankKiller.slave.txt;A-10 Tank Killer;1989-1991 Dynamix;3656;15;NoError, EmulPriv, Examine;524288;0;5d;786432
Aaargh.lha;Aaargh!Hd\aaargh!.slave;Aaargh.lha_aaargh!.slave.txt;Aaargh!;1987 Arcadia systems;988;10;NoError, EmulTrap, NoDivZero, ClearMem;524288;0;5d;524288
AaarghArcadia.lha;Aaargh! Arcadia Install\Aaargh!Arcadia.slave;AaarghArcadia.lha_Aaargh!Arcadia.slave.txt;Aaargh! (Arcadia);1987 Arcadia Systems;4724;13;NoError, EmulTrap;524288;0;59;1589248
AbandonedPlaces.lha;AbandonedPlaces Install\AbandonedPlaces.Slave;AbandonedPlaces.lha_AbandonedPlaces.Slave.txt;;;3344;6;Disk, NoError, EmulTrap;1040384;58;59;
AbandonedPlaces2.lha;AbandonedPlaces2HD\AbandonedPlaces2.slave;AbandonedPlaces2.lha_AbandonedPlaces2.slave.txt;Abandoned Places 2;1993 ICE Ltd;4640;16;NoError, EmulTrap, EmulPriv, Examine;1044480;0;5d;786432
ABCMondayNightFootball.lha;ABCMondayNightFootballHD\ABCMondayNightFootball.slave;ABCMondayNightFootball.lha_ABCMondayNightFootball.slave.txt;ABC Monday Night Football;1991 Data East;4448;17;NoError, EmulPriv, Examine;524288;0;59;786432
AbraCadabra.lha;AbraCadabraHD\Abracadabra.slave;AbraCadabra.lha_Abracadabra.slave.txt;Abra cadabra & Baba Yaga;1989 Coktel Vision;3900;15;NoError, EmulPriv, Examine;524288;0;5d;786432
Academy.lha;AcademyHD\Academy.slave;Academy.lha_Academy.slave.txt;Academy;1988 CRL;700;10;NoError, EmulTrap;524288;0;59;0
AceBall.lha;AceBallHD\AceBallAGA.slave;AceBall.lha_AceBallAGA.slave.txt;Ace Ball (AGA);1995 Tim Soft;1320;15;NoError, ClearMem;925696;0;59;151552
AceBall.lha;AceBallHD\AceBallECS.slave;AceBall.lha_AceBallECS.slave.txt;Ace Ball (ECS);1995 Tim Soft;1140;15;NoError, ClearMem;630784;0;59;151552
ACSysDemo.lha;AcsysDemoHd\ACSysDemo.slave;ACSysDemo.lha_ACSysDemo.slave.txt;ACSYS;2000 Unique;608;10;Disk, NoError, EmulTrap, ReqAGA, ClearMem;2097152;0;5d;1048576
ActionFighter.lha;Action Fighter Install\ActionFighter.slave;ActionFighter.lha_ActionFighter.slave.txt;Action Fighter;1989 Sega/Firebird/Kixx;2128;10;NoError, EmulTrap, NoDivZero;524288;58;59;0
AddamsFamily.lha;AddamsFamilyHD\AddamsFamily.slave;AddamsFamily.lha_AddamsFamily.slave.txt;Addams Family;1992 Ocean;616;10;NoError, EmulTrap;524288;0;59;524288
Adrenalynn.lha;AdrenalynnHd\adrenalynn.slave;Adrenalynn.lha_adrenalynn.slave.txt;Adrenalynn;1991 Exponentia;3448;10;NoError, EmulTrap, NoDivZero, NoKbd, ClearMem;524288;0;5d;0
AdvancedDestroyerSim.lha;AdvancedDestroyerSimHD\AdvancedDestroyerSim.slave;AdvancedDestroyerSim.lha_AdvancedDestroyerSim.slave.txt;Advanced Destroyer Simulator;1991 Futura;4704;16;NoError, EmulPriv, ClearMem, Examine;1048576;0;5d;786432
AdvancedSkiSimulator.lha;AdvancedSkiSimulator\AdvancedSkiSimulator.slave;AdvancedSkiSimulator.lha_AdvancedSkiSimulator.slave.txt;;;464;7;NoError, EmulTrap;524288;58;59;
AdvantageTennis.lha;AdvantageTennisHD\AdvantageTennis.slave;AdvantageTennis.lha_AdvantageTennis.slave.txt;Advantage Tennis;1991 Infogrames;10788;13;NoError, Req68020;524288;0;59;786432
AdventureConstructionSet.lha;AdventureConstructionSetHD\AdventureConstructionSet.slave;AdventureConstructionSet.lha_AdventureConstructionSet.slave.txt;Adventure Construction Set;1986 Electronic Arts;5272;16;NoError, EmulPriv, Examine;786432;0;5d;262144
AdventuresOfRobinHood.lha;AdventuresOfRobinHoodHD\RobinHood.slave;AdventuresOfRobinHood.lha_RobinHood.slave.txt;Adventures of Robin Hood;1991 Millenium;720;10;NoError, EmulTrap;524288;0;0;0
AesopsFables.lha;Aesops Fables Install\AesopsFables.slave;AesopsFables.lha_AesopsFables.slave.txt;Robot Readers: Aesop;1987 Hilton Android;3976;17;NoError, EmulPriv, Examine;524288;0;5f;262144
AfricanRaiders01.lha;AfricanRaiders01_Install\AfricanRaiders01.slave;AfricanRaiders01.lha_AfricanRaiders01.slave.txt;African Raiders-01;1989 Tomahawk;4996;17;NoError, EmulPriv, Examine;524288;0;59;786432
AfterBurner88.lha;AfterBurner88HD\AfterBurner88.Slave;AfterBurner88.lha_AfterBurner88.Slave.txt;After Burner;1988 Sega Enterprises Ltd.;1156;10;Disk, NoError, EmulTrap, NoDivZero;524288;0;59;0
AfterBurner89.lha;AfterBurner2_Install\AfterBurner2.slave;AfterBurner89.lha_AfterBurner2.slave.txt;After Burner 2;1989 Sega;1392;17;NoError, EmulTrap, ClearMem;524288;0;59;0
