Whdownload Game Archive File;Whdload Name;Uncompressed Size;Compressed Size
AlloAllo_v1.0.zip;'Allo 'Allo! Cartoon Fun!;1825090;771868
1000Miglia_v1.1b.zip;1000 Miglia: 1927-1933 Volume 1;916980;773139
1000ccTurbo_v1.0.zip;1000cc Turbo;451396;204072
1869_v1.2_AGA_De_1653.zip;1869: Erlebte Geschichte Teil I (AGA) (De);2769517;1814195
1869_v1.2_De_0417.zip;1869: Erlebte Geschichte Teil I (De);1994258;1324337
1869_v1.2.zip;1869: History Experience Part I;1993720;1324109
1869_v1.2_AGA.zip;1869: History Experience Part I (AGA);2767486;1813028
1869_v1.2_Pl.zip;1869: History Experience Part I (Pl);2020267;1324203
1943_v1.2.zip;1943: The Battle Of Midway;575336;197027
1943_v1.3.lha;1943: The Battle Of Midway;526105;209337
1stDivisionManager_v1.0_1800.zip;1st Division Manager;662337;254920
20000LeaguesUnderTheSea_v0.4.zip;20000 Leagues Under The Sea;794181;464758
3001OConnorsFight_v1.0.zip;3001 O'Connor's Fight;246522;144845
3DConstructionKit_v1.0_1765.zip;3D Construction Kit;543746;235734
3DGalax_v1.0.zip;3D Galax;461285;278044
3DPool_v1.2_0621.zip;3D Pool;482808;285414
4DSportsBoxing_v1.1_0421.zip;4D Sports Boxing;1127337;477775
4DSportsDriving_v1.0_1461.zip;4D Sports Driving;1258615;891582
4DSportsDriving&MasterTracks_v1.0_1461.zip;4D Sports Driving Master Tracks I;1297613;897869
4th&Inches_v1.0_1230.zip;4th & Inches;234847;178187
4x4OffRoadRacing_v1.00_1480.zip;4X4 Off-Road Racing;735721;360248
5thGear_v1.0_1001.zip;5th Gear;926329;216027
688AttackSub_v1.0_0093.zip;688 Attack Sub;833525;488959
688AttackSub_v1.1_0093.zip;688 Attack Sub;819909;481726
688AttackSub_v1.2_0093.zip;688 Attack Sub;821277;482689
7Colors_v1.0_0956.zip;7 Colors;836834;248344
7Colors_v1.1_0956.zip;7 Colors;836760;248239
9Lives_v1.0.zip;9 Lives;578548;556561
A10TankKiller_v2.0_2Disk_1396.zip;A-10 Tank Killer (2 Disk);1342256;886714
A10TankKiller_v2.0_3Disk.zip;A-10 Tank Killer Version 1.5 (3 Disk);2342464;1779697
ATrain_v1.0_1010.zip;A-Train;1441080;601546
ATrain_v1.1_1010.zip;A-Train;1443059;602930
ATrain&ConstructionSet_v1.0_1010&1469.zip;A-Train & A-Train Construction Set;1956884;865133
ATrain&ConstructionSet_v1.1_1010&1469.zip;A-Train & A-Train Construction Set;1987502;878262
ATrain_v1.0_Cz.zip;A-Train (Cz);1453074;607186
ATrain_v1.0_De_0428.zip;A-Train (De);1467976;613234
ATrain_v1.0_Fr_2579.zip;A-Train (Fr);1469500;613716
AGE_v1.2.zip;A.G.E. (Advanced Galactic Empire);1120494;801153
Aaargh_v1.0a_0511.zip;AAARGH!;845495;508102
AbandonedPlaces_v1.3_1000.zip;Abandoned Places - A Time For Heroes;4520301;3703574
AbandonedPlaces_v1.3_De_0999.zip;Abandoned Places - A Time For Heroes (De);4520291;3707178
AbandonedPlaces2_v2.0.zip;Abandoned Places 2;3340008;2914267
Abracadabra_v1.1.zip;Abracadabra;1179570;969142
Academy_v1.1.zip;Academy: Tau Ceti II;357800;128905
AceBall_v1.0_Pl.zip;Ace Ball;568694;426173
AceBall_v1.0_Pl_AGA.zip;Ace Ball (AGA);1144377;762649
ACSYSDemo_v1.0_AGA.zip;ACSYS: Autonomous Cybernetic System (Demo) (AGA);1942141;615589
ActionFighter_v1.0.zip;Action Fighter;370319;159313
ActionFighter_v1.3.1_1243.zip;Action Fighter;361514;159931
AddamsFamily_v1.3_0419.zip;Addams Family, The;933094;686008
Adrenalynn_v1.1a.zip;Adrenalynn;918954;433400
AdvancedDestroyerSimulator_v1.0_2151.zip;ADS: Advanced Destroyer Simulator;563804;237688
AdvancedSkiSimulator_v1.1_0094.zip;Advanced Ski Simulator;819944;558652
AdvantageTennis_v1.0.zip;Advantage Tennis;815555;577959
AdventureConstructionSet_v1.0_0904.zip;Adventure Construction Set;911600;464660
