ArchiveFile;SlaveFile;SlaveOutputFile;Name;Copy;Size;Version;Flags;BaseMemSize;KeyDebug;KeyExit;ExpMem
1000ccTurbo_v1.0.zip;1000ccTurbo\1000ccTurbo.Slave;1000ccTurbo_v1.0.zip_1000ccTurbo.Slave.txt;1000cc Turbo;1992 Energize;644;10;NoError, EmulTrap, NoKbd;524288;0;59;4096
1000Miglia_v1.1b.zip;1000Miglia\1000Miglia.Slave;1000Miglia_v1.1b.zip_1000Miglia.Slave.txt;1000 Miglia;1991 Simulmondo;3432;13;NoError, EmulTrap, NoKbd, EmulPriv;524288;0;5d;262144
1869_v1.2.zip;1869\1869.Slave;1869_v1.2.zip_1869.Slave.txt;1869 ECS;1993 Max Design;4372;16;NoError, EmulPriv, ClearMem, Examine;524288;0;59;786432
1869_v1.2_AGA.zip;1869AGA\1869AGA.Slave;1869_v1.2_AGA.zip_1869AGA.Slave.txt;1869 AGA;1993 Max Design;5160;16;NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine;1048576;0;59;1572864
1869_v1.2_AGA_De_1653.zip;1869AGA\1869AGADE.Slave;1869_v1.2_AGA_De_1653.zip_1869AGADE.Slave.txt;1869 AGA;1993 Max Design;5160;16;NoError, Req68020, ReqAGA, EmulPriv, ClearMem, Examine;1048576;0;59;1572864
1869_v1.2_De_0417.zip;1869\1869DE.Slave;1869_v1.2_De_0417.zip_1869DE.Slave.txt;1869 ECS;1993 Max Design;4372;16;NoError, EmulPriv, ClearMem, Examine;524288;0;59;786432
1869_v1.2_Pl.zip;1869Pl\1869Pl.Slave;1869_v1.2_Pl.zip_1869Pl.Slave.txt;1869 ECS;1993 Max Design;4372;16;NoError, EmulPriv, ClearMem, Examine;524288;0;59;786432
1943_v1.2.zip;1943\1943.Slave;1943_v1.2.zip_1943.Slave.txt;1943;1987 Probe ;644;13;NoError, EmulTrap;524288;5f;5d;0
1943_v1.3.lha;1943\1943.slave;1943_v1.3.lha_1943.slave.txt;1943: The Battle Of Midway;1987 Probe ;1196;13;NoError, NoDivZero;524288;5f;5d;4096
1stDivisionManager_v1.0_1800.zip;1stDivisionManager\1stDivisionManager.Slave;1stDivisionManager_v1.0_1800.zip_1stDivisionManager.Slave.txt;1st Division Manager;1992 Codemasters;4244;16;NoError, EmulPriv, ClearMem, Examine;524288;0;59;360448
20000LeaguesUnderTheSea_v0.4.zip;20000LeaguesUnderTheSea\20000LeaguesUnderTheSea.Slave;20000LeaguesUnderTheSea_v0.4.zip_20000LeaguesUnderTheSea.Slave.txt;20000 leagues under the sea;1989 Infogrames.;4312;16;NoError, EmulPriv, Examine;524288;0;59;262144
3001OConnorsFight_v1.0.zip;3001OConnorsFight\3001OConnorsFight.Slave;3001OConnorsFight_v1.0.zip_3001OConnorsFight.Slave.txt;3001 O;19?? ???????;3660;15;NoError, EmulPriv, Examine;1048576;0;5d;1310720
3DConstructionKit_v1.0_1765.zip;3DConstructionKit\3DConstructionKit.Slave;3DConstructionKit_v1.0_1765.zip_3DConstructionKit.Slave.txt;3D Construction Kit;1991 Domark;4288;16;NoError, EmulTrap, EmulPriv, ClearMem, Examine, EmulDivZero;524288;0;5d;1310720
3DGalax_v1.0.zip;3DGalax\3DGalax.Slave;3DGalax_v1.0.zip_3DGalax.Slave.txt;3D Galax;1989 Gremlin;932;10;NoError, EmulTrap;524288;0;59;4096
3DPool_v1.2_0621.zip;3DPool\3DPictures.Slave;3DPool_v1.2_0621.zip_3DPictures.Slave.txt;3D Pool (Pictures);1989 Aardvark Software/Firebird;596;13;NoError, ClearMem;528384;0;59;4096
3DPool_v1.2_0621.zip;3DPool\3DPool.Slave;3DPool_v1.2_0621.zip_3DPool.Slave.txt;3D Pool;1989 Aardvark Software/Firebird;1028;10;NoError;524288;0;59;0
4DSportsBoxing_v1.1_0421.zip;4DSportsBoxing\4DSportsBoxing.Slave;4DSportsBoxing_v1.1_0421.zip_4DSportsBoxing.Slave.txt;4D Sports Boxing;1991 Distinctive/Mindscape;5260;16;NoError, EmulPriv, Examine;524288;0;5d;786432
4DSportsDriving&MasterTracks_v1.0_1461.zip;4DSportsDriving&MstrTrcks\4DSportsDriving&MstrTrcks.Slave;4DSportsDriving&MasterTracks_v1.0_1461.zip_4DSportsDriving&MstrTrcks.Slave.txt;4D Sports Driving;1992 Distinctive/Mindscape;5012;16;NoError, EmulPriv, Examine;524288;0;5d;786432
4DSportsDriving_v1.0_1461.zip;4DSportsDriving\4DSportsDriving.Slave;4DSportsDriving_v1.0_1461.zip_4DSportsDriving.Slave.txt;4D Sports Driving;1992 Distinctive/Mindscape;5012;16;NoError, EmulPriv, Examine;524288;0;5d;786432
4th&Inches_v1.0_1230.zip;4th&Inches\4th&Inches.Slave;4th&Inches_v1.0_1230.zip_4th&Inches.Slave.txt;4th & Inches;1988 Accolade;5348;16;NoError, EmulPriv, Examine;524288;0;59;262144
4x4OffRoadRacing_v1.00_1480.zip;4x4OffRoadRacing\4x4OffRoadRacing.Slave;4x4OffRoadRacing_v1.00_1480.zip_4x4OffRoadRacing.Slave.txt;4x4 Off Road Racing;1989 Epyx / U.S. Gold;5056;16;EmulPriv, ClearMem, Examine;524288;0;59;262144
5thGear_v1.0_1001.zip;5thGear\5thGear.Slave;5thGear_v1.0_1001.zip_5thGear.Slave.txt;5th Gear;1988 Hewson;884;10;NoError, EmulTrap;524288;0;59;0
688AttackSub_v1.0_0093.zip;688AttackSub\688AttackSub.slave;688AttackSub_v1.0_0093.zip_688AttackSub.slave.txt;688 Attack Sub;1990 Electronic Arts;5980;13;NoError, Req68020;524288;0;5d;589824
688AttackSub_v1.1_0093.zip;688AttackSub\688AttackSub.Slave;688AttackSub_v1.1_0093.zip_688AttackSub.Slave.txt;688 Attack Sub;1990 Electronic Arts;4352;16;NoError, EmulPriv, Examine;524288;0;5d;393216
688AttackSub_v1.2_0093.zip;688AttackSub\688AttackSub.slave;688AttackSub_v1.2_0093.zip_688AttackSub.slave.txt;688 Attack Sub;1990 Electronic Arts;4428;16;NoError, EmulPriv, Examine;524288;0;5d;393216
7Colors_v1.0_0956.zip;7Colors\7Colors.slave;7Colors_v1.0_0956.zip_7Colors.slave.txt;7 Colors;1991 Infogrames;2488;14;NoError, ClearMem;458752;0;59;266240
7Colors_v1.1_0956.zip;7Colors\7Colors.Slave;7Colors_v1.1_0956.zip_7Colors.Slave.txt;7 Colors;1991 Infogrames;2480;14;NoError, ClearMem;458752;0;59;4096
9Lives_v1.0.zip;9Lives\9Lives.Slave;9Lives_v1.0.zip_9Lives.Slave.txt;9 Lives;1990 ARC;1244;13;NoError, EmulTrap, ClearMem;524288;0;5d;0
A10TankKiller_v2.0_2Disk_1396.zip;A10TankKiller2Disk\A10TankKiller2Disk.Slave;A10TankKiller_v2.0_2Disk_1396.zip_A10TankKiller2Disk.Slave.txt;A-10 Tank Killer;1989-1991 Dynamix;3656;15;NoError, EmulPriv, Examine;524288;0;5d;786432
A10TankKiller_v2.0_3Disk.zip;A10TankKiller3Disk\A10TankKiller3Disk.Slave;A10TankKiller_v2.0_3Disk.zip_A10TankKiller3Disk.Slave.txt;A-10 Tank Killer;1989-1991 Dynamix;3656;15;NoError, EmulPriv, Examine;524288;0;5d;786432
Aaargh_v1.0a_0511.zip;Aaargh\Aaargh.Slave;Aaargh_v1.0a_0511.zip_Aaargh.Slave.txt;Aaargh!;1987 Arcadia systems;988;10;NoError, EmulTrap, NoDivZero, ClearMem;524288;0;5d;524288
AbandonedPlaces2_v2.0.zip;AbandonedPlaces2\AbandonedPlaces2.Slave;AbandonedPlaces2_v2.0.zip_AbandonedPlaces2.Slave.txt;Abandoned Places 2;1993 ICE Ltd;4640;16;NoError, EmulTrap, EmulPriv, Examine;1044480;0;5d;786432
AbandonedPlaces_v1.3_1000.zip;AbandonedPlaces\AbandonedPlaces.slave;AbandonedPlaces_v1.3_1000.zip_AbandonedPlaces.slave.txt;;;3344;6;Disk, NoError, EmulTrap;1040384;58;59;
AbandonedPlaces_v1.3_De_0999.zip;AbandonedPlacesDe\AbandonedPlacesDe.slave;AbandonedPlaces_v1.3_De_0999.zip_AbandonedPlacesDe.slave.txt;;;3344;6;Disk, NoError, EmulTrap;1040384;58;59;
Abracadabra_v1.1.zip;Abracadabra\Abracadabra.Slave;Abracadabra_v1.1.zip_Abracadabra.Slave.txt;Abra cadabra & Baba Yaga;1989 Coktel Vision;3900;15;NoError, EmulPriv, Examine;524288;0;5d;786432
Academy_v1.1.zip;Academy\Academy.slave;Academy_v1.1.zip_Academy.slave.txt;Academy;1988 CRL;700;10;NoError, EmulTrap;524288;0;59;0
AceBall_v1.0_Pl.zip;AceBall\AceBall.Slave;AceBall_v1.0_Pl.zip_AceBall.Slave.txt;Ace Ball (ECS);1995 Tim Soft;1140;15;NoError, ClearMem;630784;0;59;151552
AceBall_v1.0_Pl_AGA.zip;AceBallAGA\AceBallAGA.Slave;AceBall_v1.0_Pl_AGA.zip_AceBallAGA.Slave.txt;Ace Ball (AGA);1995 Tim Soft;1320;15;NoError, ClearMem;925696;0;59;151552
ACSYSDemo_v1.0_AGA.zip;ACSYSDemoAGA\ACSYSDemoAGA.Slave;ACSYSDemo_v1.0_AGA.zip_ACSYSDemoAGA.Slave.txt;A.C.SYS DEMO;1996 Joerg Belger ;4784;16;NoError, EmulTrap, Req68020, EmulPriv, Examine;2097152;0;59;1048576
ActionFighter_v1.0.zip;ActionFighter\ActionFighter.slave;ActionFighter_v1.0.zip_ActionFighter.slave.txt;;;368;5;Disk, NoError, EmulTrap;524288;58;59;
ActionFighter_v1.3.1_1243.zip;ActionFighter\ActionFighter.slave;ActionFighter_v1.3.1_1243.zip_ActionFighter.slave.txt;Action Fighter;1989 Sega/Firebird/Kixx;2128;10;NoError, EmulTrap, NoDivZero;524288;58;59;0
AddamsFamily_v1.3_0419.zip;AddamsFamily\AddamsFamily.Slave;AddamsFamily_v1.3_0419.zip_AddamsFamily.Slave.txt;Addams Family;1992 Ocean;616;10;NoError, EmulTrap;524288;0;59;524288
Adrenalynn_v1.1a.zip;Adrenalynn\Adrenalynn.Slave;Adrenalynn_v1.1a.zip_Adrenalynn.Slave.txt;Adrenalynn;1991 Exponentia;3448;10;NoError, EmulTrap, NoDivZero, NoKbd, ClearMem;524288;0;5d;0
AdvancedDestroyerSimulator_v1.0_2151.zip;AdvancedDestroyerSim\AdvancedDestroyerSim.Slave;AdvancedDestroyerSimulator_v1.0_2151.zip_AdvancedDestroyerSim.Slave.txt;Advanced Destroyer Simulator;1991 Futura;4704;16;NoError, EmulPriv, ClearMem, Examine;1048576;0;5d;786432
AdvancedSkiSimulator_v1.1_0094.zip;AdvancedSkiSimulator\AdvancedSkiSimulator.slave;AdvancedSkiSimulator_v1.1_0094.zip_AdvancedSkiSimulator.slave.txt;;;464;7;NoError, EmulTrap;524288;58;59;
AdvantageTennis_v1.0.zip;AdvantageTennis\AdvantageTennis.slave;AdvantageTennis_v1.0.zip_AdvantageTennis.slave.txt;Advantage Tennis;1991 Infogrames;10788;13;NoError, Req68020;524288;0;59;786432
AdventureConstructionSet_v1.0_0904.zip;AdventureConstructionSet\AdventureConstructionSet.Slave;AdventureConstructionSet_v1.0_0904.zip_AdventureConstructionSet.Slave.txt;Adventure Construction Set;1986 Electronic Arts;5208;16;NoError, EmulPriv, Examine;655360;0;5d;262144
AdventureConstructionSet_v1.1_0904.zip;AdventureConstructionSet\AdventureConstructionSet.slave;AdventureConstructionSet_v1.1_0904.zip_AdventureConstructionSet.slave.txt;Adventure Construction Set;1986 Electronic Arts;5272;16;NoError, EmulPriv, Examine;786432;0;5d;262144
